datetime,event,aspecting_planet,aspecting_sign,aspecting_degree,aspected_planet,aspected_sign,aspected_degree,aspect_type,aspect_house,target_angle,actual_angle,orb,strength
2026-01-03 14:00:00,Parashara_Drishti,Moon,Gemini,"16°55'06.92""",Venus,Sagittarius,"17°52'04.62""",7th House,7,180,180.9494,0.9494,Standard
2026-01-03 14:00:00,Parashara_Drishti,Venus,Sagittarius,"17°52'04.62""",Moon,Gemini,"16°55'06.92""",7th House,7,180,179.0506,0.9494,Standard
2026-01-03 14:00:00,Parashara_Drishti,Rahu,Aquarius,"17°49'38.88""",Moon,Gemini,"16°55'06.92""",9th House (Reverse),9,-240,119.09110000000001,0.9089,Strong
2026-01-03 14:15:00,Parashara_Drishti,Moon,Gemini,"17°04'26.06""",Venus,Sagittarius,"17°52'51.80""",7th House,7,180,180.8072,0.8072,Standard
2026-01-03 14:15:00,Parashara_Drishti,Venus,Sagittarius,"17°52'51.80""",Moon,Gemini,"17°04'26.06""",7th House,7,180,179.1928,0.8072,Standard
2026-01-03 14:15:00,Parashara_Drishti,Rahu,Aquarius,"17°49'36.89""",Moon,Gemini,"17°04'26.06""",9th House (Reverse),9,-240,119.24700000000001,0.753,Strong
2026-01-03 14:30:00,Parashara_Drishti,Moon,Gemini,"17°13'45.11""",Venus,Sagittarius,"17°53'38.98""",7th House,7,180,180.665,0.665,Standard
2026-01-03 14:30:00,Parashara_Drishti,Venus,Sagittarius,"17°53'38.98""",Moon,Gemini,"17°13'45.11""",7th House,7,180,179.335,0.665,Standard
2026-01-03 14:30:00,Parashara_Drishti,Rahu,Aquarius,"17°49'34.91""",Moon,Gemini,"17°13'45.11""",9th House (Reverse),9,-240,119.40280000000001,0.5972,Strong
2026-01-03 14:45:00,Parashara_Drishti,Moon,Gemini,"17°23'04.08""",Venus,Sagittarius,"17°54'26.16""",7th House,7,180,180.5228,0.5228,Standard
2026-01-03 14:45:00,Parashara_Drishti,Venus,Sagittarius,"17°54'26.16""",Moon,Gemini,"17°23'04.08""",7th House,7,180,179.4772,0.5228,Standard
2026-01-03 14:45:00,Parashara_Drishti,Rahu,Aquarius,"17°49'32.92""",Moon,Gemini,"17°23'04.08""",9th House (Reverse),9,-240,119.55869999999999,0.4413,Strong
2026-01-03 15:00:00,Parashara_Drishti,Moon,Gemini,"17°32'22.95""",Venus,Sagittarius,"17°55'13.34""",7th House,7,180,180.3807,0.3807,Standard
2026-01-03 15:00:00,Parashara_Drishti,Venus,Sagittarius,"17°55'13.34""",Moon,Gemini,"17°32'22.95""",7th House,7,180,179.6193,0.3807,Standard
2026-01-03 15:00:00,Parashara_Drishti,Rahu,Aquarius,"17°49'30.93""",Moon,Gemini,"17°32'22.95""",9th House (Reverse),9,-240,119.71449999999999,0.2855,Strong
2026-01-03 15:15:00,Parashara_Drishti,Moon,Gemini,"17°41'41.74""",Venus,Sagittarius,"17°56'00.52""",7th House,7,180,180.2385,0.2385,Standard
2026-01-03 15:15:00,Parashara_Drishti,Venus,Sagittarius,"17°56'00.52""",Moon,Gemini,"17°41'41.74""",7th House,7,180,179.7615,0.2385,Standard
2026-01-03 15:15:00,Parashara_Drishti,Rahu,Aquarius,"17°49'28.94""",Moon,Gemini,"17°41'41.74""",9th House (Reverse),9,-240,119.87020000000001,0.1298,Strong
2026-01-03 15:30:00,Parashara_Drishti,Sun,Sagittarius,"18°44'42.39""",Moon,Gemini,"17°51'00.44""",7th House,7,180,179.105,0.895,Standard
2026-01-03 15:30:00,Parashara_Drishti,Moon,Gemini,"17°51'00.44""",Sun,Sagittarius,"18°44'42.39""",7th House,7,180,180.895,0.895,Standard
2026-01-03 15:30:00,Parashara_Drishti,Moon,Gemini,"17°51'00.44""",Venus,Sagittarius,"17°56'47.69""",7th House,7,180,180.0965,0.0965,Standard
2026-01-03 15:30:00,Parashara_Drishti,Venus,Sagittarius,"17°56'47.69""",Moon,Gemini,"17°51'00.44""",7th House,7,180,179.9035,0.0965,Standard
2026-01-03 15:30:00,Parashara_Drishti,Rahu,Aquarius,"17°49'26.96""",Moon,Gemini,"17°51'00.44""",9th House (Reverse),9,-240,120.02600000000001,0.026,Strong
2026-01-03 15:45:00,Parashara_Drishti,Sun,Sagittarius,"18°45'20.59""",Moon,Gemini,"18°00'19.05""",7th House,7,180,179.2496,0.7504,Standard
2026-01-03 15:45:00,Parashara_Drishti,Moon,Gemini,"18°00'19.05""",Sun,Sagittarius,"18°45'20.59""",7th House,7,180,180.7504,0.7504,Standard
2026-01-03 15:45:00,Parashara_Drishti,Moon,Gemini,"18°00'19.05""",Venus,Sagittarius,"17°57'34.87""",7th House,7,180,179.9544,0.0456,Standard
2026-01-03 15:45:00,Parashara_Drishti,Venus,Sagittarius,"17°57'34.87""",Moon,Gemini,"18°00'19.05""",7th House,7,180,180.0456,0.0456,Standard
2026-01-03 15:45:00,Parashara_Drishti,Rahu,Aquarius,"17°49'24.97""",Moon,Gemini,"18°00'19.05""",9th House (Reverse),9,-240,120.1817,0.1817,Strong
2026-01-03 16:00:00,Parashara_Drishti,Sun,Sagittarius,"18°45'58.80""",Moon,Gemini,"18°09'37.57""",7th House,7,180,179.3941,0.6059,Standard
2026-01-03 16:00:00,Parashara_Drishti,Moon,Gemini,"18°09'37.57""",Sun,Sagittarius,"18°45'58.80""",7th House,7,180,180.6059,0.6059,Standard
2026-01-03 16:00:00,Parashara_Drishti,Moon,Gemini,"18°09'37.57""",Venus,Sagittarius,"17°58'22.05""",7th House,7,180,179.8124,0.1876,Standard
2026-01-03 16:00:00,Parashara_Drishti,Venus,Sagittarius,"17°58'22.05""",Moon,Gemini,"18°09'37.57""",7th House,7,180,180.1876,0.1876,Standard
2026-01-03 16:00:00,Parashara_Drishti,Rahu,Aquarius,"17°49'22.98""",Moon,Gemini,"18°09'37.57""",9th House (Reverse),9,-240,120.3374,0.3374,Strong
2026-01-03 16:15:00,Parashara_Drishti,Sun,Sagittarius,"18°46'37.00""",Moon,Gemini,"18°18'56.00""",7th House,7,180,179.5386,0.4614,Standard
2026-01-03 16:15:00,Parashara_Drishti,Moon,Gemini,"18°18'56.00""",Sun,Sagittarius,"18°46'37.00""",7th House,7,180,180.4614,0.4614,Standard
2026-01-03 16:15:00,Parashara_Drishti,Moon,Gemini,"18°18'56.00""",Venus,Sagittarius,"17°59'09.23""",7th House,7,180,179.6703,0.3297,Standard
2026-01-03 16:15:00,Parashara_Drishti,Venus,Sagittarius,"17°59'09.23""",Moon,Gemini,"18°18'56.00""",7th House,7,180,180.3297,0.3297,Standard
2026-01-03 16:15:00,Parashara_Drishti,Rahu,Aquarius,"17°49'21.00""",Moon,Gemini,"18°18'56.00""",9th House (Reverse),9,-240,120.4931,0.4931,Strong
2026-01-03 16:30:00,Parashara_Drishti,Sun,Sagittarius,"18°47'15.20""",Moon,Gemini,"18°28'14.33""",7th House,7,180,179.6831,0.3169,Standard
2026-01-03 16:30:00,Parashara_Drishti,Moon,Gemini,"18°28'14.33""",Sun,Sagittarius,"18°47'15.20""",7th House,7,180,180.3169,0.3169,Standard
2026-01-03 16:30:00,Parashara_Drishti,Moon,Gemini,"18°28'14.33""",Venus,Sagittarius,"17°59'56.41""",7th House,7,180,179.5284,0.4716,Standard
2026-01-03 16:30:00,Parashara_Drishti,Venus,Sagittarius,"17°59'56.41""",Moon,Gemini,"18°28'14.33""",7th House,7,180,180.4716,0.4716,Standard
2026-01-03 16:30:00,Parashara_Drishti,Rahu,Aquarius,"17°49'19.01""",Moon,Gemini,"18°28'14.33""",9th House (Reverse),9,-240,120.64869999999999,0.6487,Strong
2026-01-03 16:45:00,Parashara_Drishti,Sun,Sagittarius,"18°47'53.41""",Moon,Gemini,"18°37'32.58""",7th House,7,180,179.8275,0.1725,Standard
2026-01-03 16:45:00,Parashara_Drishti,Moon,Gemini,"18°37'32.58""",Sun,Sagittarius,"18°47'53.41""",7th House,7,180,180.1725,0.1725,Standard
