datetime,event,aspecting_planet,aspecting_sign,aspecting_sign_vi,aspecting_degree,aspecting_nakshatra,aspecting_nakshatra_lord,aspecting_pada,aspected_planet,aspected_sign,aspected_sign_vi,aspected_degree,aspected_nakshatra,aspected_nakshatra_lord,aspected_pada,aspect_type,aspect_house,target_angle,actual_angle,orb,strength
2026-01-04 00:00:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"19°06'21.30""",Purva Ashadha,Venus,2,Venus,Sagittarius,Nhân Mã,"18°23'31.75""",Purva Ashadha,Venus,2,0th House,0,0,359.2862,0.7138,Combust
2026-01-04 00:00:00,Parashara_Drishti,Venus,Sagittarius,Nhân Mã,"18°23'31.75""",Purva Ashadha,Venus,2,Sun,Sagittarius,Nhân Mã,"19°06'21.30""",Purva Ashadha,Venus,2,0th House,0,0,0.7138,0.7138,Standard
2026-01-04 00:15:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"19°06'59.51""",Purva Ashadha,Venus,2,Venus,Sagittarius,Nhân Mã,"18°24'18.93""",Purva Ashadha,Venus,2,0th House,0,0,359.2887,0.7113,Combust
2026-01-04 00:15:00,Parashara_Drishti,Venus,Sagittarius,Nhân Mã,"18°24'18.93""",Purva Ashadha,Venus,2,Sun,Sagittarius,Nhân Mã,"19°06'59.51""",Purva Ashadha,Venus,2,0th House,0,0,0.7113,0.7113,Standard
2026-01-04 00:30:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"19°07'37.71""",Purva Ashadha,Venus,2,Venus,Sagittarius,Nhân Mã,"18°25'06.10""",Purva Ashadha,Venus,2,0th House,0,0,359.2912,0.7088,Combust
2026-01-04 00:30:00,Parashara_Drishti,Venus,Sagittarius,Nhân Mã,"18°25'06.10""",Purva Ashadha,Venus,2,Sun,Sagittarius,Nhân Mã,"19°07'37.71""",Purva Ashadha,Venus,2,0th House,0,0,0.7088,0.7088,Standard
2026-01-04 00:45:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"19°08'15.91""",Purva Ashadha,Venus,2,Venus,Sagittarius,Nhân Mã,"18°25'53.28""",Purva Ashadha,Venus,2,0th House,0,0,359.2937,0.7063,Combust
2026-01-04 00:45:00,Parashara_Drishti,Venus,Sagittarius,Nhân Mã,"18°25'53.28""",Purva Ashadha,Venus,2,Sun,Sagittarius,Nhân Mã,"19°08'15.91""",Purva Ashadha,Venus,2,0th House,0,0,0.7063,0.7063,Standard
2026-01-04 01:00:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"19°08'54.12""",Purva Ashadha,Venus,2,Venus,Sagittarius,Nhân Mã,"18°26'40.46""",Purva Ashadha,Venus,2,0th House,0,0,359.2962,0.7038,Combust
2026-01-04 01:00:00,Parashara_Drishti,Venus,Sagittarius,Nhân Mã,"18°26'40.46""",Purva Ashadha,Venus,2,Sun,Sagittarius,Nhân Mã,"19°08'54.12""",Purva Ashadha,Venus,2,0th House,0,0,0.7038,0.7038,Standard
