datetime,event,aspecting_planet,aspecting_sign,aspecting_degree,aspected_planet,aspected_sign,aspected_degree,aspect_type,aspect_house,target_angle,actual_angle,orb,strength
2026-01-09 00:00:00,Parashara_Drishti,Moon,Virgo,"2°02'19.60""",Saturn,Pisces,"2°26'20.94""",7th House,7,180,180.4004,0.4004,Standard
2026-01-09 00:00:00,Parashara_Drishti,Saturn,Pisces,"2°26'20.94""",Moon,Virgo,"2°02'19.60""",7th House,7,180,179.5996,0.4004,Weak
2026-01-09 00:15:00,Parashara_Drishti,Moon,Virgo,"2°10'15.73""",Saturn,Pisces,"2°26'23.55""",7th House,7,180,180.2688,0.2688,Standard
2026-01-09 00:15:00,Parashara_Drishti,Saturn,Pisces,"2°26'23.55""",Moon,Virgo,"2°10'15.73""",7th House,7,180,179.7312,0.2688,Weak
2026-01-09 00:30:00,Parashara_Drishti,Moon,Virgo,"2°18'11.72""",Saturn,Pisces,"2°26'26.17""",7th House,7,180,180.1373,0.1373,Standard
2026-01-09 00:30:00,Parashara_Drishti,Saturn,Pisces,"2°26'26.17""",Moon,Virgo,"2°18'11.72""",7th House,7,180,179.8627,0.1373,Weak
2026-01-09 00:45:00,Parashara_Drishti,Moon,Virgo,"2°26'07.56""",Saturn,Pisces,"2°26'28.79""",7th House,7,180,180.0059,0.0059,Standard
2026-01-09 00:45:00,Parashara_Drishti,Saturn,Pisces,"2°26'28.79""",Moon,Virgo,"2°26'07.56""",7th House,7,180,179.9941,0.0059,Weak
2026-01-09 01:00:00,Parashara_Drishti,Moon,Virgo,"2°34'03.25""",Saturn,Pisces,"2°26'31.40""",7th House,7,180,179.8745,0.1255,Standard
2026-01-09 01:00:00,Parashara_Drishti,Saturn,Pisces,"2°26'31.40""",Moon,Virgo,"2°34'03.25""",7th House,7,180,180.1255,0.1255,Weak
2026-01-09 01:15:00,Parashara_Drishti,Moon,Virgo,"2°41'58.80""",Saturn,Pisces,"2°26'34.02""",7th House,7,180,179.7431,0.2569,Standard
2026-01-09 01:15:00,Parashara_Drishti,Saturn,Pisces,"2°26'34.02""",Moon,Virgo,"2°41'58.80""",7th House,7,180,180.2569,0.2569,Weak
2026-01-09 01:30:00,Parashara_Drishti,Moon,Virgo,"2°49'54.20""",Saturn,Pisces,"2°26'36.64""",7th House,7,180,179.6118,0.3882,Standard
2026-01-09 01:30:00,Parashara_Drishti,Saturn,Pisces,"2°26'36.64""",Moon,Virgo,"2°49'54.20""",7th House,7,180,180.3882,0.3882,Weak
2026-01-09 01:45:00,Parashara_Drishti,Moon,Virgo,"2°57'49.46""",Saturn,Pisces,"2°26'39.25""",7th House,7,180,179.4805,0.5195,Standard
2026-01-09 01:45:00,Parashara_Drishti,Saturn,Pisces,"2°26'39.25""",Moon,Virgo,"2°57'49.46""",7th House,7,180,180.5195,0.5195,Weak
2026-01-09 02:00:00,Parashara_Drishti,Moon,Virgo,"3°05'44.57""",Saturn,Pisces,"2°26'41.87""",7th House,7,180,179.3493,0.6507,Standard
2026-01-09 02:00:00,Parashara_Drishti,Saturn,Pisces,"2°26'41.87""",Moon,Virgo,"3°05'44.57""",7th House,7,180,180.6507,0.6507,Weak
2026-01-09 02:15:00,Parashara_Drishti,Moon,Virgo,"3°13'39.54""",Saturn,Pisces,"2°26'44.49""",7th House,7,180,179.218,0.782,Standard
2026-01-09 02:15:00,Parashara_Drishti,Saturn,Pisces,"2°26'44.49""",Moon,Virgo,"3°13'39.54""",7th House,7,180,180.782,0.782,Weak
2026-01-09 02:30:00,Parashara_Drishti,Moon,Virgo,"3°21'34.36""",Saturn,Pisces,"2°26'47.11""",7th House,7,180,179.0869,0.9131,Standard
2026-01-09 02:30:00,Parashara_Drishti,Saturn,Pisces,"2°26'47.11""",Moon,Virgo,"3°21'34.36""",7th House,7,180,180.9131,0.9131,Weak
