datetime,event,aspecting_planet,aspecting_sign,aspecting_degree,aspected_planet,aspected_sign,aspected_degree,aspect_type,aspect_house,target_angle,actual_angle,orb,strength
2026-01-11 00:00:00,Parashara_Drishti,Sun,Sagittarius,"26°14'15.81""",Jupiter,Gemini,"25°50'19.93""",7th House,7,180,179.6011,0.3989,Standard
2026-01-11 00:00:00,Parashara_Drishti,Jupiter,Gemini,"25°50'19.93""",Sun,Sagittarius,"26°14'15.81""",7th House,7,180,180.3989,0.3989,Weak
2026-01-11 00:15:00,Parashara_Drishti,Sun,Sagittarius,"26°14'54.02""",Jupiter,Gemini,"25°50'14.87""",7th House,7,180,179.5891,0.4109,Standard
2026-01-11 00:15:00,Parashara_Drishti,Jupiter,Gemini,"25°50'14.87""",Sun,Sagittarius,"26°14'54.02""",7th House,7,180,180.4109,0.4109,Weak
2026-01-11 00:30:00,Parashara_Drishti,Sun,Sagittarius,"26°15'32.23""",Jupiter,Gemini,"25°50'09.81""",7th House,7,180,179.5771,0.4229,Standard
2026-01-11 00:30:00,Parashara_Drishti,Jupiter,Gemini,"25°50'09.81""",Sun,Sagittarius,"26°15'32.23""",7th House,7,180,180.4229,0.4229,Weak
2026-01-11 00:45:00,Parashara_Drishti,Sun,Sagittarius,"26°16'10.44""",Jupiter,Gemini,"25°50'04.74""",7th House,7,180,179.5651,0.4349,Standard
2026-01-11 00:45:00,Parashara_Drishti,Jupiter,Gemini,"25°50'04.74""",Sun,Sagittarius,"26°16'10.44""",7th House,7,180,180.4349,0.4349,Weak
2026-01-11 01:00:00,Parashara_Drishti,Sun,Sagittarius,"26°16'48.64""",Jupiter,Gemini,"25°49'59.68""",7th House,7,180,179.5531,0.4469,Standard
2026-01-11 01:00:00,Parashara_Drishti,Jupiter,Gemini,"25°49'59.68""",Sun,Sagittarius,"26°16'48.64""",7th House,7,180,180.4469,0.4469,Weak
2026-01-11 01:15:00,Parashara_Drishti,Sun,Sagittarius,"26°17'26.85""",Jupiter,Gemini,"25°49'54.62""",7th House,7,180,179.541,0.459,Standard
2026-01-11 01:15:00,Parashara_Drishti,Jupiter,Gemini,"25°49'54.62""",Sun,Sagittarius,"26°17'26.85""",7th House,7,180,180.459,0.459,Weak
2026-01-11 01:30:00,Parashara_Drishti,Sun,Sagittarius,"26°18'05.06""",Jupiter,Gemini,"25°49'49.56""",7th House,7,180,179.529,0.471,Standard
2026-01-11 01:30:00,Parashara_Drishti,Jupiter,Gemini,"25°49'49.56""",Sun,Sagittarius,"26°18'05.06""",7th House,7,180,180.471,0.471,Weak
2026-01-11 01:45:00,Parashara_Drishti,Sun,Sagittarius,"26°18'43.27""",Jupiter,Gemini,"25°49'44.49""",7th House,7,180,179.517,0.483,Standard
2026-01-11 01:45:00,Parashara_Drishti,Jupiter,Gemini,"25°49'44.49""",Sun,Sagittarius,"26°18'43.27""",7th House,7,180,180.483,0.483,Weak
2026-01-11 02:00:00,Parashara_Drishti,Sun,Sagittarius,"26°19'21.48""",Jupiter,Gemini,"25°49'39.43""",7th House,7,180,179.505,0.495,Standard
2026-01-11 02:00:00,Parashara_Drishti,Jupiter,Gemini,"25°49'39.43""",Sun,Sagittarius,"26°19'21.48""",7th House,7,180,180.495,0.495,Weak
2026-01-11 02:15:00,Parashara_Drishti,Sun,Sagittarius,"26°19'59.69""",Jupiter,Gemini,"25°49'34.37""",7th House,7,180,179.493,0.507,Standard
2026-01-11 02:15:00,Parashara_Drishti,Jupiter,Gemini,"25°49'34.37""",Sun,Sagittarius,"26°19'59.69""",7th House,7,180,180.507,0.507,Weak
2026-01-11 02:30:00,Parashara_Drishti,Sun,Sagittarius,"26°20'37.90""",Jupiter,Gemini,"25°49'29.30""",7th House,7,180,179.4809,0.5191,Standard
2026-01-11 02:30:00,Parashara_Drishti,Jupiter,Gemini,"25°49'29.30""",Sun,Sagittarius,"26°20'37.90""",7th House,7,180,180.5191,0.5191,Weak
2026-01-11 02:45:00,Parashara_Drishti,Sun,Sagittarius,"26°21'16.10""",Jupiter,Gemini,"25°49'24.24""",7th House,7,180,179.4689,0.5311,Standard
2026-01-11 02:45:00,Parashara_Drishti,Jupiter,Gemini,"25°49'24.24""",Sun,Sagittarius,"26°21'16.10""",7th House,7,180,180.5311,0.5311,Weak
2026-01-11 03:00:00,Parashara_Drishti,Sun,Sagittarius,"26°21'54.31""",Jupiter,Gemini,"25°49'19.18""",7th House,7,180,179.4569,0.5431,Standard
2026-01-11 03:00:00,Parashara_Drishti,Jupiter,Gemini,"25°49'19.18""",Sun,Sagittarius,"26°21'54.31""",7th House,7,180,180.5431,0.5431,Weak
2026-01-11 03:15:00,Parashara_Drishti,Sun,Sagittarius,"26°22'32.52""",Jupiter,Gemini,"25°49'14.12""",7th House,7,180,179.4449,0.5551,Standard
2026-01-11 03:15:00,Parashara_Drishti,Jupiter,Gemini,"25°49'14.12""",Sun,Sagittarius,"26°22'32.52""",7th House,7,180,180.5551,0.5551,Weak
2026-01-11 03:30:00,Parashara_Drishti,Sun,Sagittarius,"26°23'10.73""",Jupiter,Gemini,"25°49'09.05""",7th House,7,180,179.4329,0.5671,Standard
2026-01-11 03:30:00,Parashara_Drishti,Jupiter,Gemini,"25°49'09.05""",Sun,Sagittarius,"26°23'10.73""",7th House,7,180,180.5671,0.5671,Weak
2026-01-11 03:45:00,Parashara_Drishti,Sun,Sagittarius,"26°23'48.94""",Jupiter,Gemini,"25°49'03.99""",7th House,7,180,179.4208,0.5792,Standard
2026-01-11 03:45:00,Parashara_Drishti,Jupiter,Gemini,"25°49'03.99""",Sun,Sagittarius,"26°23'48.94""",7th House,7,180,180.5792,0.5792,Weak
2026-01-11 04:00:00,Parashara_Drishti,Sun,Sagittarius,"26°24'27.15""",Jupiter,Gemini,"25°48'58.93""",7th House,7,180,179.4088,0.5912,Standard
2026-01-11 04:00:00,Parashara_Drishti,Jupiter,Gemini,"25°48'58.93""",Sun,Sagittarius,"26°24'27.15""",7th House,7,180,180.5912,0.5912,Weak
2026-01-11 04:15:00,Parashara_Drishti,Sun,Sagittarius,"26°25'05.36""",Jupiter,Gemini,"25°48'53.87""",7th House,7,180,179.3968,0.6032,Standard
2026-01-11 04:15:00,Parashara_Drishti,Jupiter,Gemini,"25°48'53.87""",Sun,Sagittarius,"26°25'05.36""",7th House,7,180,180.6032,0.6032,Weak
2026-01-11 04:30:00,Parashara_Drishti,Sun,Sagittarius,"26°25'43.57""",Jupiter,Gemini,"25°48'48.80""",7th House,7,180,179.3848,0.6152,Standard
2026-01-11 04:30:00,Parashara_Drishti,Jupiter,Gemini,"25°48'48.80""",Sun,Sagittarius,"26°25'43.57""",7th House,7,180,180.6152,0.6152,Weak
2026-01-11 04:45:00,Parashara_Drishti,Sun,Sagittarius,"26°26'21.77""",Jupiter,Gemini,"25°48'43.74""",7th House,7,180,179.3728,0.6272,Standard
2026-01-11 04:45:00,Parashara_Drishti,Jupiter,Gemini,"25°48'43.74""",Sun,Sagittarius,"26°26'21.77""",7th House,7,180,180.6272,0.6272,Weak
2026-01-11 05:00:00,Parashara_Drishti,Sun,Sagittarius,"26°26'59.98""",Jupiter,Gemini,"25°48'38.68""",7th House,7,180,179.3607,0.6393,Standard
2026-01-11 05:00:00,Parashara_Drishti,Jupiter,Gemini,"25°48'38.68""",Sun,Sagittarius,"26°26'59.98""",7th House,7,180,180.6393,0.6393,Weak
2026-01-11 05:15:00,Parashara_Drishti,Sun,Sagittarius,"26°27'38.19""",Jupiter,Gemini,"25°48'33.61""",7th House,7,180,179.3487,0.6513,Standard
2026-01-11 05:15:00,Parashara_Drishti,Jupiter,Gemini,"25°48'33.61""",Sun,Sagittarius,"26°27'38.19""",7th House,7,180,180.6513,0.6513,Weak
2026-01-11 05:30:00,Parashara_Drishti,Sun,Sagittarius,"26°28'16.40""",Jupiter,Gemini,"25°48'28.55""",7th House,7,180,179.3367,0.6633,Standard
2026-01-11 05:30:00,Parashara_Drishti,Jupiter,Gemini,"25°48'28.55""",Sun,Sagittarius,"26°28'16.40""",7th House,7,180,180.6633,0.6633,Weak
2026-01-11 05:45:00,Parashara_Drishti,Sun,Sagittarius,"26°28'54.61""",Jupiter,Gemini,"25°48'23.49""",7th House,7,180,179.3247,0.6753,Standard
2026-01-11 05:45:00,Parashara_Drishti,Jupiter,Gemini,"25°48'23.49""",Sun,Sagittarius,"26°28'54.61""",7th House,7,180,180.6753,0.6753,Weak
2026-01-11 06:00:00,Parashara_Drishti,Sun,Sagittarius,"26°29'32.82""",Jupiter,Gemini,"25°48'18.43""",7th House,7,180,179.3127,0.6873,Standard
2026-01-11 06:00:00,Parashara_Drishti,Jupiter,Gemini,"25°48'18.43""",Sun,Sagittarius,"26°29'32.82""",7th House,7,180,180.6873,0.6873,Weak
2026-01-11 06:15:00,Parashara_Drishti,Sun,Sagittarius,"26°30'11.03""",Jupiter,Gemini,"25°48'13.36""",7th House,7,180,179.3006,0.6994,Standard
2026-01-11 06:15:00,Parashara_Drishti,Jupiter,Gemini,"25°48'13.36""",Sun,Sagittarius,"26°30'11.03""",7th House,7,180,180.6994,0.6994,Weak
2026-01-11 06:30:00,Parashara_Drishti,Sun,Sagittarius,"26°30'49.24""",Jupiter,Gemini,"25°48'08.30""",7th House,7,180,179.2886,0.7114,Standard
2026-01-11 06:30:00,Parashara_Drishti,Jupiter,Gemini,"25°48'08.30""",Sun,Sagittarius,"26°30'49.24""",7th House,7,180,180.7114,0.7114,Weak
2026-01-11 06:45:00,Parashara_Drishti,Sun,Sagittarius,"26°31'27.44""",Jupiter,Gemini,"25°48'03.24""",7th House,7,180,179.2766,0.7234,Standard
2026-01-11 06:45:00,Parashara_Drishti,Jupiter,Gemini,"25°48'03.24""",Sun,Sagittarius,"26°31'27.44""",7th House,7,180,180.7234,0.7234,Weak
2026-01-11 07:00:00,Parashara_Drishti,Sun,Sagittarius,"26°32'05.65""",Jupiter,Gemini,"25°47'58.18""",7th House,7,180,179.2646,0.7354,Standard
2026-01-11 07:00:00,Parashara_Drishti,Jupiter,Gemini,"25°47'58.18""",Sun,Sagittarius,"26°32'05.65""",7th House,7,180,180.7354,0.7354,Weak
2026-01-11 07:15:00,Parashara_Drishti,Sun,Sagittarius,"26°32'43.86""",Jupiter,Gemini,"25°47'53.11""",7th House,7,180,179.2526,0.7474,Standard
2026-01-11 07:15:00,Parashara_Drishti,Jupiter,Gemini,"25°47'53.11""",Sun,Sagittarius,"26°32'43.86""",7th House,7,180,180.7474,0.7474,Weak
