datetime,event,aspecting_planet,aspecting_sign,aspecting_sign_vi,aspecting_degree,aspecting_nakshatra,aspecting_nakshatra_lord,aspecting_pada,aspected_planet,aspected_sign,aspected_sign_vi,aspected_degree,aspected_nakshatra,aspected_nakshatra_lord,aspected_pada,aspect_type,aspect_house,target_angle,actual_angle,orb,strength
2026-01-12 00:00:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"27°15'23.84""",Uttara Ashadha,Sun,1,Mars,Sagittarius,Nhân Mã,"26°42'33.41""",Uttara Ashadha,Sun,1,0th House,0,0,359.4527,0.5473,Combust
2026-01-12 00:00:00,Parashara_Drishti,Mars,Sagittarius,Nhân Mã,"26°42'33.41""",Uttara Ashadha,Sun,1,Sun,Sagittarius,Nhân Mã,"27°15'23.84""",Uttara Ashadha,Sun,1,0th House,0,0,0.5473,0.5473,Standard
2026-01-12 00:15:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"27°16'02.05""",Uttara Ashadha,Sun,1,Mars,Sagittarius,Nhân Mã,"26°43'02.41""",Uttara Ashadha,Sun,1,0th House,0,0,359.4501,0.5499,Combust
2026-01-12 00:15:00,Parashara_Drishti,Mars,Sagittarius,Nhân Mã,"26°43'02.41""",Uttara Ashadha,Sun,1,Sun,Sagittarius,Nhân Mã,"27°16'02.05""",Uttara Ashadha,Sun,1,0th House,0,0,0.5499,0.5499,Standard
2026-01-12 00:30:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"27°16'40.26""",Uttara Ashadha,Sun,1,Mars,Sagittarius,Nhân Mã,"26°43'31.40""",Uttara Ashadha,Sun,1,0th House,0,0,359.4475,0.5525,Combust
2026-01-12 00:30:00,Parashara_Drishti,Mars,Sagittarius,Nhân Mã,"26°43'31.40""",Uttara Ashadha,Sun,1,Sun,Sagittarius,Nhân Mã,"27°16'40.26""",Uttara Ashadha,Sun,1,0th House,0,0,0.5525,0.5525,Standard
2026-01-12 00:45:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"27°17'18.47""",Uttara Ashadha,Sun,1,Mars,Sagittarius,Nhân Mã,"26°44'00.40""",Uttara Ashadha,Sun,1,0th House,0,0,359.445,0.555,Combust
2026-01-12 00:45:00,Parashara_Drishti,Mars,Sagittarius,Nhân Mã,"26°44'00.40""",Uttara Ashadha,Sun,1,Sun,Sagittarius,Nhân Mã,"27°17'18.47""",Uttara Ashadha,Sun,1,0th House,0,0,0.555,0.555,Standard
2026-01-12 01:00:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"27°17'56.67""",Uttara Ashadha,Sun,1,Mars,Sagittarius,Nhân Mã,"26°44'29.40""",Uttara Ashadha,Sun,1,0th House,0,0,359.4424,0.5576,Combust
2026-01-12 01:00:00,Parashara_Drishti,Mars,Sagittarius,Nhân Mã,"26°44'29.40""",Uttara Ashadha,Sun,1,Sun,Sagittarius,Nhân Mã,"27°17'56.67""",Uttara Ashadha,Sun,1,0th House,0,0,0.5576,0.5576,Standard
2026-01-12 01:15:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"27°18'34.88""",Uttara Ashadha,Sun,1,Mars,Sagittarius,Nhân Mã,"26°44'58.39""",Uttara Ashadha,Sun,1,0th House,0,0,359.4399,0.5601,Combust
2026-01-12 01:15:00,Parashara_Drishti,Mars,Sagittarius,Nhân Mã,"26°44'58.39""",Uttara Ashadha,Sun,1,Sun,Sagittarius,Nhân Mã,"27°18'34.88""",Uttara Ashadha,Sun,1,0th House,0,0,0.5601,0.5601,Standard
2026-01-12 01:30:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"27°19'13.09""",Uttara Ashadha,Sun,1,Mars,Sagittarius,Nhân Mã,"26°45'27.39""",Uttara Ashadha,Sun,1,0th House,0,0,359.4373,0.5627,Combust
2026-01-12 01:30:00,Parashara_Drishti,Mars,Sagittarius,Nhân Mã,"26°45'27.39""",Uttara Ashadha,Sun,1,Sun,Sagittarius,Nhân Mã,"27°19'13.09""",Uttara Ashadha,Sun,1,0th House,0,0,0.5627,0.5627,Standard
2026-01-12 01:45:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"27°19'51.30""",Uttara Ashadha,Sun,1,Mars,Sagittarius,Nhân Mã,"26°45'56.38""",Uttara Ashadha,Sun,1,0th House,0,0,359.4347,0.5653,Combust
2026-01-12 01:45:00,Parashara_Drishti,Mars,Sagittarius,Nhân Mã,"26°45'56.38""",Uttara Ashadha,Sun,1,Sun,Sagittarius,Nhân Mã,"27°19'51.30""",Uttara Ashadha,Sun,1,0th House,0,0,0.5653,0.5653,Standard
2026-01-12 02:00:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"27°20'29.51""",Uttara Ashadha,Sun,1,Mars,Sagittarius,Nhân Mã,"26°46'25.38""",Uttara Ashadha,Sun,1,0th House,0,0,359.4322,0.5678,Combust
2026-01-12 02:00:00,Parashara_Drishti,Mars,Sagittarius,Nhân Mã,"26°46'25.38""",Uttara Ashadha,Sun,1,Sun,Sagittarius,Nhân Mã,"27°20'29.51""",Uttara Ashadha,Sun,1,0th House,0,0,0.5678,0.5678,Standard
