datetime,event,aspecting_planet,aspecting_sign,aspecting_degree,aspected_planet,aspected_sign,aspected_degree,aspect_type,aspect_house,target_angle,actual_angle,orb,strength
2026-01-15 00:00:00,Parashara_Drishti,Mercury,Sagittarius,"25°56'08.61""",Jupiter,Gemini,"25°18'00.73""",7th House,7,180,179.3645,0.6355,Standard
2026-01-15 00:00:00,Parashara_Drishti,Jupiter,Gemini,"25°18'00.73""",Mercury,Sagittarius,"25°56'08.61""",7th House,7,180,180.6355,0.6355,Weak
2026-01-15 00:15:00,Parashara_Drishti,Mercury,Sagittarius,"25°57'09.29""",Jupiter,Gemini,"25°17'55.70""",7th House,7,180,179.3462,0.6538,Standard
2026-01-15 00:15:00,Parashara_Drishti,Jupiter,Gemini,"25°17'55.70""",Mercury,Sagittarius,"25°57'09.29""",7th House,7,180,180.6538,0.6538,Weak
2026-01-15 00:30:00,Parashara_Drishti,Mercury,Sagittarius,"25°58'09.96""",Jupiter,Gemini,"25°17'50.68""",7th House,7,180,179.328,0.672,Standard
2026-01-15 00:30:00,Parashara_Drishti,Jupiter,Gemini,"25°17'50.68""",Mercury,Sagittarius,"25°58'09.96""",7th House,7,180,180.672,0.672,Weak
2026-01-15 00:45:00,Parashara_Drishti,Mercury,Sagittarius,"25°59'10.64""",Jupiter,Gemini,"25°17'45.65""",7th House,7,180,179.3097,0.6903,Standard
2026-01-15 00:45:00,Parashara_Drishti,Jupiter,Gemini,"25°17'45.65""",Mercury,Sagittarius,"25°59'10.64""",7th House,7,180,180.6903,0.6903,Weak
2026-01-15 01:00:00,Parashara_Drishti,Mercury,Sagittarius,"26°00'11.33""",Jupiter,Gemini,"25°17'40.62""",7th House,7,180,179.2915,0.7085,Standard
2026-01-15 01:00:00,Parashara_Drishti,Jupiter,Gemini,"25°17'40.62""",Mercury,Sagittarius,"26°00'11.33""",7th House,7,180,180.7085,0.7085,Weak
2026-01-15 01:15:00,Parashara_Drishti,Mercury,Sagittarius,"26°01'12.01""",Jupiter,Gemini,"25°17'35.60""",7th House,7,180,179.2732,0.7268,Standard
2026-01-15 01:15:00,Parashara_Drishti,Jupiter,Gemini,"25°17'35.60""",Mercury,Sagittarius,"26°01'12.01""",7th House,7,180,180.7268,0.7268,Weak
2026-01-15 01:30:00,Parashara_Drishti,Mercury,Sagittarius,"26°02'12.70""",Jupiter,Gemini,"25°17'30.57""",7th House,7,180,179.255,0.745,Standard
2026-01-15 01:30:00,Parashara_Drishti,Jupiter,Gemini,"25°17'30.57""",Mercury,Sagittarius,"26°02'12.70""",7th House,7,180,180.745,0.745,Weak
2026-01-15 01:45:00,Parashara_Drishti,Mercury,Sagittarius,"26°03'13.39""",Jupiter,Gemini,"25°17'25.55""",7th House,7,180,179.2367,0.7633,Standard
2026-01-15 01:45:00,Parashara_Drishti,Jupiter,Gemini,"25°17'25.55""",Mercury,Sagittarius,"26°03'13.39""",7th House,7,180,180.7633,0.7633,Weak
2026-01-15 02:00:00,Parashara_Drishti,Mercury,Sagittarius,"26°04'14.09""",Jupiter,Gemini,"25°17'20.52""",7th House,7,180,179.2185,0.7815,Standard
2026-01-15 02:00:00,Parashara_Drishti,Jupiter,Gemini,"25°17'20.52""",Mercury,Sagittarius,"26°04'14.09""",7th House,7,180,180.7815,0.7815,Weak
2026-01-15 02:15:00,Parashara_Drishti,Mercury,Sagittarius,"26°05'14.79""",Jupiter,Gemini,"25°17'15.50""",7th House,7,180,179.2002,0.7998,Standard
2026-01-15 02:15:00,Parashara_Drishti,Jupiter,Gemini,"25°17'15.50""",Mercury,Sagittarius,"26°05'14.79""",7th House,7,180,180.7998,0.7998,Weak
2026-01-15 02:30:00,Parashara_Drishti,Mercury,Sagittarius,"26°06'15.49""",Jupiter,Gemini,"25°17'10.47""",7th House,7,180,179.1819,0.8181,Standard
2026-01-15 02:30:00,Parashara_Drishti,Jupiter,Gemini,"25°17'10.47""",Mercury,Sagittarius,"26°06'15.49""",7th House,7,180,180.8181,0.8181,Weak
2026-01-15 02:45:00,Parashara_Drishti,Mercury,Sagittarius,"26°07'16.20""",Jupiter,Gemini,"25°17'05.45""",7th House,7,180,179.1637,0.8363,Standard
2026-01-15 02:45:00,Parashara_Drishti,Jupiter,Gemini,"25°17'05.45""",Mercury,Sagittarius,"26°07'16.20""",7th House,7,180,180.8363,0.8363,Weak
2026-01-15 03:00:00,Parashara_Drishti,Mercury,Sagittarius,"26°08'16.90""",Jupiter,Gemini,"25°17'00.42""",7th House,7,180,179.1454,0.8546,Standard
2026-01-15 03:00:00,Parashara_Drishti,Jupiter,Gemini,"25°17'00.42""",Mercury,Sagittarius,"26°08'16.90""",7th House,7,180,180.8546,0.8546,Weak
2026-01-15 03:15:00,Parashara_Drishti,Mercury,Sagittarius,"26°09'17.62""",Jupiter,Gemini,"25°16'55.40""",7th House,7,180,179.1272,0.8728,Standard
2026-01-15 03:15:00,Parashara_Drishti,Jupiter,Gemini,"25°16'55.40""",Mercury,Sagittarius,"26°09'17.62""",7th House,7,180,180.8728,0.8728,Weak
2026-01-15 03:30:00,Parashara_Drishti,Mercury,Sagittarius,"26°10'18.33""",Jupiter,Gemini,"25°16'50.37""",7th House,7,180,179.1089,0.8911,Standard
2026-01-15 03:30:00,Parashara_Drishti,Jupiter,Gemini,"25°16'50.37""",Mercury,Sagittarius,"26°10'18.33""",7th House,7,180,180.8911,0.8911,Weak
2026-01-15 03:45:00,Parashara_Drishti,Mercury,Sagittarius,"26°11'19.05""",Jupiter,Gemini,"25°16'45.35""",7th House,7,180,179.0906,0.9094,Standard
2026-01-15 03:45:00,Parashara_Drishti,Jupiter,Gemini,"25°16'45.35""",Mercury,Sagittarius,"26°11'19.05""",7th House,7,180,180.9094,0.9094,Weak
2026-01-15 04:00:00,Parashara_Drishti,Mercury,Sagittarius,"26°12'19.77""",Jupiter,Gemini,"25°16'40.33""",7th House,7,180,179.0724,0.9276,Standard
2026-01-15 04:00:00,Parashara_Drishti,Jupiter,Gemini,"25°16'40.33""",Mercury,Sagittarius,"26°12'19.77""",7th House,7,180,180.9276,0.9276,Weak
2026-01-15 04:15:00,Parashara_Drishti,Mercury,Sagittarius,"26°13'20.49""",Jupiter,Gemini,"25°16'35.30""",7th House,7,180,179.0541,0.9459,Standard
2026-01-15 04:15:00,Parashara_Drishti,Jupiter,Gemini,"25°16'35.30""",Mercury,Sagittarius,"26°13'20.49""",7th House,7,180,180.9459,0.9459,Weak
2026-01-15 04:30:00,Parashara_Drishti,Mercury,Sagittarius,"26°14'21.22""",Jupiter,Gemini,"25°16'30.28""",7th House,7,180,179.0358,0.9642,Standard
2026-01-15 04:30:00,Parashara_Drishti,Jupiter,Gemini,"25°16'30.28""",Mercury,Sagittarius,"26°14'21.22""",7th House,7,180,180.9642,0.9642,Weak
2026-01-15 04:45:00,Parashara_Drishti,Mercury,Sagittarius,"26°15'21.95""",Jupiter,Gemini,"25°16'25.26""",7th House,7,180,179.0176,0.9824,Standard
2026-01-15 04:45:00,Parashara_Drishti,Jupiter,Gemini,"25°16'25.26""",Mercury,Sagittarius,"26°15'21.95""",7th House,7,180,180.9824,0.9824,Weak
