datetime,event,aspecting_planet,aspecting_sign,aspecting_sign_vi,aspecting_degree,aspecting_nakshatra,aspecting_nakshatra_lord,aspecting_pada,aspected_planet,aspected_sign,aspected_sign_vi,aspected_degree,aspected_nakshatra,aspected_nakshatra_lord,aspected_pada,aspect_type,aspect_house,target_angle,actual_angle,orb,strength
2026-01-27 16:00:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°08'57.75""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°08'55.39""",Shravana,Moon,3,0th House,0,0,0.9993,0.9993,Standard
2026-01-27 16:00:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°08'55.39""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°08'57.75""",Shravana,Moon,3,0th House,0,0,359.0007,0.9993,Standard
2026-01-27 16:15:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°10'02.75""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°09'42.48""",Shravana,Moon,3,0th House,0,0,0.9944,0.9944,Standard
2026-01-27 16:15:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°09'42.48""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°10'02.75""",Shravana,Moon,3,0th House,0,0,359.0056,0.9944,Standard
2026-01-27 16:30:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°11'07.77""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°10'29.57""",Shravana,Moon,3,0th House,0,0,0.9894,0.9894,Standard
2026-01-27 16:30:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°10'29.57""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°11'07.77""",Shravana,Moon,3,0th House,0,0,359.0106,0.9894,Standard
2026-01-27 16:45:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°12'12.78""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°11'16.66""",Shravana,Moon,3,0th House,0,0,0.9844,0.9844,Standard
2026-01-27 16:45:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°11'16.66""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°12'12.78""",Shravana,Moon,3,0th House,0,0,359.0156,0.9844,Standard
2026-01-27 17:00:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°13'17.80""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°12'03.75""",Shravana,Moon,3,0th House,0,0,0.9794,0.9794,Standard
2026-01-27 17:00:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°12'03.75""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°13'17.80""",Shravana,Moon,3,0th House,0,0,359.0206,0.9794,Standard
2026-01-27 17:15:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°14'22.82""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°12'50.84""",Shravana,Moon,3,0th House,0,0,0.9744,0.9744,Standard
2026-01-27 17:15:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°12'50.84""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°14'22.82""",Shravana,Moon,3,0th House,0,0,359.0256,0.9744,Standard
2026-01-27 17:30:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°15'27.85""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°13'37.93""",Shravana,Moon,3,0th House,0,0,0.9695,0.9695,Standard
2026-01-27 17:30:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°13'37.93""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°15'27.85""",Shravana,Moon,3,0th House,0,0,359.0305,0.9695,Standard
2026-01-27 17:45:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°16'32.87""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°14'25.02""",Shravana,Moon,3,0th House,0,0,0.9645,0.9645,Standard
2026-01-27 17:45:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°14'25.02""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°16'32.87""",Shravana,Moon,3,0th House,0,0,359.0355,0.9645,Standard
2026-01-27 18:00:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°17'37.91""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°15'12.10""",Shravana,Moon,3,0th House,0,0,0.9595,0.9595,Standard
2026-01-27 18:00:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°15'12.10""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°17'37.91""",Shravana,Moon,3,0th House,0,0,359.0405,0.9595,Standard
2026-01-27 18:15:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°18'42.94""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°15'59.19""",Shravana,Moon,3,0th House,0,0,0.9545,0.9545,Standard
2026-01-27 18:15:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°15'59.19""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°18'42.94""",Shravana,Moon,3,0th House,0,0,359.0455,0.9545,Standard
2026-01-27 18:30:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°19'47.98""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°16'46.28""",Shravana,Moon,3,0th House,0,0,0.9495,0.9495,Standard
2026-01-27 18:30:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°16'46.28""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°19'47.98""",Shravana,Moon,3,0th House,0,0,359.0505,0.9495,Standard
2026-01-27 18:45:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°20'53.02""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°17'33.37""",Shravana,Moon,3,0th House,0,0,0.9445,0.9445,Standard
2026-01-27 18:45:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°17'33.37""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°20'53.02""",Shravana,Moon,3,0th House,0,0,359.0555,0.9445,Standard
2026-01-27 19:00:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°21'58.07""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°18'20.46""",Shravana,Moon,3,0th House,0,0,0.9396,0.9396,Standard
2026-01-27 19:00:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°18'20.46""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°21'58.07""",Shravana,Moon,3,0th House,0,0,359.0604,0.9396,Standard
2026-01-27 19:15:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°23'03.12""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°19'07.55""",Shravana,Moon,3,0th House,0,0,0.9346,0.9346,Standard
2026-01-27 19:15:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°19'07.55""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°23'03.12""",Shravana,Moon,3,0th House,0,0,359.0654,0.9346,Standard
2026-01-27 19:30:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°24'08.17""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°19'54.64""",Shravana,Moon,3,0th House,0,0,0.9296,0.9296,Standard
2026-01-27 19:30:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°19'54.64""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°24'08.17""",Shravana,Moon,3,0th House,0,0,359.0704,0.9296,Standard
2026-01-27 19:45:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°25'13.22""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°20'41.72""",Shravana,Moon,3,0th House,0,0,0.9246,0.9246,Standard
2026-01-27 19:45:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°20'41.72""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°25'13.22""",Shravana,Moon,3,0th House,0,0,359.0754,0.9246,Standard
2026-01-27 20:00:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°26'18.28""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°21'28.81""",Shravana,Moon,3,0th House,0,0,0.9196,0.9196,Standard
2026-01-27 20:00:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°21'28.81""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°26'18.28""",Shravana,Moon,3,0th House,0,0,359.0804,0.9196,Standard
2026-01-27 20:15:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°27'23.34""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°22'15.90""",Shravana,Moon,3,0th House,0,0,0.9146,0.9146,Standard
2026-01-27 20:15:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°22'15.90""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°27'23.34""",Shravana,Moon,3,0th House,0,0,359.0854,0.9146,Standard
2026-01-27 20:30:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°28'28.41""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°23'02.99""",Shravana,Moon,3,0th House,0,0,0.9096,0.9096,Standard
2026-01-27 20:30:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°23'02.99""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°28'28.41""",Shravana,Moon,3,0th House,0,0,359.0904,0.9096,Standard
2026-01-27 20:45:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°29'33.48""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°23'50.08""",Shravana,Moon,3,0th House,0,0,0.9046,0.9046,Standard
2026-01-27 20:45:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°23'50.08""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°29'33.48""",Shravana,Moon,3,0th House,0,0,359.0954,0.9046,Standard
2026-01-27 21:00:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°30'38.55""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°24'37.16""",Shravana,Moon,3,0th House,0,0,0.8996,0.8996,Standard
2026-01-27 21:00:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°24'37.16""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°30'38.55""",Shravana,Moon,3,0th House,0,0,359.1004,0.8996,Standard
2026-01-27 21:15:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°31'43.63""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°25'24.25""",Shravana,Moon,3,0th House,0,0,0.8946,0.8946,Standard
2026-01-27 21:15:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°25'24.25""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°31'43.63""",Shravana,Moon,3,0th House,0,0,359.1054,0.8946,Standard
2026-01-27 21:30:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°32'48.71""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°26'11.34""",Shravana,Moon,3,0th House,0,0,0.8896,0.8896,Standard
2026-01-27 21:30:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°26'11.34""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°32'48.71""",Shravana,Moon,3,0th House,0,0,359.1104,0.8896,Standard
2026-01-27 21:45:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°33'53.79""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°26'58.43""",Shravana,Moon,3,0th House,0,0,0.8846,0.8846,Standard
2026-01-27 21:45:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°26'58.43""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°33'53.79""",Shravana,Moon,3,0th House,0,0,359.1154,0.8846,Standard
2026-01-27 22:00:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°34'58.88""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°27'45.51""",Shravana,Moon,3,0th House,0,0,0.8796,0.8796,Standard
2026-01-27 22:00:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°27'45.51""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°34'58.88""",Shravana,Moon,3,0th House,0,0,359.1204,0.8796,Standard
2026-01-27 22:15:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°36'03.96""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°28'32.60""",Shravana,Moon,3,0th House,0,0,0.8746,0.8746,Standard
2026-01-27 22:15:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°28'32.60""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°36'03.96""",Shravana,Moon,3,0th House,0,0,359.1254,0.8746,Standard
2026-01-27 22:30:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°37'09.06""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°29'19.69""",Shravana,Moon,3,0th House,0,0,0.8696,0.8696,Standard
2026-01-27 22:30:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°29'19.69""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°37'09.06""",Shravana,Moon,3,0th House,0,0,359.1304,0.8696,Standard
2026-01-27 22:45:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°38'14.15""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°30'06.77""",Shravana,Moon,3,0th House,0,0,0.8646,0.8646,Standard
2026-01-27 22:45:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°30'06.77""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°38'14.15""",Shravana,Moon,3,0th House,0,0,359.1354,0.8646,Standard
2026-01-27 23:00:00,Parashara_Drishti,Mercury,Capricorn,Ma Kết,"17°39'19.25""",Shravana,Moon,3,Venus,Capricorn,Ma Kết,"18°30'53.86""",Shravana,Moon,3,0th House,0,0,0.8596,0.8596,Standard
2026-01-27 23:00:00,Parashara_Drishti,Venus,Capricorn,Ma Kết,"18°30'53.86""",Shravana,Moon,3,Mercury,Capricorn,Ma Kết,"17°39'19.25""",Shravana,Moon,3,0th House,0,0,359.1404,0.8596,Standard
