datetime,event,aspecting_planet,aspecting_sign,aspecting_sign_vi,aspecting_degree,aspecting_nakshatra,aspecting_nakshatra_lord,aspecting_pada,aspected_planet,aspected_sign,aspected_sign_vi,aspected_degree,aspected_nakshatra,aspected_nakshatra_lord,aspected_pada,aspect_type,aspect_house,target_angle,actual_angle,orb,strength
2026-01-30 21:30:00,Parashara_Drishti,Rahu,Aquarius,Bảo Bình,"16°22'48.44""",Shatabhisha,Rahu,3,Moon,Gemini,Song Tử,"15°28'39.02""",Ardra,Rahu,3,9th House (Reverse),9,-240,119.0974,0.9026,Strong
2026-01-30 21:45:00,Parashara_Drishti,Rahu,Aquarius,Bảo Bình,"16°22'46.46""",Shatabhisha,Rahu,3,Moon,Gemini,Song Tử,"15°37'45.09""",Ardra,Rahu,3,9th House (Reverse),9,-240,119.24959999999999,0.7504,Strong
2026-01-30 22:00:00,Parashara_Drishti,Rahu,Aquarius,Bảo Bình,"16°22'44.47""",Shatabhisha,Rahu,3,Moon,Gemini,Song Tử,"15°46'51.13""",Ardra,Rahu,3,9th House (Reverse),9,-240,119.40190000000001,0.5981,Strong
2026-01-30 22:15:00,Parashara_Drishti,Rahu,Aquarius,Bảo Bình,"16°22'42.48""",Shatabhisha,Rahu,3,Moon,Gemini,Song Tử,"15°55'57.15""",Ardra,Rahu,3,9th House (Reverse),9,-240,119.5541,0.4459,Strong
2026-01-30 22:30:00,Parashara_Drishti,Rahu,Aquarius,Bảo Bình,"16°22'40.49""",Shatabhisha,Rahu,3,Moon,Gemini,Song Tử,"16°05'03.13""",Ardra,Rahu,3,9th House (Reverse),9,-240,119.7063,0.2937,Strong
2026-01-30 22:45:00,Parashara_Drishti,Rahu,Aquarius,Bảo Bình,"16°22'38.51""",Shatabhisha,Rahu,3,Moon,Gemini,Song Tử,"16°14'09.09""",Ardra,Rahu,3,9th House (Reverse),9,-240,119.85849999999999,0.1415,Strong
2026-01-30 23:00:00,Parashara_Drishti,Rahu,Aquarius,Bảo Bình,"16°22'36.52""",Shatabhisha,Rahu,3,Moon,Gemini,Song Tử,"16°23'15.02""",Ardra,Rahu,3,9th House (Reverse),9,-240,120.01070000000001,0.0107,Strong
2026-01-30 23:15:00,Parashara_Drishti,Rahu,Aquarius,Bảo Bình,"16°22'34.53""",Shatabhisha,Rahu,3,Moon,Gemini,Song Tử,"16°32'20.92""",Ardra,Rahu,3,9th House (Reverse),9,-240,120.16290000000001,0.1629,Strong
2026-01-30 23:30:00,Parashara_Drishti,Rahu,Aquarius,Bảo Bình,"16°22'32.55""",Shatabhisha,Rahu,3,Moon,Gemini,Song Tử,"16°41'26.79""",Ardra,Rahu,4,9th House (Reverse),9,-240,120.3151,0.3151,Strong
2026-01-30 23:45:00,Parashara_Drishti,Rahu,Aquarius,Bảo Bình,"16°22'30.56""",Shatabhisha,Rahu,3,Moon,Gemini,Song Tử,"16°50'32.63""",Ardra,Rahu,4,9th House (Reverse),9,-240,120.46719999999999,0.4672,Strong
