date,time,datetime_local,datetime_utc,julian_day,timezone_offset,Sun_Longitude,Sun_Latitude,Sun_Distance,Sun_Sign,Sun_Sign_VI,Sun_Degree,Sun_Degree_Decimal,Sun_Motion,Sun_Retrograde,Sun_Speed,Sun_Symbol,Sun_Name_VI,Moon_Longitude,Moon_Latitude,Moon_Distance,Moon_Sign,Moon_Sign_VI,Moon_Degree,Moon_Degree_Decimal,Moon_Motion,Moon_Retrograde,Moon_Speed,Moon_Symbol,Moon_Name_VI,Mercury_Longitude,Mercury_Latitude,Mercury_Distance,Mercury_Sign,Mercury_Sign_VI,Mercury_Degree,Mercury_Degree_Decimal,Mercury_Motion,Mercury_Retrograde,Mercury_Speed,Mercury_Symbol,Mercury_Name_VI,Venus_Longitude,Venus_Latitude,Venus_Distance,Venus_Sign,Venus_Sign_VI,Venus_Degree,Venus_Degree_Decimal,Venus_Motion,Venus_Retrograde,Venus_Speed,Venus_Symbol,Venus_Name_VI,Mars_Longitude,Mars_Latitude,Mars_Distance,Mars_Sign,Mars_Sign_VI,Mars_Degree,Mars_Degree_Decimal,Mars_Motion,Mars_Retrograde,Mars_Speed,Mars_Symbol,Mars_Name_VI,Jupiter_Longitude,Jupiter_Latitude,Jupiter_Distance,Jupiter_Sign,Jupiter_Sign_VI,Jupiter_Degree,Jupiter_Degree_Decimal,Jupiter_Motion,Jupiter_Retrograde,Jupiter_Speed,Jupiter_Symbol,Jupiter_Name_VI,Saturn_Longitude,Saturn_Latitude,Saturn_Distance,Saturn_Sign,Saturn_Sign_VI,Saturn_Degree,Saturn_Degree_Decimal,Saturn_Motion,Saturn_Retrograde,Saturn_Speed,Saturn_Symbol,Saturn_Name_VI,Uranus_Longitude,Uranus_Latitude,Uranus_Distance,Uranus_Sign,Uranus_Sign_VI,Uranus_Degree,Uranus_Degree_Decimal,Uranus_Motion,Uranus_Retrograde,Uranus_Speed,Uranus_Symbol,Uranus_Name_VI,Neptune_Longitude,Neptune_Latitude,Neptune_Distance,Neptune_Sign,Neptune_Sign_VI,Neptune_Degree,Neptune_Degree_Decimal,Neptune_Motion,Neptune_Retrograde,Neptune_Speed,Neptune_Symbol,Neptune_Name_VI,Pluto_Longitude,Pluto_Latitude,Pluto_Distance,Pluto_Sign,Pluto_Sign_VI,Pluto_Degree,Pluto_Degree_Decimal,Pluto_Motion,Pluto_Retrograde,Pluto_Speed,Pluto_Symbol,Pluto_Name_VI,Rahu_Longitude,Rahu_Latitude,Rahu_Distance,Rahu_Sign,Rahu_Sign_VI,Rahu_Degree,Rahu_Degree_Decimal,Rahu_Motion,Rahu_Retrograde,Rahu_Speed,Rahu_Symbol,Rahu_Name_VI,Ketu_Longitude,Ketu_Latitude,Ketu_Distance,Ketu_Sign,Ketu_Sign_VI,Ketu_Degree,Ketu_Degree_Decimal,Ketu_Motion,Ketu_Retrograde,Ketu_Speed,Ketu_Symbol,Ketu_Name_VI
2026-01-01,00:00:00,2026-01-01 00:00:00,2025-12-31 17:00:00,2461041.2083333335,7.0,256.049632,0.000177,0.983332,Sagittarius,Nhân Mã,"16°02'58.67""",16.049632,D,False,1.018783,☉,Mặt Trời,38.129547,5.006058,0.002417,Taurus,Kim Ngưu,"8°07'46.37""",8.129547,D,False,14.937594,☽,Mặt Trăng,243.985172,-0.537817,1.375328,Sagittarius,Nhân Mã,"3°59'06.62""",3.985172,D,False,1.523605,☿,Sao Thủy,254.617693,-0.494168,1.70987,Sagittarius,Nhân Mã,"14°37'03.70""",14.617693,D,False,1.258244,♀,Sao Kim,258.242881,-0.889281,2.410927,Sagittarius,Nhân Mã,"18°14'34.37""",18.242881,D,False,0.766079,♂,Sao Hỏa,87.173925,0.238452,4.243449,Gemini,Song Tử,"27°10'26.13""",27.173925,R,True,-0.130377,♃,Sao Mộc,331.928534,-2.259687,9.710557,Pisces,Song Ngư,"1°55'42.72""",1.928534,D,False,0.057785,♄,Sao Thổ,33.735514,-0.197666,18.751947,Taurus,Kim Ngưu,"3°44'07.85""",3.735514,R,True,-0.027726,♅,Sao Thiên Vương,335.28137,-1.332535,30.053003,Pisces,Song Ngư,"5°16'52.93""",5.28137,D,False,0.012189,♆,Sao Hải Vương,278.487956,-3.770511,36.325925,Capricorn,Ma Kết,"8°29'16.64""",8.487956,D,False,0.029998,♇,Sao Diêm Vương,317.964363,0.0,0.00257,Aquarius,Bảo Bình,"17°57'51.71""",17.964363,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),137.964363,-0.0,0.00257,Leo,Sư Tử,"17°57'51.71""",17.964363,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2026-01-01,00:15:00,2026-01-01 00:15:00,2025-12-31 17:15:00,2461041.21875,7.0,256.060244,0.000177,0.983332,Sagittarius,Nhân Mã,"16°03'36.88""",16.060244,D,False,1.018783,☉,Mặt Trời,38.285158,5.008096,0.002417,Taurus,Kim Ngưu,"8°17'06.57""",8.285158,D,False,14.939586,☽,Mặt Trăng,244.001044,-0.538973,1.375409,Sagittarius,Nhân Mã,"4°00'03.76""",4.001044,D,False,1.523667,☿,Sao Thủy,254.6308,-0.494559,1.709873,Sagittarius,Nhân Mã,"14°37'50.88""",14.6308,D,False,1.258244,♀,Sao Kim,258.250861,-0.889346,2.410919,Sagittarius,Nhân Mã,"18°15'03.10""",18.250861,D,False,0.766086,♂,Sao Hỏa,87.172567,0.238478,4.24342,Gemini,Song Tử,"27°10'21.24""",27.172567,R,True,-0.130386,♃,Sao Mộc,331.929136,-2.259653,9.710724,Pisces,Song Ngư,"1°55'44.89""",1.929136,D,False,0.057802,♄,Sao Thổ,33.735225,-0.197663,18.752066,Taurus,Kim Ngưu,"3°44'06.81""",3.735225,R,True,-0.027719,♅,Sao Thiên Vương,335.281497,-1.332528,30.05318,Pisces,Song Ngư,"5°16'53.39""",5.281497,D,False,0.012195,♆,Sao Hải Vương,278.488269,-3.770518,36.326001,Capricorn,Ma Kết,"8°29'17.77""",8.488269,D,False,0.03,♇,Sao Diêm Vương,317.963811,0.0,0.00257,Aquarius,Bảo Bình,"17°57'49.72""",17.963811,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),137.963811,-0.0,0.00257,Leo,Sư Tử,"17°57'49.72""",17.963811,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2026-01-01,00:30:00,2026-01-01 00:30:00,2025-12-31 17:30:00,2461041.2291666665,7.0,256.070856,0.000177,0.983332,Sagittarius,Nhân Mã,"16°04'15.08""",16.070856,D,False,1.018783,☉,Mặt Trời,38.440789,5.010097,0.002416,Taurus,Kim Ngưu,"8°26'26.84""",8.440789,D,False,14.941561,☽,Mặt Trăng,244.016915,-0.540128,1.375489,Sagittarius,Nhân Mã,"4°01'00.90""",4.016915,D,False,1.523729,☿,Sao Thủy,254.643907,-0.494949,1.709876,Sagittarius,Nhân Mã,"14°38'38.06""",14.643907,D,False,1.258243,♀,Sao Kim,258.258841,-0.889412,2.410911,Sagittarius,Nhân Mã,"18°15'31.83""",18.258841,D,False,0.766093,♂,Sao Hỏa,87.171209,0.238503,4.243392,Gemini,Song Tử,"27°10'16.35""",27.171209,R,True,-0.130396,♃,Sao Mộc,331.929738,-2.259618,9.710892,Pisces,Song Ngư,"1°55'47.06""",1.929738,D,False,0.057818,♄,Sao Thổ,33.734937,-0.19766,18.752186,Taurus,Kim Ngưu,"3°44'05.77""",3.734937,R,True,-0.027712,♅,Sao Thiên Vương,335.281624,-1.332521,30.053358,Pisces,Song Ngư,"5°16'53.84""",5.281624,D,False,0.012201,♆,Sao Hải Vương,278.488581,-3.770525,36.326077,Capricorn,Ma Kết,"8°29'18.89""",8.488581,D,False,0.030002,♇,Sao Diêm Vương,317.963259,0.0,0.00257,Aquarius,Bảo Bình,"17°57'47.73""",17.963259,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),137.963259,-0.0,0.00257,Leo,Sư Tử,"17°57'47.73""",17.963259,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2026-01-01,00:45:00,2026-01-01 00:45:00,2025-12-31 17:45:00,2461041.2395833335,7.0,256.081469,0.000177,0.983331,Sagittarius,Nhân Mã,"16°04'53.29""",16.081469,D,False,1.018783,☉,Mặt Trời,38.596441,5.012061,0.002416,Taurus,Kim Ngưu,"8°35'47.19""",8.596441,D,False,14.943523,☽,Mặt Trăng,244.032788,-0.541283,1.37557,Sagittarius,Nhân Mã,"4°01'58.04""",4.032788,D,False,1.52379,☿,Sao Thủy,254.657013,-0.495339,1.709879,Sagittarius,Nhân Mã,"14°39'25.25""",14.657013,D,False,1.258242,♀,Sao Kim,258.266821,-0.889477,2.410903,Sagittarius,Nhân Mã,"18°16'00.56""",18.266821,D,False,0.766099,♂,Sao Hỏa,87.169851,0.238529,4.243364,Gemini,Song Tử,"27°10'11.46""",27.169851,R,True,-0.130406,♃,Sao Mộc,331.930341,-2.259584,9.711059,Pisces,Song Ngư,"1°55'49.23""",1.930341,D,False,0.057834,♄,Sao Thổ,33.734648,-0.197657,18.752305,Taurus,Kim Ngưu,"3°44'04.73""",3.734648,R,True,-0.027705,♅,Sao Thiên Vương,335.281751,-1.332515,30.053535,Pisces,Song Ngư,"5°16'54.30""",5.281751,D,False,0.012206,♆,Sao Hải Vương,278.488894,-3.770532,36.326153,Capricorn,Ma Kết,"8°29'20.02""",8.488894,D,False,0.030004,♇,Sao Diêm Vương,317.962707,0.0,0.00257,Aquarius,Bảo Bình,"17°57'45.74""",17.962707,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),137.962707,-0.0,0.00257,Leo,Sư Tử,"17°57'45.74""",17.962707,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2026-01-01,01:00:00,2026-01-01 01:00:00,2025-12-31 18:00:00,2461041.25,7.0,256.092081,0.000177,0.983331,Sagittarius,Nhân Mã,"16°05'31.49""",16.092081,D,False,1.018782,☉,Mặt Trời,38.752114,5.013988,0.002416,Taurus,Kim Ngưu,"8°45'07.61""",8.752114,D,False,14.945468,☽,Mặt Trăng,244.048661,-0.542437,1.37565,Sagittarius,Nhân Mã,"4°02'55.18""",4.048661,D,False,1.523852,☿,Sao Thủy,254.67012,-0.495729,1.709882,Sagittarius,Nhân Mã,"14°40'12.43""",14.67012,D,False,1.258241,♀,Sao Kim,258.274802,-0.889542,2.410895,Sagittarius,Nhân Mã,"18°16'29.29""",18.274802,D,False,0.766106,♂,Sao Hỏa,87.168492,0.238554,4.243336,Gemini,Song Tử,"27°10'06.57""",27.168492,R,True,-0.130416,♃,Sao Mộc,331.930943,-2.25955,9.711226,Pisces,Song Ngư,"1°55'51.40""",1.930943,D,False,0.05785,♄,Sao Thổ,33.734359,-0.197654,18.752425,Taurus,Kim Ngưu,"3°44'03.69""",3.734359,R,True,-0.027698,♅,Sao Thiên Vương,335.281878,-1.332508,30.053713,Pisces,Song Ngư,"5°16'54.76""",5.281878,D,False,0.012212,♆,Sao Hải Vương,278.489206,-3.770538,36.326228,Capricorn,Ma Kết,"8°29'21.14""",8.489206,D,False,0.030005,♇,Sao Diêm Vương,317.962155,0.0,0.00257,Aquarius,Bảo Bình,"17°57'43.76""",17.962155,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),137.962155,-0.0,0.00257,Leo,Sư Tử,"17°57'43.76""",17.962155,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2026-01-01,01:15:00,2026-01-01 01:15:00,2025-12-31 18:15:00,2461041.2604166665,7.0,256.102693,0.000177,0.983331,Sagittarius,Nhân Mã,"16°06'09.70""",16.102693,D,False,1.018782,☉,Mặt Trời,38.907806,5.015878,0.002416,Taurus,Kim Ngưu,"8°54'28.10""",8.907806,D,False,14.9474,☽,Mặt Trăng,244.064535,-0.543592,1.37573,Sagittarius,Nhân Mã,"4°03'52.33""",4.064535,D,False,1.523913,☿,Sao Thủy,254.683227,-0.496119,1.709885,Sagittarius,Nhân Mã,"14°40'59.62""",14.683227,D,False,1.258241,♀,Sao Kim,258.282782,-0.889608,2.410886,Sagittarius,Nhân Mã,"18°16'58.02""",18.282782,D,False,0.766113,♂,Sao Hỏa,87.167134,0.23858,4.243308,Gemini,Song Tử,"27°10'01.68""",27.167134,R,True,-0.130425,♃,Sao Mộc,331.931546,-2.259516,9.711394,Pisces,Song Ngư,"1°55'53.57""",1.931546,D,False,0.057866,♄,Sao Thổ,33.734071,-0.197651,18.752545,Taurus,Kim Ngưu,"3°44'02.66""",3.734071,R,True,-0.027691,♅,Sao Thiên Vương,335.282005,-1.332501,30.05389,Pisces,Song Ngư,"5°16'55.22""",5.282005,D,False,0.012218,♆,Sao Hải Vương,278.489519,-3.770545,36.326304,Capricorn,Ma Kết,"8°29'22.27""",8.489519,D,False,0.030007,♇,Sao Diêm Vương,317.961603,-0.0,0.00257,Aquarius,Bảo Bình,"17°57'41.77""",17.961603,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),137.961603,0.0,0.00257,Leo,Sư Tử,"17°57'41.77""",17.961603,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2026-01-01,01:30:00,2026-01-01 01:30:00,2025-12-31 18:30:00,2461041.2708333335,7.0,256.113306,0.000177,0.983331,Sagittarius,Nhân Mã,"16°06'47.90""",16.113306,D,False,1.018782,☉,Mặt Trời,39.063519,5.017731,0.002416,Taurus,Kim Ngưu,"9°03'48.67""",9.063519,D,False,14.949317,☽,Mặt Trăng,244.080409,-0.544746,1.37581,Sagittarius,Nhân Mã,"4°04'49.47""",4.080409,D,False,1.523975,☿,Sao Thủy,254.696333,-0.49651,1.709888,Sagittarius,Nhân Mã,"14°41'46.80""",14.696333,D,False,1.25824,♀,Sao Kim,258.290762,-0.889673,2.410878,Sagittarius,Nhân Mã,"18°17'26.74""",18.290762,D,False,0.76612,♂,Sao Hỏa,87.165775,0.238605,4.24328,Gemini,Song Tử,"27°09'56.79""",27.165775,R,True,-0.130435,♃,Sao Mộc,331.932149,-2.259482,9.711561,Pisces,Song Ngư,"1°55'55.74""",1.932149,D,False,0.057882,♄,Sao Thổ,33.733783,-0.197649,18.752664,Taurus,Kim Ngưu,"3°44'01.62""",3.733783,R,True,-0.027684,♅,Sao Thiên Vương,335.282132,-1.332495,30.054068,Pisces,Song Ngư,"5°16'55.68""",5.282132,D,False,0.012224,♆,Sao Hải Vương,278.489832,-3.770552,36.32638,Capricorn,Ma Kết,"8°29'23.39""",8.489832,D,False,0.030009,♇,Sao Diêm Vương,317.961051,-0.0,0.00257,Aquarius,Bảo Bình,"17°57'39.78""",17.961051,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),137.961051,0.0,0.00257,Leo,Sư Tử,"17°57'39.78""",17.961051,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2026-01-01,01:45:00,2026-01-01 01:45:00,2025-12-31 18:45:00,2461041.28125,7.0,256.123918,0.000177,0.983331,Sagittarius,Nhân Mã,"16°07'26.10""",16.123918,D,False,1.018782,☉,Mặt Trời,39.219251,5.019547,0.002416,Taurus,Kim Ngưu,"9°13'09.30""",9.219251,D,False,14.951218,☽,Mặt Trăng,244.096284,-0.545899,1.37589,Sagittarius,Nhân Mã,"4°05'46.62""",4.096284,D,False,1.524036,☿,Sao Thủy,254.70944,-0.4969,1.709891,Sagittarius,Nhân Mã,"14°42'33.98""",14.70944,D,False,1.258239,♀,Sao Kim,258.298743,-0.889738,2.41087,Sagittarius,Nhân Mã,"18°17'55.47""",18.298743,D,False,0.766127,♂,Sao Hỏa,87.164416,0.238631,4.243252,Gemini,Song Tử,"27°09'51.90""",27.164416,R,True,-0.130445,♃,Sao Mộc,331.932752,-2.259448,9.711728,Pisces,Song Ngư,"1°55'57.91""",1.932752,D,False,0.057898,♄,Sao Thổ,33.733494,-0.197646,18.752784,Taurus,Kim Ngưu,"3°44'00.58""",3.733494,R,True,-0.027677,♅,Sao Thiên Vương,335.28226,-1.332488,30.054245,Pisces,Song Ngư,"5°16'56.14""",5.28226,D,False,0.012229,♆,Sao Hải Vương,278.490144,-3.770559,36.326456,Capricorn,Ma Kết,"8°29'24.52""",8.490144,D,False,0.030011,♇,Sao Diêm Vương,317.960499,0.0,0.00257,Aquarius,Bảo Bình,"17°57'37.80""",17.960499,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),137.960499,-0.0,0.00257,Leo,Sư Tử,"17°57'37.80""",17.960499,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2026-01-01,02:00:00,2026-01-01 02:00:00,2025-12-31 19:00:00,2461041.2916666665,7.0,256.13453,0.000177,0.98333,Sagittarius,Nhân Mã,"16°08'04.31""",16.13453,D,False,1.018781,☉,Mặt Trời,39.375003,5.021327,0.002416,Taurus,Kim Ngưu,"9°22'30.01""",9.375003,D,False,14.953106,☽,Mặt Trăng,244.11216,-0.547053,1.375971,Sagittarius,Nhân Mã,"4°06'43.78""",4.11216,D,False,1.524098,☿,Sao Thủy,254.722547,-0.49729,1.709894,Sagittarius,Nhân Mã,"14°43'21.17""",14.722547,D,False,1.258239,♀,Sao Kim,258.306723,-0.889804,2.410862,Sagittarius,Nhân Mã,"18°18'24.20""",18.306723,D,False,0.766134,♂,Sao Hỏa,87.163058,0.238657,4.243224,Gemini,Song Tử,"27°09'47.01""",27.163058,R,True,-0.130455,♃,Sao Mộc,331.933355,-2.259413,9.711896,Pisces,Song Ngư,"1°56'00.08""",1.933355,D,False,0.057914,♄,Sao Thổ,33.733206,-0.197643,18.752904,Taurus,Kim Ngưu,"3°43'59.54""",3.733206,R,True,-0.02767,♅,Sao Thiên Vương,335.282387,-1.332482,30.054423,Pisces,Song Ngư,"5°16'56.59""",5.282387,D,False,0.012235,♆,Sao Hải Vương,278.490457,-3.770566,36.326532,Capricorn,Ma Kết,"8°29'25.64""",8.490457,D,False,0.030012,♇,Sao Diêm Vương,317.959947,-0.0,0.00257,Aquarius,Bảo Bình,"17°57'35.81""",17.959947,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),137.959947,0.0,0.00257,Leo,Sư Tử,"17°57'35.81""",17.959947,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2026-01-01,02:15:00,2026-01-01 02:15:00,2025-12-31 19:15:00,2461041.3020833335,7.0,256.145143,0.000177,0.98333,Sagittarius,Nhân Mã,"16°08'42.51""",16.145143,D,False,1.018781,☉,Mặt Trời,39.530775,5.023069,0.002416,Taurus,Kim Ngưu,"9°31'50.79""",9.530775,D,False,14.954976,☽,Mặt Trăng,244.128036,-0.548206,1.376051,Sagittarius,Nhân Mã,"4°07'40.93""",4.128036,D,False,1.52416,☿,Sao Thủy,254.735653,-0.49768,1.709897,Sagittarius,Nhân Mã,"14°44'08.35""",14.735653,D,False,1.258238,♀,Sao Kim,258.314704,-0.889869,2.410854,Sagittarius,Nhân Mã,"18°18'52.93""",18.314704,D,False,0.766141,♂,Sao Hỏa,87.161699,0.238682,4.243196,Gemini,Song Tử,"27°09'42.11""",27.161699,R,True,-0.130464,♃,Sao Mộc,331.933958,-2.259379,9.712063,Pisces,Song Ngư,"1°56'02.25""",1.933958,D,False,0.057931,♄,Sao Thổ,33.732918,-0.19764,18.753024,Taurus,Kim Ngưu,"3°43'58.50""",3.732918,R,True,-0.027664,♅,Sao Thiên Vương,335.282515,-1.332475,30.0546,Pisces,Song Ngư,"5°16'57.05""",5.282515,D,False,0.012241,♆,Sao Hải Vương,278.490769,-3.770572,36.326608,Capricorn,Ma Kết,"8°29'26.77""",8.490769,D,False,0.030014,♇,Sao Diêm Vương,317.959395,0.0,0.00257,Aquarius,Bảo Bình,"17°57'33.82""",17.959395,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),137.959395,-0.0,0.00257,Leo,Sư Tử,"17°57'33.82""",17.959395,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
