datetime,event,aspecting_planet,aspecting_sign,aspecting_degree,aspected_planet,aspected_sign,aspected_degree,aspect_type,aspect_house,target_angle,actual_angle,orb,strength
2026-01-03 14:00:00,Parashara_Drishti,Rahu,Aquarius,"17°49'38.88""",Moon,Gemini,"16°55'06.92""",9th House (Reverse),9,-240,119.09110000000001,0.9089,Strong
2026-01-03 14:15:00,Parashara_Drishti,Rahu,Aquarius,"17°49'36.89""",Moon,Gemini,"17°04'26.06""",9th House (Reverse),9,-240,119.24700000000001,0.753,Strong
2026-01-03 14:30:00,Parashara_Drishti,Rahu,Aquarius,"17°49'34.91""",Moon,Gemini,"17°13'45.11""",9th House (Reverse),9,-240,119.40280000000001,0.5972,Strong
2026-01-03 14:45:00,Parashara_Drishti,Rahu,Aquarius,"17°49'32.92""",Moon,Gemini,"17°23'04.08""",9th House (Reverse),9,-240,119.55869999999999,0.4413,Strong
2026-01-03 15:00:00,Parashara_Drishti,Rahu,Aquarius,"17°49'30.93""",Moon,Gemini,"17°32'22.95""",9th House (Reverse),9,-240,119.71449999999999,0.2855,Strong
2026-01-03 15:15:00,Parashara_Drishti,Rahu,Aquarius,"17°49'28.94""",Moon,Gemini,"17°41'41.74""",9th House (Reverse),9,-240,119.87020000000001,0.1298,Strong
2026-01-03 15:30:00,Parashara_Drishti,Rahu,Aquarius,"17°49'26.96""",Moon,Gemini,"17°51'00.44""",9th House (Reverse),9,-240,120.02600000000001,0.026,Strong
2026-01-03 15:45:00,Parashara_Drishti,Rahu,Aquarius,"17°49'24.97""",Moon,Gemini,"18°00'19.05""",9th House (Reverse),9,-240,120.1817,0.1817,Strong
2026-01-03 16:00:00,Parashara_Drishti,Rahu,Aquarius,"17°49'22.98""",Moon,Gemini,"18°09'37.57""",9th House (Reverse),9,-240,120.3374,0.3374,Strong
2026-01-03 16:15:00,Parashara_Drishti,Rahu,Aquarius,"17°49'21.00""",Moon,Gemini,"18°18'56.00""",9th House (Reverse),9,-240,120.4931,0.4931,Strong
2026-01-03 16:30:00,Parashara_Drishti,Rahu,Aquarius,"17°49'19.01""",Moon,Gemini,"18°28'14.33""",9th House (Reverse),9,-240,120.64869999999999,0.6487,Strong
2026-01-03 16:45:00,Parashara_Drishti,Rahu,Aquarius,"17°49'17.02""",Moon,Gemini,"18°37'32.58""",9th House (Reverse),9,-240,120.80430000000001,0.8043,Strong
2026-01-03 17:00:00,Parashara_Drishti,Rahu,Aquarius,"17°49'15.03""",Moon,Gemini,"18°46'50.73""",9th House (Reverse),9,-240,120.9599,0.9599,Strong
2026-01-07 19:30:00,Parashara_Drishti,Moon,Leo,"16°40'31.76""",Rahu,Aquarius,"17°36'12.08""",7th House,7,180,180.9279,0.9279,Standard
2026-01-07 19:30:00,Parashara_Drishti,Rahu,Aquarius,"17°36'12.08""",Moon,Leo,"16°40'31.76""",7th House (Reverse),7,-180,179.0721,0.9279,Weak
2026-01-07 19:45:00,Parashara_Drishti,Moon,Leo,"16°48'46.31""",Rahu,Aquarius,"17°36'10.09""",7th House,7,180,180.7899,0.7899,Standard
2026-01-07 19:45:00,Parashara_Drishti,Rahu,Aquarius,"17°36'10.09""",Moon,Leo,"16°48'46.31""",7th House (Reverse),7,-180,179.2101,0.7899,Weak
2026-01-07 20:00:00,Parashara_Drishti,Moon,Leo,"16°57'00.68""",Rahu,Aquarius,"17°36'08.10""",7th House,7,180,180.6521,0.6521,Standard
2026-01-07 20:00:00,Parashara_Drishti,Rahu,Aquarius,"17°36'08.10""",Moon,Leo,"16°57'00.68""",7th House (Reverse),7,-180,179.3479,0.6521,Weak
2026-01-07 20:15:00,Parashara_Drishti,Moon,Leo,"17°05'14.88""",Rahu,Aquarius,"17°36'06.12""",7th House,7,180,180.5142,0.5142,Standard
2026-01-07 20:15:00,Parashara_Drishti,Rahu,Aquarius,"17°36'06.12""",Moon,Leo,"17°05'14.88""",7th House (Reverse),7,-180,179.4858,0.5142,Weak
2026-01-07 20:30:00,Parashara_Drishti,Moon,Leo,"17°13'28.90""",Rahu,Aquarius,"17°36'04.13""",7th House,7,180,180.3765,0.3765,Standard
2026-01-07 20:30:00,Parashara_Drishti,Rahu,Aquarius,"17°36'04.13""",Moon,Leo,"17°13'28.90""",7th House (Reverse),7,-180,179.6235,0.3765,Weak
2026-01-07 20:45:00,Parashara_Drishti,Moon,Leo,"17°21'42.75""",Rahu,Aquarius,"17°36'02.14""",7th House,7,180,180.2387,0.2387,Standard
2026-01-07 20:45:00,Parashara_Drishti,Rahu,Aquarius,"17°36'02.14""",Moon,Leo,"17°21'42.75""",7th House (Reverse),7,-180,179.7613,0.2387,Weak
2026-01-07 21:00:00,Parashara_Drishti,Moon,Leo,"17°29'56.42""",Rahu,Aquarius,"17°36'00.15""",7th House,7,180,180.101,0.101,Standard
2026-01-07 21:00:00,Parashara_Drishti,Rahu,Aquarius,"17°36'00.15""",Moon,Leo,"17°29'56.42""",7th House (Reverse),7,-180,179.899,0.101,Weak
2026-01-07 21:15:00,Parashara_Drishti,Moon,Leo,"17°38'09.92""",Rahu,Aquarius,"17°35'58.17""",7th House,7,180,179.9634,0.0366,Standard
2026-01-07 21:15:00,Parashara_Drishti,Rahu,Aquarius,"17°35'58.17""",Moon,Leo,"17°38'09.92""",7th House (Reverse),7,-180,180.0366,0.0366,Weak
2026-01-07 21:30:00,Parashara_Drishti,Moon,Leo,"17°46'23.25""",Rahu,Aquarius,"17°35'56.18""",7th House,7,180,179.8258,0.1742,Standard
