datetime,event,aspecting_planet,aspecting_sign,aspecting_sign_vi,aspecting_degree,aspecting_nakshatra,aspecting_nakshatra_lord,aspecting_pada,aspected_planet,aspected_sign,aspected_sign_vi,aspected_degree,aspected_nakshatra,aspected_nakshatra_lord,aspected_pada,aspect_type,aspect_house,target_angle,actual_angle,orb,strength
2026-01-03 15:30:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"18°44'42.39""",Purva Ashadha,Venus,2,Moon,Gemini,Song Tử,"17°51'00.44""",Ardra,Rahu,4,7th House,7,180,179.105,0.895,Standard
2026-01-03 15:30:00,Parashara_Drishti,Moon,Gemini,Song Tử,"17°51'00.44""",Ardra,Rahu,4,Sun,Sagittarius,Nhân Mã,"18°44'42.39""",Purva Ashadha,Venus,2,7th House,7,180,180.895,0.895,Standard
2026-01-03 15:45:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"18°45'20.59""",Purva Ashadha,Venus,2,Moon,Gemini,Song Tử,"18°00'19.05""",Ardra,Rahu,4,7th House,7,180,179.2496,0.7504,Standard
2026-01-03 15:45:00,Parashara_Drishti,Moon,Gemini,Song Tử,"18°00'19.05""",Ardra,Rahu,4,Sun,Sagittarius,Nhân Mã,"18°45'20.59""",Purva Ashadha,Venus,2,7th House,7,180,180.7504,0.7504,Standard
2026-01-03 16:00:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"18°45'58.80""",Purva Ashadha,Venus,2,Moon,Gemini,Song Tử,"18°09'37.57""",Ardra,Rahu,4,7th House,7,180,179.3941,0.6059,Standard
2026-01-03 16:00:00,Parashara_Drishti,Moon,Gemini,Song Tử,"18°09'37.57""",Ardra,Rahu,4,Sun,Sagittarius,Nhân Mã,"18°45'58.80""",Purva Ashadha,Venus,2,7th House,7,180,180.6059,0.6059,Standard
2026-01-03 16:15:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"18°46'37.00""",Purva Ashadha,Venus,2,Moon,Gemini,Song Tử,"18°18'56.00""",Ardra,Rahu,4,7th House,7,180,179.5386,0.4614,Standard
2026-01-03 16:15:00,Parashara_Drishti,Moon,Gemini,Song Tử,"18°18'56.00""",Ardra,Rahu,4,Sun,Sagittarius,Nhân Mã,"18°46'37.00""",Purva Ashadha,Venus,2,7th House,7,180,180.4614,0.4614,Standard
2026-01-03 16:30:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"18°47'15.20""",Purva Ashadha,Venus,2,Moon,Gemini,Song Tử,"18°28'14.33""",Ardra,Rahu,4,7th House,7,180,179.6831,0.3169,Standard
2026-01-03 16:30:00,Parashara_Drishti,Moon,Gemini,Song Tử,"18°28'14.33""",Ardra,Rahu,4,Sun,Sagittarius,Nhân Mã,"18°47'15.20""",Purva Ashadha,Venus,2,7th House,7,180,180.3169,0.3169,Standard
2026-01-03 16:45:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"18°47'53.41""",Purva Ashadha,Venus,2,Moon,Gemini,Song Tử,"18°37'32.58""",Ardra,Rahu,4,7th House,7,180,179.8275,0.1725,Standard
2026-01-03 16:45:00,Parashara_Drishti,Moon,Gemini,Song Tử,"18°37'32.58""",Ardra,Rahu,4,Sun,Sagittarius,Nhân Mã,"18°47'53.41""",Purva Ashadha,Venus,2,7th House,7,180,180.1725,0.1725,Standard
2026-01-03 17:00:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"18°48'31.61""",Purva Ashadha,Venus,2,Moon,Gemini,Song Tử,"18°46'50.73""",Ardra,Rahu,4,7th House,7,180,179.972,0.028,Standard
2026-01-03 17:00:00,Parashara_Drishti,Moon,Gemini,Song Tử,"18°46'50.73""",Ardra,Rahu,4,Sun,Sagittarius,Nhân Mã,"18°48'31.61""",Purva Ashadha,Venus,2,7th House,7,180,180.028,0.028,Standard
2026-01-03 17:15:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"18°49'09.81""",Purva Ashadha,Venus,2,Moon,Gemini,Song Tử,"18°56'08.79""",Ardra,Rahu,4,7th House,7,180,180.1164,0.1164,Standard
2026-01-03 17:15:00,Parashara_Drishti,Moon,Gemini,Song Tử,"18°56'08.79""",Ardra,Rahu,4,Sun,Sagittarius,Nhân Mã,"18°49'09.81""",Purva Ashadha,Venus,2,7th House,7,180,179.8836,0.1164,Standard
2026-01-03 17:30:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"18°49'48.02""",Purva Ashadha,Venus,2,Moon,Gemini,Song Tử,"19°05'26.75""",Ardra,Rahu,4,7th House,7,180,180.2608,0.2608,Standard
2026-01-03 17:30:00,Parashara_Drishti,Moon,Gemini,Song Tử,"19°05'26.75""",Ardra,Rahu,4,Sun,Sagittarius,Nhân Mã,"18°49'48.02""",Purva Ashadha,Venus,2,7th House,7,180,179.7392,0.2608,Standard
2026-01-03 17:45:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"18°50'26.22""",Purva Ashadha,Venus,2,Moon,Gemini,Song Tử,"19°14'44.62""",Ardra,Rahu,4,7th House,7,180,180.4051,0.4051,Standard
2026-01-03 17:45:00,Parashara_Drishti,Moon,Gemini,Song Tử,"19°14'44.62""",Ardra,Rahu,4,Sun,Sagittarius,Nhân Mã,"18°50'26.22""",Purva Ashadha,Venus,2,7th House,7,180,179.5949,0.4051,Standard
2026-01-03 18:00:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"18°51'04.42""",Purva Ashadha,Venus,2,Moon,Gemini,Song Tử,"19°24'02.39""",Ardra,Rahu,4,7th House,7,180,180.5494,0.5494,Standard
2026-01-03 18:00:00,Parashara_Drishti,Moon,Gemini,Song Tử,"19°24'02.39""",Ardra,Rahu,4,Sun,Sagittarius,Nhân Mã,"18°51'04.42""",Purva Ashadha,Venus,2,7th House,7,180,179.4506,0.5494,Standard
2026-01-03 18:15:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"18°51'42.63""",Purva Ashadha,Venus,2,Moon,Gemini,Song Tử,"19°33'20.07""",Ardra,Rahu,4,7th House,7,180,180.6937,0.6937,Standard
2026-01-03 18:15:00,Parashara_Drishti,Moon,Gemini,Song Tử,"19°33'20.07""",Ardra,Rahu,4,Sun,Sagittarius,Nhân Mã,"18°51'42.63""",Purva Ashadha,Venus,2,7th House,7,180,179.3063,0.6937,Standard
2026-01-03 18:30:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"18°52'20.83""",Purva Ashadha,Venus,2,Moon,Gemini,Song Tử,"19°42'37.65""",Ardra,Rahu,4,7th House,7,180,180.838,0.838,Standard
2026-01-03 18:30:00,Parashara_Drishti,Moon,Gemini,Song Tử,"19°42'37.65""",Ardra,Rahu,4,Sun,Sagittarius,Nhân Mã,"18°52'20.83""",Purva Ashadha,Venus,2,7th House,7,180,179.162,0.838,Standard
2026-01-03 18:45:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"18°52'59.03""",Purva Ashadha,Venus,2,Moon,Gemini,Song Tử,"19°51'55.14""",Ardra,Rahu,4,7th House,7,180,180.9823,0.9823,Standard
2026-01-03 18:45:00,Parashara_Drishti,Moon,Gemini,Song Tử,"19°51'55.14""",Ardra,Rahu,4,Sun,Sagittarius,Nhân Mã,"18°52'59.03""",Purva Ashadha,Venus,2,7th House,7,180,179.0177,0.9823,Standard
2026-01-09 19:00:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"25°00'23.62""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"26°00'07.22""",Punarvasu,Jupiter,2,7th House,7,180,180.9954,0.9954,Standard
