datetime,event,type,planet1,planet1_sign,planet1_degree,planet2,planet2_sign,planet2_degree,exact_angle,difference,orb
2025-09-26 00:00:00,Aspect,Square,Mars,Libra,"8°03'30""",Pluto,Capricorn,"7°13'42""",90,89.17,0.83
2025-09-26 00:00:00,Aspect,Sextile,Uranus,Taurus,"7°05'16""",Neptune,Pisces,"6°28'47""",60,60.6081,0.6081
2025-09-26 00:00:00,Aspect,Trine,Uranus,Taurus,"7°05'16""",Pluto,Capricorn,"7°13'42""",120,119.8592,0.1408
2025-09-26 00:00:00,Aspect,Sextile,Neptune,Pisces,"6°28'47""",Pluto,Capricorn,"7°13'42""",60,59.2512,0.7488
2025-09-26 00:15:00,Aspect,Square,Mars,Libra,"8°03'56""",Pluto,Capricorn,"7°13'42""",90,89.1629,0.8371
2025-09-26 00:15:00,Aspect,Sextile,Uranus,Taurus,"7°05'15""",Neptune,Pisces,"6°28'46""",60,60.6082,0.6082
2025-09-26 00:15:00,Aspect,Trine,Uranus,Taurus,"7°05'15""",Pluto,Capricorn,"7°13'42""",120,119.8592,0.1408
2025-09-26 00:15:00,Aspect,Sextile,Neptune,Pisces,"6°28'46""",Pluto,Capricorn,"7°13'42""",60,59.251,0.749
2025-09-26 00:30:00,Aspect,Square,Mars,Libra,"8°04'21""",Pluto,Capricorn,"7°13'42""",90,89.1557,0.8443
2025-09-26 00:30:00,Aspect,Sextile,Uranus,Taurus,"7°05'14""",Neptune,Pisces,"6°28'45""",60,60.6083,0.6083
2025-09-26 00:30:00,Aspect,Trine,Uranus,Taurus,"7°05'14""",Pluto,Capricorn,"7°13'42""",120,119.8591,0.1409
2025-09-26 00:30:00,Aspect,Sextile,Neptune,Pisces,"6°28'45""",Pluto,Capricorn,"7°13'42""",60,59.2508,0.7492
2025-09-26 00:45:00,Aspect,Square,Mars,Libra,"8°04'46""",Pluto,Capricorn,"7°13'41""",90,89.1486,0.8514
2025-09-26 00:45:00,Aspect,Sextile,Uranus,Taurus,"7°05'14""",Neptune,Pisces,"6°28'43""",60,60.6084,0.6084
2025-09-26 00:45:00,Aspect,Trine,Uranus,Taurus,"7°05'14""",Pluto,Capricorn,"7°13'41""",120,119.859,0.141
2025-09-26 00:45:00,Aspect,Sextile,Neptune,Pisces,"6°28'43""",Pluto,Capricorn,"7°13'41""",60,59.2506,0.7494
2025-09-26 01:00:00,Aspect,Trine,Moon,Libra,"22°09'04""",Rahu,Aquarius,"23°06'08""",120,120.9512,0.9512
2025-09-26 01:00:00,Aspect,Sextile,Moon,Libra,"22°09'04""",Ketu,Leo,"23°06'08""",60,59.0488,0.9512
2025-09-26 01:00:00,Aspect,Square,Mars,Libra,"8°05'12""",Pluto,Capricorn,"7°13'41""",90,89.1415,0.8585
2025-09-26 01:00:00,Aspect,Sextile,Uranus,Taurus,"7°05'13""",Neptune,Pisces,"6°28'42""",60,60.6085,0.6085
2025-09-26 01:00:00,Aspect,Trine,Uranus,Taurus,"7°05'13""",Pluto,Capricorn,"7°13'41""",120,119.8589,0.1411
2025-09-26 01:00:00,Aspect,Sextile,Neptune,Pisces,"6°28'42""",Pluto,Capricorn,"7°13'41""",60,59.2504,0.7496
2025-09-26 01:15:00,Aspect,Trine,Moon,Libra,"22°16'28""",Rahu,Aquarius,"23°06'06""",120,120.8271,0.8271
2025-09-26 01:15:00,Aspect,Sextile,Moon,Libra,"22°16'28""",Ketu,Leo,"23°06'06""",60,59.1729,0.8271
