datetime,event,type,planet1,planet1_sign,planet1_degree,planet2,planet2_sign,planet2_degree,exact_angle,difference,orb
2025-11-07 00:00:00,Aspect,Opposition,Moon,Taurus,"6°50'17.16""",Mars,Scorpio,"7°20'04.72""",180,179.5035,0.4965
2025-11-07 00:15:00,Aspect,Opposition,Moon,Taurus,"6°59'50.73""",Mars,Scorpio,"7°20'31.66""",180,179.6553,0.3447
2025-11-07 00:30:00,Aspect,Opposition,Moon,Taurus,"7°09'24.25""",Mars,Scorpio,"7°20'58.60""",180,179.8071,0.1929
2025-11-07 00:45:00,Aspect,Opposition,Moon,Taurus,"7°18'57.72""",Mars,Scorpio,"7°21'25.54""",180,179.9589,0.0411
2025-11-07 01:00:00,Aspect,Opposition,Moon,Taurus,"7°28'31.13""",Mars,Scorpio,"7°21'52.48""",180,179.8893,0.1107
2025-11-07 01:15:00,Aspect,Opposition,Moon,Taurus,"7°38'04.50""",Mars,Scorpio,"7°22'19.41""",180,179.7375,0.2625
2025-11-07 01:30:00,Aspect,Opposition,Moon,Taurus,"7°47'37.81""",Mars,Scorpio,"7°22'46.35""",180,179.5857,0.4143
2025-11-07 01:45:00,Aspect,Opposition,Moon,Taurus,"7°57'11.06""",Mars,Scorpio,"7°23'13.29""",180,179.434,0.566
2025-11-07 02:00:00,Aspect,Opposition,Moon,Taurus,"8°06'44.26""",Mars,Scorpio,"7°23'40.23""",180,179.2822,0.7178
2025-11-07 02:15:00,Aspect,Opposition,Moon,Taurus,"8°16'17.40""",Mars,Scorpio,"7°24'07.18""",180,179.1305,0.8695
2025-11-07 06:45:00,Aspect,Opposition,Moon,Taurus,"11°08'03.55""",Mercury,Scorpio,"12°06'23.82""",180,179.0277,0.9723
2025-11-07 07:00:00,Aspect,Opposition,Moon,Taurus,"11°17'35.48""",Mercury,Scorpio,"12°06'37.58""",180,179.1827,0.8173
2025-11-07 07:15:00,Aspect,Opposition,Moon,Taurus,"11°27'07.35""",Mercury,Scorpio,"12°06'51.30""",180,179.3378,0.6622
2025-11-07 07:30:00,Aspect,Opposition,Moon,Taurus,"11°36'39.14""",Mercury,Scorpio,"12°07'04.98""",180,179.4928,0.5072
2025-11-07 07:45:00,Aspect,Opposition,Moon,Taurus,"11°46'10.86""",Mercury,Scorpio,"12°07'18.61""",180,179.6478,0.3522
2025-11-07 08:00:00,Aspect,Opposition,Moon,Taurus,"11°55'42.51""",Mercury,Scorpio,"12°07'32.20""",180,179.8029,0.1971
2025-11-07 08:15:00,Aspect,Opposition,Moon,Taurus,"12°05'14.09""",Mercury,Scorpio,"12°07'45.74""",180,179.9579,0.0421
2025-11-07 08:30:00,Aspect,Opposition,Moon,Taurus,"12°14'45.59""",Mercury,Scorpio,"12°07'59.23""",180,179.8871,0.1129
2025-11-07 08:45:00,Aspect,Opposition,Moon,Taurus,"12°24'17.01""",Mercury,Scorpio,"12°08'12.68""",180,179.7321,0.2679
2025-11-07 09:00:00,Aspect,Opposition,Moon,Taurus,"12°33'48.36""",Mercury,Scorpio,"12°08'26.09""",180,179.5771,0.4229
2025-11-07 09:15:00,Aspect,Opposition,Moon,Taurus,"12°43'19.64""",Mercury,Scorpio,"12°08'39.45""",180,179.4222,0.5778
2025-11-07 09:30:00,Aspect,Opposition,Moon,Taurus,"12°52'50.83""",Mercury,Scorpio,"12°08'52.76""",180,179.2672,0.7328
2025-11-07 09:45:00,Aspect,Opposition,Moon,Taurus,"13°02'21.95""",Mercury,Scorpio,"12°09'06.03""",180,179.1122,0.8878
2025-11-07 20:30:00,Aspect,Square,Moon,Taurus,"19°50'16.17""",Rahu,Aquarius,"20°50'01.17""",90,89.0042,0.9958
2025-11-07 20:30:00,Aspect,Square,Moon,Taurus,"19°50'16.17""",Ketu,Leo,"20°50'01.17""",90,90.9958,0.9958
2025-11-07 20:45:00,Aspect,Square,Moon,Taurus,"19°59'43.16""",Rahu,Aquarius,"20°49'59.18""",90,89.1622,0.8378
2025-11-07 20:45:00,Aspect,Square,Moon,Taurus,"19°59'43.16""",Ketu,Leo,"20°49'59.18""",90,90.8378,0.8378
2025-11-07 21:00:00,Aspect,Square,Moon,Taurus,"20°09'10.05""",Rahu,Aquarius,"20°49'57.19""",90,89.3202,0.6798
2025-11-07 21:00:00,Aspect,Square,Moon,Taurus,"20°09'10.05""",Ketu,Leo,"20°49'57.19""",90,90.6798,0.6798
2025-11-07 21:15:00,Aspect,Square,Moon,Taurus,"20°18'36.83""",Rahu,Aquarius,"20°49'55.21""",90,89.4782,0.5218
2025-11-07 21:15:00,Aspect,Square,Moon,Taurus,"20°18'36.83""",Ketu,Leo,"20°49'55.21""",90,90.5218,0.5218
2025-11-07 21:30:00,Aspect,Square,Moon,Taurus,"20°28'03.49""",Rahu,Aquarius,"20°49'53.22""",90,89.6362,0.3638
2025-11-07 21:30:00,Aspect,Square,Moon,Taurus,"20°28'03.49""",Ketu,Leo,"20°49'53.22""",90,90.3638,0.3638
2025-11-07 21:45:00,Aspect,Square,Moon,Taurus,"20°37'30.05""",Rahu,Aquarius,"20°49'51.23""",90,89.7941,0.2059
2025-11-07 21:45:00,Aspect,Square,Moon,Taurus,"20°37'30.05""",Ketu,Leo,"20°49'51.23""",90,90.2059,0.2059
2025-11-07 22:00:00,Aspect,Square,Moon,Taurus,"20°46'56.50""",Rahu,Aquarius,"20°49'49.25""",90,89.952,0.048
2025-11-07 22:00:00,Aspect,Square,Moon,Taurus,"20°46'56.50""",Ketu,Leo,"20°49'49.25""",90,90.048,0.048
2025-11-07 22:15:00,Aspect,Square,Moon,Taurus,"20°56'22.83""",Rahu,Aquarius,"20°49'47.26""",90,90.1099,0.1099
