datetime,event,type,planet1,planet1_sign,planet1_degree,planet2,planet2_sign,planet2_degree,exact_angle,difference,orb
2025-09-01 00:00:00,Aspect,Trine,Jupiter,Gemini,"23°36'11""",Rahu,Aquarius,"24°25'45""",120,119.1737,0.8263
2025-09-01 00:00:00,Aspect,Sextile,Jupiter,Gemini,"23°36'11""",Ketu,Leo,"24°25'45""",60,60.8263,0.8263
2025-09-01 00:00:00,Aspect,Sextile,Uranus,Taurus,"7°14'02""",Neptune,Pisces,"7°09'07""",60,60.0822,0.0822
2025-09-01 00:00:00,Aspect,Trine,Uranus,Taurus,"7°14'02""",Pluto,Capricorn,"7°33'51""",120,119.67,0.33
2025-09-01 00:00:00,Aspect,Sextile,Neptune,Pisces,"7°09'07""",Pluto,Capricorn,"7°33'51""",60,59.5878,0.4122
2025-09-01 00:15:00,Aspect,Trine,Jupiter,Gemini,"23°36'17""",Rahu,Aquarius,"24°25'43""",120,119.1762,0.8238
2025-09-01 00:15:00,Aspect,Sextile,Jupiter,Gemini,"23°36'17""",Ketu,Leo,"24°25'43""",60,60.8238,0.8238
2025-09-01 00:15:00,Aspect,Sextile,Uranus,Taurus,"7°14'03""",Neptune,Pisces,"7°09'06""",60,60.0825,0.0825
2025-09-01 00:15:00,Aspect,Trine,Uranus,Taurus,"7°14'03""",Pluto,Capricorn,"7°33'50""",120,119.6702,0.3298
2025-09-01 00:15:00,Aspect,Sextile,Neptune,Pisces,"7°09'06""",Pluto,Capricorn,"7°33'50""",60,59.5877,0.4123
2025-09-01 00:30:00,Aspect,Trine,Jupiter,Gemini,"23°36'24""",Rahu,Aquarius,"24°25'41""",120,119.1786,0.8214
2025-09-01 00:30:00,Aspect,Sextile,Jupiter,Gemini,"23°36'24""",Ketu,Leo,"24°25'41""",60,60.8214,0.8214
2025-09-01 00:30:00,Aspect,Sextile,Uranus,Taurus,"7°14'03""",Neptune,Pisces,"7°09'05""",60,60.0828,0.0828
2025-09-01 00:30:00,Aspect,Trine,Uranus,Taurus,"7°14'03""",Pluto,Capricorn,"7°33'49""",120,119.6704,0.3296
2025-09-01 00:30:00,Aspect,Sextile,Neptune,Pisces,"7°09'05""",Pluto,Capricorn,"7°33'49""",60,59.5877,0.4123
2025-09-01 00:45:00,Aspect,Trine,Jupiter,Gemini,"23°36'31""",Rahu,Aquarius,"24°25'39""",120,119.181,0.819
2025-09-01 00:45:00,Aspect,Sextile,Jupiter,Gemini,"23°36'31""",Ketu,Leo,"24°25'39""",60,60.819,0.819
2025-09-01 00:45:00,Aspect,Sextile,Uranus,Taurus,"7°14'03""",Neptune,Pisces,"7°09'04""",60,60.0831,0.0831
2025-09-01 00:45:00,Aspect,Trine,Uranus,Taurus,"7°14'03""",Pluto,Capricorn,"7°33'49""",120,119.6707,0.3293
2025-09-01 00:45:00,Aspect,Sextile,Neptune,Pisces,"7°09'04""",Pluto,Capricorn,"7°33'49""",60,59.5876,0.4124
2025-09-01 01:00:00,Aspect,Trine,Jupiter,Gemini,"23°36'38""",Rahu,Aquarius,"24°25'37""",120,119.1834,0.8166
2025-09-01 01:00:00,Aspect,Sextile,Jupiter,Gemini,"23°36'38""",Ketu,Leo,"24°25'37""",60,60.8166,0.8166
2025-09-01 01:00:00,Aspect,Sextile,Uranus,Taurus,"7°14'03""",Neptune,Pisces,"7°09'03""",60,60.0834,0.0834
2025-09-01 01:00:00,Aspect,Trine,Uranus,Taurus,"7°14'03""",Pluto,Capricorn,"7°33'48""",120,119.6709,0.3291
2025-09-01 01:00:00,Aspect,Sextile,Neptune,Pisces,"7°09'03""",Pluto,Capricorn,"7°33'48""",60,59.5875,0.4125
2025-09-01 01:15:00,Aspect,Trine,Jupiter,Gemini,"23°36'44""",Rahu,Aquarius,"24°25'35""",120,119.1859,0.8141
2025-09-01 01:15:00,Aspect,Sextile,Jupiter,Gemini,"23°36'44""",Ketu,Leo,"24°25'35""",60,60.8141,0.8141
2025-09-01 01:15:00,Aspect,Sextile,Uranus,Taurus,"7°14'03""",Neptune,Pisces,"7°09'02""",60,60.0837,0.0837
2025-09-01 01:15:00,Aspect,Trine,Uranus,Taurus,"7°14'03""",Pluto,Capricorn,"7°33'47""",120,119.6711,0.3289
2025-09-01 01:15:00,Aspect,Sextile,Neptune,Pisces,"7°09'02""",Pluto,Capricorn,"7°33'47""",60,59.5874,0.4126
2025-09-01 01:30:00,Aspect,Trine,Jupiter,Gemini,"23°36'51""",Rahu,Aquarius,"24°25'33""",120,119.1883,0.8117
2025-09-01 01:30:00,Aspect,Sextile,Jupiter,Gemini,"23°36'51""",Ketu,Leo,"24°25'33""",60,60.8117,0.8117
2025-09-01 01:30:00,Aspect,Sextile,Uranus,Taurus,"7°14'04""",Neptune,Pisces,"7°09'01""",60,60.084,0.084
2025-09-01 01:30:00,Aspect,Trine,Uranus,Taurus,"7°14'04""",Pluto,Capricorn,"7°33'47""",120,119.6714,0.3286
2025-09-01 01:30:00,Aspect,Sextile,Neptune,Pisces,"7°09'01""",Pluto,Capricorn,"7°33'47""",60,59.5874,0.4126
2025-09-01 01:45:00,Aspect,Trine,Jupiter,Gemini,"23°36'58""",Rahu,Aquarius,"24°25'31""",120,119.1907,0.8093
2025-09-01 01:45:00,Aspect,Sextile,Jupiter,Gemini,"23°36'58""",Ketu,Leo,"24°25'31""",60,60.8093,0.8093
2025-09-01 01:45:00,Aspect,Sextile,Uranus,Taurus,"7°14'04""",Neptune,Pisces,"7°09'00""",60,60.0843,0.0843
2025-09-01 01:45:00,Aspect,Trine,Uranus,Taurus,"7°14'04""",Pluto,Capricorn,"7°33'46""",120,119.6716,0.3284
2025-09-01 01:45:00,Aspect,Sextile,Neptune,Pisces,"7°09'00""",Pluto,Capricorn,"7°33'46""",60,59.5873,0.4127
2025-09-01 02:00:00,Aspect,Trine,Jupiter,Gemini,"23°37'05""",Rahu,Aquarius,"24°25'29""",120,119.1931,0.8069
2025-09-01 02:00:00,Aspect,Sextile,Jupiter,Gemini,"23°37'05""",Ketu,Leo,"24°25'29""",60,60.8069,0.8069
2025-09-01 02:00:00,Aspect,Sextile,Uranus,Taurus,"7°14'04""",Neptune,Pisces,"7°08'59""",60,60.0846,0.0846
2025-09-01 02:00:00,Aspect,Trine,Uranus,Taurus,"7°14'04""",Pluto,Capricorn,"7°33'45""",120,119.6718,0.3282
2025-09-01 02:00:00,Aspect,Sextile,Neptune,Pisces,"7°08'59""",Pluto,Capricorn,"7°33'45""",60,59.5872,0.4128
2025-09-01 02:15:00,Aspect,Trine,Jupiter,Gemini,"23°37'11""",Rahu,Aquarius,"24°25'27""",120,119.1956,0.8044
2025-09-01 02:15:00,Aspect,Sextile,Jupiter,Gemini,"23°37'11""",Ketu,Leo,"24°25'27""",60,60.8044,0.8044
2025-09-01 02:15:00,Aspect,Sextile,Uranus,Taurus,"7°14'04""",Neptune,Pisces,"7°08'58""",60,60.0849,0.0849
2025-09-01 02:15:00,Aspect,Trine,Uranus,Taurus,"7°14'04""",Pluto,Capricorn,"7°33'45""",120,119.6721,0.3279
2025-09-01 02:15:00,Aspect,Sextile,Neptune,Pisces,"7°08'58""",Pluto,Capricorn,"7°33'45""",60,59.5871,0.4129
2025-09-01 02:30:00,Aspect,Trine,Jupiter,Gemini,"23°37'18""",Rahu,Aquarius,"24°25'25""",120,119.198,0.802
2025-09-01 02:30:00,Aspect,Sextile,Jupiter,Gemini,"23°37'18""",Ketu,Leo,"24°25'25""",60,60.802,0.802
2025-09-01 02:30:00,Aspect,Sextile,Uranus,Taurus,"7°14'04""",Neptune,Pisces,"7°08'57""",60,60.0852,0.0852
2025-09-01 02:30:00,Aspect,Trine,Uranus,Taurus,"7°14'04""",Pluto,Capricorn,"7°33'44""",120,119.6723,0.3277
2025-09-01 02:30:00,Aspect,Sextile,Neptune,Pisces,"7°08'57""",Pluto,Capricorn,"7°33'44""",60,59.5871,0.4129
2025-09-01 02:45:00,Aspect,Trine,Jupiter,Gemini,"23°37'25""",Rahu,Aquarius,"24°25'23""",120,119.2004,0.7996
2025-09-01 02:45:00,Aspect,Sextile,Jupiter,Gemini,"23°37'25""",Ketu,Leo,"24°25'23""",60,60.7996,0.7996
2025-09-01 02:45:00,Aspect,Sextile,Uranus,Taurus,"7°14'04""",Neptune,Pisces,"7°08'56""",60,60.0856,0.0856
2025-09-01 02:45:00,Aspect,Trine,Uranus,Taurus,"7°14'04""",Pluto,Capricorn,"7°33'43""",120,119.6725,0.3275
2025-09-01 02:45:00,Aspect,Sextile,Neptune,Pisces,"7°08'56""",Pluto,Capricorn,"7°33'43""",60,59.587,0.413
2025-09-01 03:00:00,Aspect,Sextile,Moon,Scorpio,"20°41'45""",Mars,Virgo,"21°35'17""",60,59.1076,0.8924
2025-09-01 03:00:00,Aspect,Trine,Jupiter,Gemini,"23°37'32""",Rahu,Aquarius,"24°25'21""",120,119.2028,0.7972
2025-09-01 03:00:00,Aspect,Sextile,Jupiter,Gemini,"23°37'32""",Ketu,Leo,"24°25'21""",60,60.7972,0.7972
2025-09-01 03:00:00,Aspect,Sextile,Uranus,Taurus,"7°14'05""",Neptune,Pisces,"7°08'55""",60,60.0859,0.0859
2025-09-01 03:00:00,Aspect,Trine,Uranus,Taurus,"7°14'05""",Pluto,Capricorn,"7°33'43""",120,119.6728,0.3272
2025-09-01 03:00:00,Aspect,Sextile,Neptune,Pisces,"7°08'55""",Pluto,Capricorn,"7°33'43""",60,59.5869,0.4131
2025-09-01 03:15:00,Aspect,Sextile,Moon,Scorpio,"20°49'16""",Mars,Virgo,"21°35'42""",60,59.2263,0.7737
2025-09-01 03:15:00,Aspect,Trine,Jupiter,Gemini,"23°37'38""",Rahu,Aquarius,"24°25'19""",120,119.2053,0.7947
2025-09-01 03:15:00,Aspect,Sextile,Jupiter,Gemini,"23°37'38""",Ketu,Leo,"24°25'19""",60,60.7947,0.7947
2025-09-01 03:15:00,Aspect,Sextile,Uranus,Taurus,"7°14'05""",Neptune,Pisces,"7°08'54""",60,60.0862,0.0862
2025-09-01 03:15:00,Aspect,Trine,Uranus,Taurus,"7°14'05""",Pluto,Capricorn,"7°33'42""",120,119.673,0.327
2025-09-01 03:15:00,Aspect,Sextile,Neptune,Pisces,"7°08'54""",Pluto,Capricorn,"7°33'42""",60,59.5868,0.4132
2025-09-01 03:30:00,Aspect,Sextile,Moon,Scorpio,"20°56'48""",Mars,Virgo,"21°36'06""",60,59.3451,0.6549
2025-09-01 03:30:00,Aspect,Trine,Jupiter,Gemini,"23°37'45""",Rahu,Aquarius,"24°25'17""",120,119.2077,0.7923
2025-09-01 03:30:00,Aspect,Sextile,Jupiter,Gemini,"23°37'45""",Ketu,Leo,"24°25'17""",60,60.7923,0.7923
2025-09-01 03:30:00,Aspect,Sextile,Uranus,Taurus,"7°14'05""",Neptune,Pisces,"7°08'54""",60,60.0865,0.0865
2025-09-01 03:30:00,Aspect,Trine,Uranus,Taurus,"7°14'05""",Pluto,Capricorn,"7°33'41""",120,119.6732,0.3268
2025-09-01 03:30:00,Aspect,Sextile,Neptune,Pisces,"7°08'54""",Pluto,Capricorn,"7°33'41""",60,59.5868,0.4132
2025-09-01 03:45:00,Aspect,Sextile,Moon,Scorpio,"21°04'20""",Mars,Virgo,"21°36'30""",60,59.4639,0.5361
2025-09-01 03:45:00,Aspect,Trine,Jupiter,Gemini,"23°37'52""",Rahu,Aquarius,"24°25'15""",120,119.2101,0.7899
2025-09-01 03:45:00,Aspect,Sextile,Jupiter,Gemini,"23°37'52""",Ketu,Leo,"24°25'15""",60,60.7899,0.7899
2025-09-01 03:45:00,Aspect,Sextile,Uranus,Taurus,"7°14'05""",Neptune,Pisces,"7°08'53""",60,60.0868,0.0868
2025-09-01 03:45:00,Aspect,Trine,Uranus,Taurus,"7°14'05""",Pluto,Capricorn,"7°33'41""",120,119.6735,0.3265
2025-09-01 03:45:00,Aspect,Sextile,Neptune,Pisces,"7°08'53""",Pluto,Capricorn,"7°33'41""",60,59.5867,0.4133
2025-09-01 04:00:00,Aspect,Sextile,Moon,Scorpio,"21°11'52""",Mars,Virgo,"21°36'55""",60,59.5827,0.4173
2025-09-01 04:00:00,Aspect,Trine,Jupiter,Gemini,"23°37'59""",Rahu,Aquarius,"24°25'13""",120,119.2125,0.7875
2025-09-01 04:00:00,Aspect,Sextile,Jupiter,Gemini,"23°37'59""",Ketu,Leo,"24°25'13""",60,60.7875,0.7875
2025-09-01 04:00:00,Aspect,Sextile,Uranus,Taurus,"7°14'05""",Neptune,Pisces,"7°08'52""",60,60.0871,0.0871
2025-09-01 04:00:00,Aspect,Trine,Uranus,Taurus,"7°14'05""",Pluto,Capricorn,"7°33'40""",120,119.6737,0.3263
2025-09-01 04:00:00,Aspect,Sextile,Neptune,Pisces,"7°08'52""",Pluto,Capricorn,"7°33'40""",60,59.5866,0.4134
2025-09-01 04:15:00,Aspect,Sextile,Moon,Scorpio,"21°19'24""",Mars,Virgo,"21°37'19""",60,59.7015,0.2985
2025-09-01 04:15:00,Aspect,Trine,Jupiter,Gemini,"23°38'05""",Rahu,Aquarius,"24°25'12""",120,119.215,0.785
2025-09-01 04:15:00,Aspect,Sextile,Jupiter,Gemini,"23°38'05""",Ketu,Leo,"24°25'12""",60,60.785,0.785
2025-09-01 04:15:00,Aspect,Sextile,Uranus,Taurus,"7°14'05""",Neptune,Pisces,"7°08'51""",60,60.0874,0.0874
