date,time,datetime_local,datetime_utc,julian_day,timezone_offset,Sun_Longitude,Sun_Latitude,Sun_Distance,Sun_Sign,Sun_Sign_VI,Sun_Degree,Sun_Degree_Decimal,Sun_Motion,Sun_Retrograde,Sun_Speed,Sun_Symbol,Sun_Name_VI,Moon_Longitude,Moon_Latitude,Moon_Distance,Moon_Sign,Moon_Sign_VI,Moon_Degree,Moon_Degree_Decimal,Moon_Motion,Moon_Retrograde,Moon_Speed,Moon_Symbol,Moon_Name_VI,Mercury_Longitude,Mercury_Latitude,Mercury_Distance,Mercury_Sign,Mercury_Sign_VI,Mercury_Degree,Mercury_Degree_Decimal,Mercury_Motion,Mercury_Retrograde,Mercury_Speed,Mercury_Symbol,Mercury_Name_VI,Venus_Longitude,Venus_Latitude,Venus_Distance,Venus_Sign,Venus_Sign_VI,Venus_Degree,Venus_Degree_Decimal,Venus_Motion,Venus_Retrograde,Venus_Speed,Venus_Symbol,Venus_Name_VI,Mars_Longitude,Mars_Latitude,Mars_Distance,Mars_Sign,Mars_Sign_VI,Mars_Degree,Mars_Degree_Decimal,Mars_Motion,Mars_Retrograde,Mars_Speed,Mars_Symbol,Mars_Name_VI,Jupiter_Longitude,Jupiter_Latitude,Jupiter_Distance,Jupiter_Sign,Jupiter_Sign_VI,Jupiter_Degree,Jupiter_Degree_Decimal,Jupiter_Motion,Jupiter_Retrograde,Jupiter_Speed,Jupiter_Symbol,Jupiter_Name_VI,Saturn_Longitude,Saturn_Latitude,Saturn_Distance,Saturn_Sign,Saturn_Sign_VI,Saturn_Degree,Saturn_Degree_Decimal,Saturn_Motion,Saturn_Retrograde,Saturn_Speed,Saturn_Symbol,Saturn_Name_VI,Uranus_Longitude,Uranus_Latitude,Uranus_Distance,Uranus_Sign,Uranus_Sign_VI,Uranus_Degree,Uranus_Degree_Decimal,Uranus_Motion,Uranus_Retrograde,Uranus_Speed,Uranus_Symbol,Uranus_Name_VI,Neptune_Longitude,Neptune_Latitude,Neptune_Distance,Neptune_Sign,Neptune_Sign_VI,Neptune_Degree,Neptune_Degree_Decimal,Neptune_Motion,Neptune_Retrograde,Neptune_Speed,Neptune_Symbol,Neptune_Name_VI,Pluto_Longitude,Pluto_Latitude,Pluto_Distance,Pluto_Sign,Pluto_Sign_VI,Pluto_Degree,Pluto_Degree_Decimal,Pluto_Motion,Pluto_Retrograde,Pluto_Speed,Pluto_Symbol,Pluto_Name_VI,Rahu_Longitude,Rahu_Latitude,Rahu_Distance,Rahu_Sign,Rahu_Sign_VI,Rahu_Degree,Rahu_Degree_Decimal,Rahu_Motion,Rahu_Retrograde,Rahu_Speed,Rahu_Symbol,Rahu_Name_VI,Ketu_Longitude,Ketu_Latitude,Ketu_Distance,Ketu_Sign,Ketu_Sign_VI,Ketu_Degree,Ketu_Degree_Decimal,Ketu_Motion,Ketu_Retrograde,Ketu_Speed,Ketu_Symbol,Ketu_Name_VI
2025-11-01,00:00:00,2025-11-01 00:00:00,2025-10-31 17:00:00,2460980.2083333335,7.0,194.311323,-5e-06,0.992684,Libra,Thiên Bình,"14°18'40.76""",14.311323,D,False,0.999829,☉,Mặt Trời,308.706146,-1.253456,0.002531,Aquarius,Bảo Bình,"8°42'22.13""",8.706146,D,False,13.463343,☽,Mặt Trăng,217.942069,-2.895345,0.981398,Scorpio,Thần Nông,"7°56'31.45""",7.942069,D,False,0.899468,☿,Sao Thủy,177.981027,1.476825,1.61556,Virgo,Xử Nữ,"27°58'51.70""",27.981027,D,False,1.249727,♀,Sao Kim,213.042312,-0.390113,2.408774,Scorpio,Thần Nông,"3°02'32.32""",3.042312,D,False,0.712465,♂,Sao Hỏa,90.73558,0.084867,4.865934,Cancer,Cự Giải,"0°44'08.09""",0.73558,D,False,0.03575,♃,Sao Mộc,331.59081,-2.465096,8.785114,Pisces,Song Ngư,"1°35'26.91""",1.59081,R,True,-0.045872,♄,Sao Thổ,36.070265,-0.20918,18.575464,Taurus,Kim Ngưu,"6°04'12.96""",6.070265,R,True,-0.03795,♅,Sao Thiên Vương,335.578914,-1.36827,29.105926,Pisces,Song Ngư,"5°34'44.09""",5.578914,R,True,-0.020124,♆,Sao Hải Vương,277.222196,-3.77154,35.487662,Capricorn,Ma Kết,"7°13'19.91""",7.222196,D,False,0.008395,♇,Sao Diêm Vương,321.196874,-0.0,0.00257,Aquarius,Bảo Bình,"21°11'48.75""",21.196874,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),141.196874,0.0,0.00257,Leo,Sư Tử,"21°11'48.75""",21.196874,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2025-11-01,00:15:00,2025-11-01 00:15:00,2025-10-31 17:15:00,2460980.21875,7.0,194.321738,-4e-06,0.992681,Libra,Thiên Bình,"14°19'18.26""",14.321738,D,False,0.999834,☉,Mặt Trời,308.846415,-1.241254,0.00253,Aquarius,Bảo Bình,"8°50'47.09""",8.846415,D,False,13.468149,☽,Mặt Trăng,217.951435,-2.895443,0.981195,Scorpio,Thần Nông,"7°57'05.17""",7.951435,D,False,0.898851,☿,Sao Thủy,177.994045,1.476704,1.61559,Virgo,Xử Nữ,"27°59'38.56""",27.994045,D,False,1.249731,♀,Sao Kim,213.049733,-0.390213,2.408785,Scorpio,Thần Nông,"3°02'59.04""",3.049733,D,False,0.712475,♂,Sao Hỏa,90.735952,0.084891,4.865778,Cancer,Cự Giải,"0°44'09.43""",0.735952,D,False,0.035717,♃,Sao Mộc,331.590332,-2.465069,8.785231,Pisces,Song Ngư,"1°35'25.19""",1.590332,R,True,-0.045857,♄,Sao Thổ,36.06987,-0.209179,18.575399,Taurus,Kim Ngưu,"6°04'11.53""",6.06987,R,True,-0.037954,♅,Sao Thiên Vương,335.578704,-1.368266,29.10604,Pisces,Song Ngư,"5°34'43.33""",5.578704,R,True,-0.02012,♆,Sao Hải Vương,277.222284,-3.771536,35.487847,Capricorn,Ma Kết,"7°13'20.22""",7.222284,D,False,0.008399,♇,Sao Diêm Vương,321.196322,0.0,0.00257,Aquarius,Bảo Bình,"21°11'46.76""",21.196322,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),141.196322,-0.0,0.00257,Leo,Sư Tử,"21°11'46.76""",21.196322,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2025-11-01,00:30:00,2025-11-01 00:30:00,2025-10-31 17:30:00,2460980.2291666665,7.0,194.332153,-4e-06,0.992679,Libra,Thiên Bình,"14°19'55.75""",14.332153,D,False,0.999838,☉,Mặt Trời,308.986734,-1.22904,0.00253,Aquarius,Bảo Bình,"8°59'12.24""",8.986734,D,False,13.472961,☽,Mặt Trăng,217.960795,-2.89554,0.980991,Scorpio,Thần Nông,"7°57'38.86""",7.960795,D,False,0.898233,☿,Sao Thủy,178.007063,1.476584,1.61562,Virgo,Xử Nữ,"28°00'25.43""",28.007063,D,False,1.249735,♀,Sao Kim,213.057155,-0.390314,2.408796,Scorpio,Thần Nông,"3°03'25.76""",3.057155,D,False,0.712485,♂,Sao Hỏa,90.736324,0.084915,4.865621,Cancer,Cự Giải,"0°44'10.77""",0.736324,D,False,0.035684,♃,Sao Mộc,331.589854,-2.465042,8.785348,Pisces,Song Ngư,"1°35'23.48""",1.589854,R,True,-0.045841,♄,Sao Thổ,36.069475,-0.209178,18.575333,Taurus,Kim Ngưu,"6°04'10.11""",6.069475,R,True,-0.037958,♅,Sao Thiên Vương,335.578494,-1.368262,29.106154,Pisces,Song Ngư,"5°34'42.58""",5.578494,R,True,-0.020116,♆,Sao Hải Vương,277.222371,-3.771531,35.488031,Capricorn,Ma Kết,"7°13'20.54""",7.222371,D,False,0.008404,♇,Sao Diêm Vương,321.19577,0.0,0.00257,Aquarius,Bảo Bình,"21°11'44.77""",21.19577,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),141.19577,-0.0,0.00257,Leo,Sư Tử,"21°11'44.77""",21.19577,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2025-11-01,00:45:00,2025-11-01 00:45:00,2025-10-31 17:45:00,2460980.2395833335,7.0,194.342568,-3e-06,0.992676,Libra,Thiên Bình,"14°20'33.25""",14.342568,D,False,0.999843,☉,Mặt Trời,309.127103,-1.216814,0.002529,Aquarius,Bảo Bình,"9°07'37.57""",9.127103,D,False,13.477777,☽,Mặt Trăng,217.970149,-2.895636,0.980787,Scorpio,Thần Nông,"7°58'12.53""",7.970149,D,False,0.897615,☿,Sao Thủy,178.020081,1.476463,1.61565,Virgo,Xử Nữ,"28°01'12.29""",28.020081,D,False,1.249739,♀,Sao Kim,213.064577,-0.390414,2.408807,Scorpio,Thần Nông,"3°03'52.48""",3.064577,D,False,0.712496,♂,Sao Hỏa,90.736695,0.084939,4.865465,Cancer,Cự Giải,"0°44'12.10""",0.736695,D,False,0.035651,♃,Sao Mộc,331.589377,-2.465015,8.785465,Pisces,Song Ngư,"1°35'21.76""",1.589377,R,True,-0.045826,♄,Sao Thổ,36.069079,-0.209177,18.575268,Taurus,Kim Ngưu,"6°04'08.69""",6.069079,R,True,-0.037962,♅,Sao Thiên Vương,335.578285,-1.368258,29.106268,Pisces,Song Ngư,"5°34'41.83""",5.578285,R,True,-0.020112,♆,Sao Hải Vương,277.222459,-3.771527,35.488216,Capricorn,Ma Kết,"7°13'20.85""",7.222459,D,False,0.008409,♇,Sao Diêm Vương,321.195218,0.0,0.00257,Aquarius,Bảo Bình,"21°11'42.78""",21.195218,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),141.195218,-0.0,0.00257,Leo,Sư Tử,"21°11'42.78""",21.195218,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2025-11-01,01:00:00,2025-11-01 01:00:00,2025-10-31 18:00:00,2460980.25,7.0,194.352983,-3e-06,0.992673,Libra,Thiên Bình,"14°21'10.74""",14.352983,D,False,0.999848,☉,Mặt Trời,309.267523,-1.204576,0.002529,Aquarius,Bảo Bình,"9°16'03.08""",9.267523,D,False,13.482596,☽,Mặt Trăng,217.979495,-2.895731,0.980583,Scorpio,Thần Nông,"7°58'46.18""",7.979495,D,False,0.896996,☿,Sao Thủy,178.033099,1.476342,1.61568,Virgo,Xử Nữ,"28°01'59.16""",28.033099,D,False,1.249742,♀,Sao Kim,213.071999,-0.390514,2.408818,Scorpio,Thần Nông,"3°04'19.20""",3.071999,D,False,0.712506,♂,Sao Hỏa,90.737067,0.084963,4.865309,Cancer,Cự Giải,"0°44'13.44""",0.737067,D,False,0.035618,♃,Sao Mộc,331.5889,-2.464988,8.785582,Pisces,Song Ngư,"1°35'20.04""",1.5889,R,True,-0.045811,♄,Sao Thổ,36.068684,-0.209176,18.575203,Taurus,Kim Ngưu,"6°04'07.26""",6.068684,R,True,-0.037966,♅,Sao Thiên Vương,335.578075,-1.368254,29.106383,Pisces,Song Ngư,"5°34'41.07""",5.578075,R,True,-0.020108,♆,Sao Hải Vương,277.222547,-3.771522,35.488401,Capricorn,Ma Kết,"7°13'21.17""",7.222547,D,False,0.008414,♇,Sao Diêm Vương,321.194666,0.0,0.00257,Aquarius,Bảo Bình,"21°11'40.80""",21.194666,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),141.194666,-0.0,0.00257,Leo,Sư Tử,"21°11'40.80""",21.194666,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2025-11-01,01:15:00,2025-11-01 01:15:00,2025-10-31 18:15:00,2460980.2604166665,7.0,194.363398,-3e-06,0.99267,Libra,Thiên Bình,"14°21'48.23""",14.363398,D,False,0.999852,☉,Mặt Trời,309.407992,-1.192327,0.002529,Aquarius,Bảo Bình,"9°24'28.77""",9.407992,D,False,13.487421,☽,Mặt Trăng,217.988836,-2.895824,0.980379,Scorpio,Thần Nông,"7°59'19.81""",7.988836,D,False,0.896376,☿,Sao Thủy,178.046117,1.476221,1.615709,Virgo,Xử Nữ,"28°02'46.02""",28.046117,D,False,1.249746,♀,Sao Kim,213.079421,-0.390615,2.408829,Scorpio,Thần Nông,"3°04'45.91""",3.079421,D,False,0.712516,♂,Sao Hỏa,90.737437,0.084987,4.865152,Cancer,Cự Giải,"0°44'14.77""",0.737437,D,False,0.035584,♃,Sao Mộc,331.588422,-2.464961,8.785699,Pisces,Song Ngư,"1°35'18.32""",1.588422,R,True,-0.045796,♄,Sao Thổ,36.068288,-0.209175,18.575137,Taurus,Kim Ngưu,"6°04'05.84""",6.068288,R,True,-0.037969,♅,Sao Thiên Vương,335.577866,-1.36825,29.106497,Pisces,Song Ngư,"5°34'40.32""",5.577866,R,True,-0.020104,♆,Sao Hải Vương,277.222634,-3.771517,35.488585,Capricorn,Ma Kết,"7°13'21.48""",7.222634,D,False,0.008419,♇,Sao Diêm Vương,321.194114,0.0,0.00257,Aquarius,Bảo Bình,"21°11'38.81""",21.194114,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),141.194114,-0.0,0.00257,Leo,Sư Tử,"21°11'38.81""",21.194114,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2025-11-01,01:30:00,2025-11-01 01:30:00,2025-10-31 18:30:00,2460980.2708333335,7.0,194.373814,-2e-06,0.992668,Libra,Thiên Bình,"14°22'25.73""",14.373814,D,False,0.999857,☉,Mặt Trời,309.548512,-1.180066,0.002528,Aquarius,Bảo Bình,"9°32'54.64""",9.548512,D,False,13.49225,☽,Mặt Trăng,217.99817,-2.895916,0.980176,Scorpio,Thần Nông,"7°59'53.41""",7.99817,D,False,0.895755,☿,Sao Thủy,178.059136,1.4761,1.615739,Virgo,Xử Nữ,"28°03'32.89""",28.059136,D,False,1.24975,♀,Sao Kim,213.086843,-0.390715,2.40884,Scorpio,Thần Nông,"3°05'12.63""",3.086843,D,False,0.712526,♂,Sao Hỏa,90.737808,0.085011,4.864996,Cancer,Cự Giải,"0°44'16.11""",0.737808,D,False,0.035551,♃,Sao Mộc,331.587945,-2.464934,8.785816,Pisces,Song Ngư,"1°35'16.60""",1.587945,R,True,-0.045781,♄,Sao Thổ,36.067893,-0.209174,18.575072,Taurus,Kim Ngưu,"6°04'04.41""",6.067893,R,True,-0.037973,♅,Sao Thiên Vương,335.577656,-1.368246,29.106611,Pisces,Song Ngư,"5°34'39.56""",5.577656,R,True,-0.0201,♆,Sao Hải Vương,277.222722,-3.771513,35.48877,Capricorn,Ma Kết,"7°13'21.80""",7.222722,D,False,0.008424,♇,Sao Diêm Vương,321.193562,0.0,0.00257,Aquarius,Bảo Bình,"21°11'36.82""",21.193562,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),141.193562,-0.0,0.00257,Leo,Sư Tử,"21°11'36.82""",21.193562,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2025-11-01,01:45:00,2025-11-01 01:45:00,2025-10-31 18:45:00,2460980.28125,7.0,194.384229,-2e-06,0.992665,Libra,Thiên Bình,"14°23'03.22""",14.384229,D,False,0.999861,☉,Mặt Trời,309.689082,-1.167794,0.002528,Aquarius,Bảo Bình,"9°41'20.70""",9.689082,D,False,13.497083,☽,Mặt Trăng,218.007497,-2.896007,0.979972,Scorpio,Thần Nông,"8°00'26.99""",8.007497,D,False,0.895134,☿,Sao Thủy,178.072154,1.475978,1.615769,Virgo,Xử Nữ,"28°04'19.75""",28.072154,D,False,1.249754,♀,Sao Kim,213.094265,-0.390816,2.408851,Scorpio,Thần Nông,"3°05'39.35""",3.094265,D,False,0.712536,♂,Sao Hỏa,90.738178,0.085035,4.86484,Cancer,Cự Giải,"0°44'17.44""",0.738178,D,False,0.035518,♃,Sao Mộc,331.587469,-2.464907,8.785934,Pisces,Song Ngư,"1°35'14.89""",1.587469,R,True,-0.045766,♄,Sao Thổ,36.067497,-0.209173,18.575007,Taurus,Kim Ngưu,"6°04'02.99""",6.067497,R,True,-0.037977,♅,Sao Thiên Vương,335.577447,-1.368242,29.106725,Pisces,Song Ngư,"5°34'38.81""",5.577447,R,True,-0.020096,♆,Sao Hải Vương,277.22281,-3.771508,35.488955,Capricorn,Ma Kết,"7°13'22.12""",7.22281,D,False,0.008429,♇,Sao Diêm Vương,321.19301,0.0,0.00257,Aquarius,Bảo Bình,"21°11'34.84""",21.19301,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),141.19301,-0.0,0.00257,Leo,Sư Tử,"21°11'34.84""",21.19301,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2025-11-01,02:00:00,2025-11-01 02:00:00,2025-10-31 19:00:00,2460980.2916666665,7.0,194.394644,-1e-06,0.992662,Libra,Thiên Bình,"14°23'40.72""",14.394644,D,False,0.999866,☉,Mặt Trời,309.829702,-1.155511,0.002527,Aquarius,Bảo Bình,"9°49'46.93""",9.829702,D,False,13.501922,☽,Mặt Trăng,218.016818,-2.896096,0.979768,Scorpio,Thần Nông,"8°01'00.55""",8.016818,D,False,0.894512,☿,Sao Thủy,178.085172,1.475857,1.615799,Virgo,Xử Nữ,"28°05'06.62""",28.085172,D,False,1.249758,♀,Sao Kim,213.101687,-0.390916,2.408862,Scorpio,Thần Nông,"3°06'06.07""",3.101687,D,False,0.712546,♂,Sao Hỏa,90.738548,0.085058,4.864683,Cancer,Cự Giải,"0°44'18.77""",0.738548,D,False,0.035485,♃,Sao Mộc,331.586992,-2.46488,8.786051,Pisces,Song Ngư,"1°35'13.17""",1.586992,R,True,-0.045751,♄,Sao Thổ,36.067102,-0.209172,18.574942,Taurus,Kim Ngưu,"6°04'01.57""",6.067102,R,True,-0.037981,♅,Sao Thiên Vương,335.577238,-1.368237,29.10684,Pisces,Song Ngư,"5°34'38.06""",5.577238,R,True,-0.020092,♆,Sao Hải Vương,277.222898,-3.771504,35.489139,Capricorn,Ma Kết,"7°13'22.43""",7.222898,D,False,0.008434,♇,Sao Diêm Vương,321.192458,0.0,0.00257,Aquarius,Bảo Bình,"21°11'32.85""",21.192458,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),141.192458,-0.0,0.00257,Leo,Sư Tử,"21°11'32.85""",21.192458,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
2025-11-01,02:15:00,2025-11-01 02:15:00,2025-10-31 19:15:00,2460980.3020833335,7.0,194.405059,-1e-06,0.992659,Libra,Thiên Bình,"14°24'18.21""",14.405059,D,False,0.999871,☉,Mặt Trời,309.970373,-1.143216,0.002527,Aquarius,Bảo Bình,"9°58'13.34""",9.970373,D,False,13.506763,☽,Mặt Trăng,218.026133,-2.896185,0.979564,Scorpio,Thần Nông,"8°01'34.08""",8.026133,D,False,0.893889,☿,Sao Thủy,178.098191,1.475735,1.615829,Virgo,Xử Nữ,"28°05'53.49""",28.098191,D,False,1.249761,♀,Sao Kim,213.10911,-0.391016,2.408872,Scorpio,Thần Nông,"3°06'32.80""",3.10911,D,False,0.712556,♂,Sao Hỏa,90.738917,0.085082,4.864527,Cancer,Cự Giải,"0°44'20.10""",0.738917,D,False,0.035452,♃,Sao Mộc,331.586516,-2.464853,8.786168,Pisces,Song Ngư,"1°35'11.46""",1.586516,R,True,-0.045736,♄,Sao Thổ,36.066706,-0.209172,18.574877,Taurus,Kim Ngưu,"6°04'00.14""",6.066706,R,True,-0.037985,♅,Sao Thiên Vương,335.577029,-1.368233,29.106954,Pisces,Song Ngư,"5°34'37.30""",5.577029,R,True,-0.020088,♆,Sao Hải Vương,277.222985,-3.771499,35.489324,Capricorn,Ma Kết,"7°13'22.75""",7.222985,D,False,0.008439,♇,Sao Diêm Vương,321.191906,-0.0,0.00257,Aquarius,Bảo Bình,"21°11'30.86""",21.191906,R,True,-0.052992,☊,Rahu (Bắc Giao Điểm),141.191906,0.0,0.00257,Leo,Sư Tử,"21°11'30.86""",21.191906,R,True,0.052992,☋,Ketu (Nam Giao Điểm)
