datetime,event,type,planet1,planet1_sign,planet1_degree,planet1_nakshatra,planet1_nakshatra_lord,planet1_pada,planet2,planet2_sign,planet2_degree,planet2_nakshatra,planet2_nakshatra_lord,planet2_pada,exact_angle,difference,orb
2025-12-04 00:00:00,Aspect,Trine,Jupiter,Cancer,"0°07'56.14""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°57'54.20""",Purva Bhadrapada,Jupiter,4,120,119.1672,0.8328
2025-12-04 00:15:00,Aspect,Trine,Jupiter,Cancer,"0°07'53.47""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°57'54.57""",Purva Bhadrapada,Jupiter,4,120,119.1664,0.8336
2025-12-04 00:30:00,Aspect,Trine,Jupiter,Cancer,"0°07'50.79""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°57'54.95""",Purva Bhadrapada,Jupiter,4,120,119.1655,0.8345
2025-12-04 00:45:00,Aspect,Trine,Jupiter,Cancer,"0°07'48.11""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°57'55.32""",Purva Bhadrapada,Jupiter,4,120,119.1647,0.8353
2025-12-04 01:00:00,Aspect,Trine,Jupiter,Cancer,"0°07'45.44""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°57'55.69""",Purva Bhadrapada,Jupiter,4,120,119.1638,0.8362
2025-12-04 01:15:00,Aspect,Trine,Jupiter,Cancer,"0°07'42.76""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°57'56.07""",Purva Bhadrapada,Jupiter,4,120,119.163,0.837
2025-12-04 01:30:00,Aspect,Trine,Jupiter,Cancer,"0°07'40.08""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°57'56.45""",Purva Bhadrapada,Jupiter,4,120,119.1621,0.8379
2025-12-04 01:45:00,Aspect,Trine,Jupiter,Cancer,"0°07'37.39""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°57'56.82""",Purva Bhadrapada,Jupiter,4,120,119.1613,0.8387
2025-12-04 02:00:00,Aspect,Trine,Jupiter,Cancer,"0°07'34.71""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°57'57.20""",Purva Bhadrapada,Jupiter,4,120,119.1604,0.8396
2025-12-04 02:15:00,Aspect,Trine,Jupiter,Cancer,"0°07'32.03""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°57'57.58""",Purva Bhadrapada,Jupiter,4,120,119.1596,0.8404
2025-12-04 02:30:00,Aspect,Trine,Jupiter,Cancer,"0°07'29.34""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°57'57.96""",Purva Bhadrapada,Jupiter,4,120,119.1587,0.8413
2025-12-04 02:45:00,Aspect,Trine,Jupiter,Cancer,"0°07'26.66""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°57'58.34""",Purva Bhadrapada,Jupiter,4,120,119.1579,0.8421
2025-12-04 03:00:00,Aspect,Trine,Jupiter,Cancer,"0°07'23.97""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°57'58.72""",Purva Bhadrapada,Jupiter,4,120,119.157,0.843
2025-12-04 03:15:00,Aspect,Trine,Jupiter,Cancer,"0°07'21.28""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°57'59.10""",Purva Bhadrapada,Jupiter,4,120,119.1562,0.8438
2025-12-04 03:30:00,Aspect,Trine,Jupiter,Cancer,"0°07'18.59""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°57'59.48""",Purva Bhadrapada,Jupiter,4,120,119.1553,0.8447
2025-12-04 03:45:00,Aspect,Trine,Jupiter,Cancer,"0°07'15.90""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°57'59.87""",Purva Bhadrapada,Jupiter,4,120,119.1545,0.8455
2025-12-04 04:00:00,Aspect,Trine,Jupiter,Cancer,"0°07'13.21""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°58'00.25""",Purva Bhadrapada,Jupiter,4,120,119.1536,0.8464
2025-12-04 04:15:00,Aspect,Trine,Jupiter,Cancer,"0°07'10.51""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°58'00.63""",Purva Bhadrapada,Jupiter,4,120,119.1527,0.8473
2025-12-04 04:30:00,Aspect,Trine,Jupiter,Cancer,"0°07'07.82""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°58'01.02""",Purva Bhadrapada,Jupiter,4,120,119.1519,0.8481
2025-12-04 04:45:00,Aspect,Trine,Jupiter,Cancer,"0°07'05.12""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°58'01.40""",Purva Bhadrapada,Jupiter,4,120,119.151,0.849
2025-12-04 05:00:00,Aspect,Trine,Jupiter,Cancer,"0°07'02.43""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°58'01.79""",Purva Bhadrapada,Jupiter,4,120,119.1502,0.8498
2025-12-04 05:15:00,Aspect,Trine,Jupiter,Cancer,"0°06'59.73""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°58'02.18""",Purva Bhadrapada,Jupiter,4,120,119.1493,0.8507
2025-12-04 05:30:00,Aspect,Trine,Jupiter,Cancer,"0°06'57.03""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°58'02.56""",Purva Bhadrapada,Jupiter,4,120,119.1485,0.8515
2025-12-04 05:45:00,Aspect,Trine,Jupiter,Cancer,"0°06'54.33""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°58'02.95""",Purva Bhadrapada,Jupiter,4,120,119.1476,0.8524
2025-12-04 06:00:00,Aspect,Trine,Jupiter,Cancer,"0°06'51.63""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°58'03.34""",Purva Bhadrapada,Jupiter,4,120,119.1467,0.8533
2025-12-04 06:15:00,Aspect,Trine,Jupiter,Cancer,"0°06'48.93""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°58'03.73""",Purva Bhadrapada,Jupiter,4,120,119.1459,0.8541
2025-12-04 06:30:00,Aspect,Trine,Jupiter,Cancer,"0°06'46.22""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°58'04.12""",Purva Bhadrapada,Jupiter,4,120,119.145,0.855
2025-12-04 06:45:00,Aspect,Trine,Jupiter,Cancer,"0°06'43.52""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°58'04.51""",Purva Bhadrapada,Jupiter,4,120,119.1442,0.8558
2025-12-04 07:00:00,Aspect,Trine,Jupiter,Cancer,"0°06'40.81""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°58'04.90""",Purva Bhadrapada,Jupiter,4,120,119.1433,0.8567
2025-12-04 07:15:00,Aspect,Trine,Jupiter,Cancer,"0°06'38.10""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°58'05.30""",Purva Bhadrapada,Jupiter,4,120,119.1424,0.8576
2025-12-04 07:30:00,Aspect,Trine,Jupiter,Cancer,"0°06'35.40""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°58'05.69""",Purva Bhadrapada,Jupiter,4,120,119.1416,0.8584
2025-12-04 07:45:00,Aspect,Trine,Jupiter,Cancer,"0°06'32.69""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°58'06.08""",Purva Bhadrapada,Jupiter,4,120,119.1407,0.8593
2025-12-04 08:00:00,Aspect,Trine,Jupiter,Cancer,"0°06'29.98""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°58'06.48""",Purva Bhadrapada,Jupiter,4,120,119.1399,0.8601
2025-12-04 08:15:00,Aspect,Trine,Jupiter,Cancer,"0°06'27.26""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°58'06.87""",Purva Bhadrapada,Jupiter,4,120,119.139,0.861
