datetime,event,type,planet1,planet1_sign,planet1_degree,planet1_nakshatra,planet1_nakshatra_lord,planet1_pada,planet2,planet2_sign,planet2_degree,planet2_nakshatra,planet2_nakshatra_lord,planet2_pada,exact_angle,difference,orb
2025-12-06 00:00:00,Aspect,Square,Sun,Scorpio,"19°35'33.26""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°20'31.76""",Shatabhisha,Rahu,4,90,89.7496,0.2504
2025-12-06 00:00:00,Aspect,Square,Sun,Scorpio,"19°35'33.26""",Jyeshtha,Mercury,1,Ketu,Leo,"19°20'31.76""",Purva Phalguni,Venus,2,90,90.2504,0.2504
2025-12-06 00:00:00,Aspect,Square,Moon,Gemini,"0°09'08.29""",Mrigashira,Mars,3,Saturn,Pisces,"0°59'18.60""",Purva Bhadrapada,Jupiter,4,90,89.1638,0.8362
2025-12-06 00:00:00,Aspect,Trine,Mercury,Libra,"29°11'47.55""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°59'01.57""",Punarvasu,Jupiter,3,120,119.2128,0.7872
2025-12-06 00:15:00,Aspect,Square,Sun,Scorpio,"19°36'11.30""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°20'29.77""",Shatabhisha,Rahu,4,90,89.7385,0.2615
2025-12-06 00:15:00,Aspect,Square,Sun,Scorpio,"19°36'11.30""",Jyeshtha,Mercury,1,Ketu,Leo,"19°20'29.77""",Purva Phalguni,Venus,2,90,90.2615,0.2615
2025-12-06 00:15:00,Aspect,Square,Moon,Gemini,"0°18'38.74""",Mrigashira,Mars,3,Saturn,Pisces,"0°59'19.10""",Purva Bhadrapada,Jupiter,4,90,89.3221,0.6779
2025-12-06 00:15:00,Aspect,Trine,Mercury,Libra,"29°12'18.45""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'58.67""",Punarvasu,Jupiter,3,120,119.2222,0.7778
2025-12-06 00:30:00,Aspect,Square,Sun,Scorpio,"19°36'49.34""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°20'27.78""",Shatabhisha,Rahu,4,90,89.7273,0.2727
2025-12-06 00:30:00,Aspect,Square,Sun,Scorpio,"19°36'49.34""",Jyeshtha,Mercury,1,Ketu,Leo,"19°20'27.78""",Purva Phalguni,Venus,2,90,90.2727,0.2727
2025-12-06 00:30:00,Aspect,Square,Moon,Gemini,"0°28'09.09""",Mrigashira,Mars,3,Saturn,Pisces,"0°59'19.61""",Purva Bhadrapada,Jupiter,4,90,89.4804,0.5196
2025-12-06 00:30:00,Aspect,Trine,Mercury,Libra,"29°12'49.38""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'55.78""",Punarvasu,Jupiter,3,120,119.2316,0.7684
2025-12-06 00:45:00,Aspect,Square,Sun,Scorpio,"19°37'27.38""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°20'25.79""",Shatabhisha,Rahu,4,90,89.7162,0.2838
2025-12-06 00:45:00,Aspect,Square,Sun,Scorpio,"19°37'27.38""",Jyeshtha,Mercury,1,Ketu,Leo,"19°20'25.79""",Purva Phalguni,Venus,2,90,90.2838,0.2838
2025-12-06 00:45:00,Aspect,Square,Moon,Gemini,"0°37'39.36""",Mrigashira,Mars,3,Saturn,Pisces,"0°59'20.12""",Purva Bhadrapada,Jupiter,4,90,89.6387,0.3613
2025-12-06 00:45:00,Aspect,Trine,Mercury,Libra,"29°13'20.35""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'52.88""",Punarvasu,Jupiter,3,120,119.241,0.759
2025-12-06 01:00:00,Aspect,Square,Sun,Scorpio,"19°38'05.42""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°20'23.81""",Shatabhisha,Rahu,4,90,89.7051,0.2949
2025-12-06 01:00:00,Aspect,Square,Sun,Scorpio,"19°38'05.42""",Jyeshtha,Mercury,1,Ketu,Leo,"19°20'23.81""",Purva Phalguni,Venus,2,90,90.2949,0.2949
2025-12-06 01:00:00,Aspect,Square,Moon,Gemini,"0°47'09.53""",Mrigashira,Mars,3,Saturn,Pisces,"0°59'20.63""",Purva Bhadrapada,Jupiter,4,90,89.7969,0.2031
2025-12-06 01:00:00,Aspect,Trine,Mercury,Libra,"29°13'51.35""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'49.99""",Punarvasu,Jupiter,3,120,119.2504,0.7496
2025-12-06 01:15:00,Aspect,Square,Sun,Scorpio,"19°38'43.46""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°20'21.82""",Shatabhisha,Rahu,4,90,89.694,0.306
2025-12-06 01:15:00,Aspect,Square,Sun,Scorpio,"19°38'43.46""",Jyeshtha,Mercury,1,Ketu,Leo,"19°20'21.82""",Purva Phalguni,Venus,2,90,90.306,0.306
2025-12-06 01:15:00,Aspect,Square,Moon,Gemini,"0°56'39.61""",Mrigashira,Mars,3,Saturn,Pisces,"0°59'21.14""",Purva Bhadrapada,Jupiter,4,90,89.9551,0.0449
2025-12-06 01:15:00,Aspect,Trine,Mercury,Libra,"29°14'22.40""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'47.09""",Punarvasu,Jupiter,3,120,119.2598,0.7402
2025-12-06 01:30:00,Aspect,Square,Sun,Scorpio,"19°39'21.50""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°20'19.83""",Shatabhisha,Rahu,4,90,89.6829,0.3171
2025-12-06 01:30:00,Aspect,Square,Sun,Scorpio,"19°39'21.50""",Jyeshtha,Mercury,1,Ketu,Leo,"19°20'19.83""",Purva Phalguni,Venus,2,90,90.3171,0.3171
2025-12-06 01:30:00,Aspect,Square,Moon,Gemini,"1°06'09.60""",Mrigashira,Mars,3,Saturn,Pisces,"0°59'21.65""",Purva Bhadrapada,Jupiter,4,90,90.1133,0.1133
2025-12-06 01:30:00,Aspect,Trine,Mercury,Libra,"29°14'53.48""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'44.19""",Punarvasu,Jupiter,3,120,119.2692,0.7308
2025-12-06 01:45:00,Aspect,Square,Sun,Scorpio,"19°39'59.54""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°20'17.85""",Shatabhisha,Rahu,4,90,89.6718,0.3282
2025-12-06 01:45:00,Aspect,Square,Sun,Scorpio,"19°39'59.54""",Jyeshtha,Mercury,1,Ketu,Leo,"19°20'17.85""",Purva Phalguni,Venus,2,90,90.3282,0.3282
