datetime,event,type,planet1,planet1_sign,planet1_degree,planet1_nakshatra,planet1_nakshatra_lord,planet1_pada,planet2,planet2_sign,planet2_degree,planet2_nakshatra,planet2_nakshatra_lord,planet2_pada,exact_angle,difference,orb
2025-12-09 00:00:00,Aspect,Square,Mars,Sagittarius,"0°48'59.14""",Mula,Ketu,1,Saturn,Pisces,"1°02'13.33""",Purva Bhadrapada,Jupiter,4,90,90.2206,0.2206
2025-12-09 00:15:00,Aspect,Square,Mars,Sagittarius,"0°49'27.20""",Mula,Ketu,1,Saturn,Pisces,"1°02'14.04""",Purva Bhadrapada,Jupiter,4,90,90.213,0.213
2025-12-09 00:30:00,Aspect,Square,Mars,Sagittarius,"0°49'55.26""",Mula,Ketu,1,Saturn,Pisces,"1°02'14.75""",Purva Bhadrapada,Jupiter,4,90,90.2054,0.2054
2025-12-09 00:45:00,Aspect,Square,Mars,Sagittarius,"0°50'23.32""",Mula,Ketu,1,Saturn,Pisces,"1°02'15.46""",Purva Bhadrapada,Jupiter,4,90,90.1978,0.1978
2025-12-09 01:00:00,Aspect,Square,Mars,Sagittarius,"0°50'51.38""",Mula,Ketu,1,Saturn,Pisces,"1°02'16.17""",Purva Bhadrapada,Jupiter,4,90,90.1902,0.1902
2025-12-09 01:15:00,Aspect,Square,Mars,Sagittarius,"0°51'19.44""",Mula,Ketu,1,Saturn,Pisces,"1°02'16.88""",Purva Bhadrapada,Jupiter,4,90,90.1826,0.1826
2025-12-09 01:30:00,Aspect,Square,Mars,Sagittarius,"0°51'47.50""",Mula,Ketu,1,Saturn,Pisces,"1°02'17.59""",Purva Bhadrapada,Jupiter,4,90,90.175,0.175
2025-12-09 01:45:00,Aspect,Square,Mars,Sagittarius,"0°52'15.57""",Mula,Ketu,1,Saturn,Pisces,"1°02'18.30""",Purva Bhadrapada,Jupiter,4,90,90.1674,0.1674
2025-12-09 02:00:00,Aspect,Square,Mars,Sagittarius,"0°52'43.63""",Mula,Ketu,1,Saturn,Pisces,"1°02'19.01""",Purva Bhadrapada,Jupiter,4,90,90.1598,0.1598
2025-12-09 02:15:00,Aspect,Square,Mars,Sagittarius,"0°53'11.69""",Mula,Ketu,1,Saturn,Pisces,"1°02'19.72""",Purva Bhadrapada,Jupiter,4,90,90.1522,0.1522
2025-12-09 02:30:00,Aspect,Square,Mars,Sagittarius,"0°53'39.76""",Mula,Ketu,1,Saturn,Pisces,"1°02'20.44""",Purva Bhadrapada,Jupiter,4,90,90.1446,0.1446
2025-12-09 02:45:00,Aspect,Square,Mars,Sagittarius,"0°54'07.82""",Mula,Ketu,1,Saturn,Pisces,"1°02'21.15""",Purva Bhadrapada,Jupiter,4,90,90.137,0.137
2025-12-09 03:00:00,Aspect,Square,Mars,Sagittarius,"0°54'35.88""",Mula,Ketu,1,Saturn,Pisces,"1°02'21.86""",Purva Bhadrapada,Jupiter,4,90,90.1294,0.1294
2025-12-09 03:15:00,Aspect,Square,Mars,Sagittarius,"0°55'03.95""",Mula,Ketu,1,Saturn,Pisces,"1°02'22.58""",Purva Bhadrapada,Jupiter,4,90,90.1218,0.1218
2025-12-09 03:30:00,Aspect,Square,Mars,Sagittarius,"0°55'32.01""",Mula,Ketu,1,Saturn,Pisces,"1°02'23.30""",Purva Bhadrapada,Jupiter,4,90,90.1142,0.1142
2025-12-09 03:45:00,Aspect,Square,Mars,Sagittarius,"0°56'00.08""",Mula,Ketu,1,Saturn,Pisces,"1°02'24.01""",Purva Bhadrapada,Jupiter,4,90,90.1066,0.1066
2025-12-09 04:00:00,Aspect,Square,Mars,Sagittarius,"0°56'28.14""",Mula,Ketu,1,Saturn,Pisces,"1°02'24.73""",Purva Bhadrapada,Jupiter,4,90,90.0991,0.0991
2025-12-09 04:15:00,Aspect,Square,Mars,Sagittarius,"0°56'56.21""",Mula,Ketu,1,Saturn,Pisces,"1°02'25.45""",Purva Bhadrapada,Jupiter,4,90,90.0915,0.0915
2025-12-09 04:30:00,Aspect,Square,Mars,Sagittarius,"0°57'24.27""",Mula,Ketu,1,Saturn,Pisces,"1°02'26.17""",Purva Bhadrapada,Jupiter,4,90,90.0839,0.0839
2025-12-09 04:45:00,Aspect,Square,Mars,Sagittarius,"0°57'52.34""",Mula,Ketu,1,Saturn,Pisces,"1°02'26.89""",Purva Bhadrapada,Jupiter,4,90,90.0763,0.0763
2025-12-09 05:00:00,Aspect,Square,Mars,Sagittarius,"0°58'20.41""",Mula,Ketu,1,Saturn,Pisces,"1°02'27.61""",Purva Bhadrapada,Jupiter,4,90,90.0687,0.0687
2025-12-09 05:15:00,Aspect,Square,Mars,Sagittarius,"0°58'48.47""",Mula,Ketu,1,Saturn,Pisces,"1°02'28.33""",Purva Bhadrapada,Jupiter,4,90,90.0611,0.0611
2025-12-09 05:30:00,Aspect,Square,Mars,Sagittarius,"0°59'16.54""",Mula,Ketu,1,Saturn,Pisces,"1°02'29.05""",Purva Bhadrapada,Jupiter,4,90,90.0535,0.0535
2025-12-09 05:45:00,Aspect,Square,Mars,Sagittarius,"0°59'44.61""",Mula,Ketu,1,Saturn,Pisces,"1°02'29.77""",Purva Bhadrapada,Jupiter,4,90,90.0459,0.0459
2025-12-09 06:00:00,Aspect,Square,Mars,Sagittarius,"1°00'12.68""",Mula,Ketu,1,Saturn,Pisces,"1°02'30.50""",Purva Bhadrapada,Jupiter,4,90,90.0383,0.0383
2025-12-09 06:15:00,Aspect,Square,Mars,Sagittarius,"1°00'40.74""",Mula,Ketu,1,Saturn,Pisces,"1°02'31.22""",Purva Bhadrapada,Jupiter,4,90,90.0307,0.0307
2025-12-09 06:30:00,Aspect,Square,Mars,Sagittarius,"1°01'08.81""",Mula,Ketu,1,Saturn,Pisces,"1°02'31.94""",Purva Bhadrapada,Jupiter,4,90,90.0231,0.0231
2025-12-09 06:45:00,Aspect,Square,Mars,Sagittarius,"1°01'36.88""",Mula,Ketu,1,Saturn,Pisces,"1°02'32.67""",Purva Bhadrapada,Jupiter,4,90,90.0155,0.0155
2025-12-09 07:00:00,Aspect,Square,Mars,Sagittarius,"1°02'04.95""",Mula,Ketu,1,Saturn,Pisces,"1°02'33.40""",Purva Bhadrapada,Jupiter,4,90,90.0079,0.0079
2025-12-09 07:15:00,Aspect,Square,Mars,Sagittarius,"1°02'33.02""",Mula,Ketu,1,Saturn,Pisces,"1°02'34.12""",Purva Bhadrapada,Jupiter,4,90,90.0003,0.0003
2025-12-09 07:30:00,Aspect,Square,Mars,Sagittarius,"1°03'01.09""",Mula,Ketu,1,Saturn,Pisces,"1°02'34.85""",Purva Bhadrapada,Jupiter,4,90,89.9927,0.0073
2025-12-09 07:45:00,Aspect,Square,Mars,Sagittarius,"1°03'29.16""",Mula,Ketu,1,Saturn,Pisces,"1°02'35.58""",Purva Bhadrapada,Jupiter,4,90,89.9851,0.0149
2025-12-09 08:00:00,Aspect,Square,Mars,Sagittarius,"1°03'57.23""",Mula,Ketu,1,Saturn,Pisces,"1°02'36.31""",Purva Bhadrapada,Jupiter,4,90,89.9775,0.0225
2025-12-09 08:15:00,Aspect,Square,Mars,Sagittarius,"1°04'25.30""",Mula,Ketu,1,Saturn,Pisces,"1°02'37.04""",Purva Bhadrapada,Jupiter,4,90,89.9699,0.0301
2025-12-09 08:30:00,Aspect,Square,Mars,Sagittarius,"1°04'53.38""",Mula,Ketu,1,Saturn,Pisces,"1°02'37.77""",Purva Bhadrapada,Jupiter,4,90,89.9623,0.0377
2025-12-09 08:45:00,Aspect,Square,Mars,Sagittarius,"1°05'21.45""",Mula,Ketu,1,Saturn,Pisces,"1°02'38.50""",Purva Bhadrapada,Jupiter,4,90,89.9547,0.0453
2025-12-09 09:00:00,Aspect,Square,Mars,Sagittarius,"1°05'49.52""",Mula,Ketu,1,Saturn,Pisces,"1°02'39.23""",Purva Bhadrapada,Jupiter,4,90,89.9471,0.0529
2025-12-09 09:15:00,Aspect,Square,Mars,Sagittarius,"1°06'17.59""",Mula,Ketu,1,Saturn,Pisces,"1°02'39.96""",Purva Bhadrapada,Jupiter,4,90,89.9395,0.0605
2025-12-09 09:30:00,Aspect,Square,Mars,Sagittarius,"1°06'45.66""",Mula,Ketu,1,Saturn,Pisces,"1°02'40.69""",Purva Bhadrapada,Jupiter,4,90,89.932,0.068
2025-12-09 09:45:00,Aspect,Square,Mars,Sagittarius,"1°07'13.74""",Mula,Ketu,1,Saturn,Pisces,"1°02'41.43""",Purva Bhadrapada,Jupiter,4,90,89.9244,0.0756
2025-12-09 10:00:00,Aspect,Square,Mars,Sagittarius,"1°07'41.81""",Mula,Ketu,1,Saturn,Pisces,"1°02'42.16""",Purva Bhadrapada,Jupiter,4,90,89.9168,0.0832
2025-12-09 10:15:00,Aspect,Square,Mars,Sagittarius,"1°08'09.88""",Mula,Ketu,1,Saturn,Pisces,"1°02'42.89""",Purva Bhadrapada,Jupiter,4,90,89.9092,0.0908
2025-12-09 10:30:00,Aspect,Square,Mars,Sagittarius,"1°08'37.96""",Mula,Ketu,1,Saturn,Pisces,"1°02'43.63""",Purva Bhadrapada,Jupiter,4,90,89.9016,0.0984
2025-12-09 10:45:00,Aspect,Square,Mars,Sagittarius,"1°09'06.03""",Mula,Ketu,1,Saturn,Pisces,"1°02'44.37""",Purva Bhadrapada,Jupiter,4,90,89.894,0.106
2025-12-09 11:00:00,Aspect,Square,Mars,Sagittarius,"1°09'34.11""",Mula,Ketu,1,Saturn,Pisces,"1°02'45.10""",Purva Bhadrapada,Jupiter,4,90,89.8864,0.1136
2025-12-09 11:15:00,Aspect,Square,Mars,Sagittarius,"1°10'02.18""",Mula,Ketu,1,Saturn,Pisces,"1°02'45.84""",Purva Bhadrapada,Jupiter,4,90,89.8788,0.1212
2025-12-09 11:30:00,Aspect,Square,Mars,Sagittarius,"1°10'30.26""",Mula,Ketu,1,Saturn,Pisces,"1°02'46.58""",Purva Bhadrapada,Jupiter,4,90,89.8712,0.1288
2025-12-09 11:45:00,Aspect,Square,Mars,Sagittarius,"1°10'58.34""",Mula,Ketu,1,Saturn,Pisces,"1°02'47.32""",Purva Bhadrapada,Jupiter,4,90,89.8636,0.1364
2025-12-09 12:00:00,Aspect,Square,Mars,Sagittarius,"1°11'26.41""",Mula,Ketu,1,Saturn,Pisces,"1°02'48.06""",Purva Bhadrapada,Jupiter,4,90,89.856,0.144
2025-12-09 12:15:00,Aspect,Square,Mars,Sagittarius,"1°11'54.49""",Mula,Ketu,1,Saturn,Pisces,"1°02'48.80""",Purva Bhadrapada,Jupiter,4,90,89.8484,0.1516
2025-12-09 12:30:00,Aspect,Square,Mars,Sagittarius,"1°12'22.56""",Mula,Ketu,1,Saturn,Pisces,"1°02'49.54""",Purva Bhadrapada,Jupiter,4,90,89.8408,0.1592
2025-12-09 12:45:00,Aspect,Square,Mars,Sagittarius,"1°12'50.64""",Mula,Ketu,1,Saturn,Pisces,"1°02'50.28""",Purva Bhadrapada,Jupiter,4,90,89.8332,0.1668
2025-12-09 13:00:00,Aspect,Square,Mars,Sagittarius,"1°13'18.72""",Mula,Ketu,1,Saturn,Pisces,"1°02'51.02""",Purva Bhadrapada,Jupiter,4,90,89.8256,0.1744
2025-12-09 13:15:00,Aspect,Square,Mars,Sagittarius,"1°13'46.80""",Mula,Ketu,1,Saturn,Pisces,"1°02'51.77""",Purva Bhadrapada,Jupiter,4,90,89.818,0.182
2025-12-09 13:30:00,Aspect,Square,Mars,Sagittarius,"1°14'14.88""",Mula,Ketu,1,Saturn,Pisces,"1°02'52.51""",Purva Bhadrapada,Jupiter,4,90,89.8105,0.1895
2025-12-09 13:45:00,Aspect,Square,Mars,Sagittarius,"1°14'42.95""",Mula,Ketu,1,Saturn,Pisces,"1°02'53.26""",Purva Bhadrapada,Jupiter,4,90,89.8029,0.1971
2025-12-09 14:00:00,Aspect,Square,Mars,Sagittarius,"1°15'11.03""",Mula,Ketu,1,Saturn,Pisces,"1°02'54.00""",Purva Bhadrapada,Jupiter,4,90,89.7953,0.2047
2025-12-09 14:15:00,Aspect,Square,Mars,Sagittarius,"1°15'39.11""",Mula,Ketu,1,Saturn,Pisces,"1°02'54.75""",Purva Bhadrapada,Jupiter,4,90,89.7877,0.2123
2025-12-09 14:30:00,Aspect,Square,Mars,Sagittarius,"1°16'07.19""",Mula,Ketu,1,Saturn,Pisces,"1°02'55.49""",Purva Bhadrapada,Jupiter,4,90,89.7801,0.2199
