datetime,event,type,planet1,planet1_sign,planet1_degree,planet1_nakshatra,planet1_nakshatra_lord,planet1_pada,planet2,planet2_sign,planet2_degree,planet2_nakshatra,planet2_nakshatra_lord,planet2_pada,exact_angle,difference,orb
2025-12-10 05:15:00,Aspect,Trine,Moon,Leo,"0°45'41.29""",Magha,Ketu,1,Mars,Sagittarius,"1°43'44.50""",Mula,Ketu,1,120,120.9676,0.9676
2025-12-10 05:30:00,Aspect,Trine,Moon,Leo,"0°54'01.63""",Magha,Ketu,1,Mars,Sagittarius,"1°44'12.60""",Mula,Ketu,1,120,120.8364,0.8364
2025-12-10 05:45:00,Aspect,Trine,Moon,Leo,"1°02'21.79""",Magha,Ketu,1,Mars,Sagittarius,"1°44'40.70""",Mula,Ketu,1,120,120.7053,0.7053
2025-12-10 06:00:00,Aspect,Trine,Moon,Leo,"1°10'41.76""",Magha,Ketu,1,Mars,Sagittarius,"1°45'08.81""",Mula,Ketu,1,120,120.5742,0.5742
2025-12-10 06:15:00,Aspect,Trine,Moon,Leo,"1°19'01.54""",Magha,Ketu,1,Mars,Sagittarius,"1°45'36.91""",Mula,Ketu,1,120,120.4432,0.4432
2025-12-10 06:30:00,Aspect,Trine,Moon,Leo,"1°27'21.13""",Magha,Ketu,1,Mars,Sagittarius,"1°46'05.01""",Mula,Ketu,1,120,120.3122,0.3122
2025-12-10 06:45:00,Aspect,Trine,Moon,Leo,"1°35'40.53""",Magha,Ketu,1,Mars,Sagittarius,"1°46'33.11""",Mula,Ketu,1,120,120.1813,0.1813
2025-12-10 07:00:00,Aspect,Trine,Moon,Leo,"1°43'59.75""",Magha,Ketu,1,Mars,Sagittarius,"1°47'01.21""",Mula,Ketu,1,120,120.0504,0.0504
2025-12-10 07:15:00,Aspect,Trine,Moon,Leo,"1°52'18.78""",Magha,Ketu,1,Mars,Sagittarius,"1°47'29.32""",Mula,Ketu,1,120,119.9196,0.0804
2025-12-10 07:30:00,Aspect,Trine,Moon,Leo,"2°00'37.63""",Magha,Ketu,1,Mars,Sagittarius,"1°47'57.42""",Mula,Ketu,1,120,119.7888,0.2112
2025-12-10 07:45:00,Aspect,Trine,Moon,Leo,"2°08'56.28""",Magha,Ketu,1,Mars,Sagittarius,"1°48'25.52""",Mula,Ketu,1,120,119.6581,0.3419
2025-12-10 08:00:00,Aspect,Trine,Moon,Leo,"2°17'14.76""",Magha,Ketu,1,Mars,Sagittarius,"1°48'53.63""",Mula,Ketu,1,120,119.5275,0.4725
2025-12-10 08:15:00,Aspect,Trine,Moon,Leo,"2°25'33.04""",Magha,Ketu,1,Mars,Sagittarius,"1°49'21.73""",Mula,Ketu,1,120,119.3969,0.6031
2025-12-10 08:30:00,Aspect,Square,Moon,Leo,"2°33'51.14""",Magha,Ketu,1,Mercury,Scorpio,"3°32'36.76""",Anuradha,Saturn,1,90,90.9793,0.9793
2025-12-10 08:30:00,Aspect,Trine,Moon,Leo,"2°33'51.14""",Magha,Ketu,1,Mars,Sagittarius,"1°49'49.83""",Mula,Ketu,1,120,119.2663,0.7337
2025-12-10 08:45:00,Aspect,Square,Moon,Leo,"2°42'09.06""",Magha,Ketu,1,Mercury,Scorpio,"3°33'19.60""",Anuradha,Saturn,1,90,90.8529,0.8529
