datetime,event,type,planet1,planet1_sign,planet1_degree,planet1_nakshatra,planet1_nakshatra_lord,planet1_pada,planet2,planet2_sign,planet2_degree,planet2_nakshatra,planet2_nakshatra_lord,planet2_pada,exact_angle,difference,orb
2025-12-21 00:00:00,Aspect,Square,Venus,Sagittarius,"0°46'23.58""",Mula,Ketu,1,Saturn,Pisces,"1°23'24.08""",Purva Bhadrapada,Jupiter,4,90,90.6168,0.6168
2025-12-21 00:15:00,Aspect,Square,Venus,Sagittarius,"0°47'10.78""",Mula,Ketu,1,Saturn,Pisces,"1°23'25.57""",Purva Bhadrapada,Jupiter,4,90,90.6041,0.6041
2025-12-21 00:30:00,Aspect,Square,Venus,Sagittarius,"0°47'57.99""",Mula,Ketu,1,Saturn,Pisces,"1°23'27.06""",Purva Bhadrapada,Jupiter,4,90,90.5914,0.5914
2025-12-21 00:45:00,Aspect,Square,Venus,Sagittarius,"0°48'45.19""",Mula,Ketu,1,Saturn,Pisces,"1°23'28.56""",Purva Bhadrapada,Jupiter,4,90,90.5787,0.5787
2025-12-21 01:00:00,Aspect,Square,Venus,Sagittarius,"0°49'32.40""",Mula,Ketu,1,Saturn,Pisces,"1°23'30.06""",Purva Bhadrapada,Jupiter,4,90,90.566,0.566
2025-12-21 01:15:00,Aspect,Square,Venus,Sagittarius,"0°50'19.60""",Mula,Ketu,1,Saturn,Pisces,"1°23'31.55""",Purva Bhadrapada,Jupiter,4,90,90.5533,0.5533
2025-12-21 01:30:00,Aspect,Square,Venus,Sagittarius,"0°51'06.81""",Mula,Ketu,1,Saturn,Pisces,"1°23'33.05""",Purva Bhadrapada,Jupiter,4,90,90.5406,0.5406
2025-12-21 01:45:00,Aspect,Square,Venus,Sagittarius,"0°51'54.01""",Mula,Ketu,1,Saturn,Pisces,"1°23'34.55""",Purva Bhadrapada,Jupiter,4,90,90.5279,0.5279
2025-12-21 02:00:00,Aspect,Square,Venus,Sagittarius,"0°52'41.22""",Mula,Ketu,1,Saturn,Pisces,"1°23'36.05""",Purva Bhadrapada,Jupiter,4,90,90.5152,0.5152
2025-12-21 02:15:00,Aspect,Square,Venus,Sagittarius,"0°53'28.42""",Mula,Ketu,1,Saturn,Pisces,"1°23'37.55""",Purva Bhadrapada,Jupiter,4,90,90.5025,0.5025
2025-12-21 02:30:00,Aspect,Square,Venus,Sagittarius,"0°54'15.62""",Mula,Ketu,1,Saturn,Pisces,"1°23'39.05""",Purva Bhadrapada,Jupiter,4,90,90.4898,0.4898
2025-12-21 02:45:00,Aspect,Square,Venus,Sagittarius,"0°55'02.83""",Mula,Ketu,1,Saturn,Pisces,"1°23'40.55""",Purva Bhadrapada,Jupiter,4,90,90.4771,0.4771
2025-12-21 03:00:00,Aspect,Square,Venus,Sagittarius,"0°55'50.03""",Mula,Ketu,1,Saturn,Pisces,"1°23'42.05""",Purva Bhadrapada,Jupiter,4,90,90.4644,0.4644
2025-12-21 03:15:00,Aspect,Square,Venus,Sagittarius,"0°56'37.24""",Mula,Ketu,1,Saturn,Pisces,"1°23'43.55""",Purva Bhadrapada,Jupiter,4,90,90.4518,0.4518
2025-12-21 03:30:00,Aspect,Square,Venus,Sagittarius,"0°57'24.44""",Mula,Ketu,1,Saturn,Pisces,"1°23'45.06""",Purva Bhadrapada,Jupiter,4,90,90.4391,0.4391
2025-12-21 03:45:00,Aspect,Square,Venus,Sagittarius,"0°58'11.65""",Mula,Ketu,1,Saturn,Pisces,"1°23'46.56""",Purva Bhadrapada,Jupiter,4,90,90.4264,0.4264
2025-12-21 04:00:00,Aspect,Square,Venus,Sagittarius,"0°58'58.85""",Mula,Ketu,1,Saturn,Pisces,"1°23'48.06""",Purva Bhadrapada,Jupiter,4,90,90.4137,0.4137
2025-12-21 04:15:00,Aspect,Square,Venus,Sagittarius,"0°59'46.06""",Mula,Ketu,1,Saturn,Pisces,"1°23'49.57""",Purva Bhadrapada,Jupiter,4,90,90.401,0.401
2025-12-21 04:30:00,Aspect,Square,Venus,Sagittarius,"1°00'33.26""",Mula,Ketu,1,Saturn,Pisces,"1°23'51.07""",Purva Bhadrapada,Jupiter,4,90,90.3883,0.3883
2025-12-21 04:45:00,Aspect,Square,Venus,Sagittarius,"1°01'20.47""",Mula,Ketu,1,Saturn,Pisces,"1°23'52.58""",Purva Bhadrapada,Jupiter,4,90,90.3756,0.3756
2025-12-21 05:00:00,Aspect,Square,Venus,Sagittarius,"1°02'07.67""",Mula,Ketu,1,Saturn,Pisces,"1°23'54.09""",Purva Bhadrapada,Jupiter,4,90,90.3629,0.3629
2025-12-21 05:15:00,Aspect,Square,Venus,Sagittarius,"1°02'54.87""",Mula,Ketu,1,Saturn,Pisces,"1°23'55.59""",Purva Bhadrapada,Jupiter,4,90,90.3502,0.3502
2025-12-21 05:30:00,Aspect,Square,Venus,Sagittarius,"1°03'42.08""",Mula,Ketu,1,Saturn,Pisces,"1°23'57.10""",Purva Bhadrapada,Jupiter,4,90,90.3375,0.3375
2025-12-21 05:45:00,Aspect,Square,Venus,Sagittarius,"1°04'29.28""",Mula,Ketu,1,Saturn,Pisces,"1°23'58.61""",Purva Bhadrapada,Jupiter,4,90,90.3248,0.3248
2025-12-21 06:00:00,Aspect,Square,Venus,Sagittarius,"1°05'16.49""",Mula,Ketu,1,Saturn,Pisces,"1°24'00.12""",Purva Bhadrapada,Jupiter,4,90,90.3121,0.3121
2025-12-21 06:15:00,Aspect,Square,Venus,Sagittarius,"1°06'03.69""",Mula,Ketu,1,Saturn,Pisces,"1°24'01.63""",Purva Bhadrapada,Jupiter,4,90,90.2994,0.2994
2025-12-21 06:30:00,Aspect,Square,Venus,Sagittarius,"1°06'50.90""",Mula,Ketu,1,Saturn,Pisces,"1°24'03.14""",Purva Bhadrapada,Jupiter,4,90,90.2867,0.2867
2025-12-21 06:45:00,Aspect,Square,Venus,Sagittarius,"1°07'38.10""",Mula,Ketu,1,Saturn,Pisces,"1°24'04.65""",Purva Bhadrapada,Jupiter,4,90,90.274,0.274
2025-12-21 07:00:00,Aspect,Square,Venus,Sagittarius,"1°08'25.31""",Mula,Ketu,1,Saturn,Pisces,"1°24'06.17""",Purva Bhadrapada,Jupiter,4,90,90.2613,0.2613
2025-12-21 07:15:00,Aspect,Square,Venus,Sagittarius,"1°09'12.51""",Mula,Ketu,1,Saturn,Pisces,"1°24'07.68""",Purva Bhadrapada,Jupiter,4,90,90.2487,0.2487
2025-12-21 07:30:00,Aspect,Square,Venus,Sagittarius,"1°09'59.72""",Mula,Ketu,1,Saturn,Pisces,"1°24'09.19""",Purva Bhadrapada,Jupiter,4,90,90.236,0.236
2025-12-21 07:45:00,Aspect,Square,Venus,Sagittarius,"1°10'46.92""",Mula,Ketu,1,Saturn,Pisces,"1°24'10.71""",Purva Bhadrapada,Jupiter,4,90,90.2233,0.2233
2025-12-21 08:00:00,Aspect,Square,Venus,Sagittarius,"1°11'34.12""",Mula,Ketu,1,Saturn,Pisces,"1°24'12.22""",Purva Bhadrapada,Jupiter,4,90,90.2106,0.2106
2025-12-21 08:15:00,Aspect,Square,Venus,Sagittarius,"1°12'21.33""",Mula,Ketu,1,Saturn,Pisces,"1°24'13.74""",Purva Bhadrapada,Jupiter,4,90,90.1979,0.1979
2025-12-21 08:30:00,Aspect,Square,Venus,Sagittarius,"1°13'08.53""",Mula,Ketu,1,Saturn,Pisces,"1°24'15.25""",Purva Bhadrapada,Jupiter,4,90,90.1852,0.1852
2025-12-21 08:45:00,Aspect,Square,Venus,Sagittarius,"1°13'55.74""",Mula,Ketu,1,Saturn,Pisces,"1°24'16.77""",Purva Bhadrapada,Jupiter,4,90,90.1725,0.1725
2025-12-21 09:00:00,Aspect,Square,Venus,Sagittarius,"1°14'42.94""",Mula,Ketu,1,Saturn,Pisces,"1°24'18.29""",Purva Bhadrapada,Jupiter,4,90,90.1598,0.1598
2025-12-21 09:15:00,Aspect,Square,Venus,Sagittarius,"1°15'30.15""",Mula,Ketu,1,Saturn,Pisces,"1°24'19.81""",Purva Bhadrapada,Jupiter,4,90,90.1471,0.1471
2025-12-21 09:30:00,Aspect,Square,Venus,Sagittarius,"1°16'17.35""",Mula,Ketu,1,Saturn,Pisces,"1°24'21.32""",Purva Bhadrapada,Jupiter,4,90,90.1344,0.1344
2025-12-21 09:45:00,Aspect,Square,Venus,Sagittarius,"1°17'04.56""",Mula,Ketu,1,Saturn,Pisces,"1°24'22.84""",Purva Bhadrapada,Jupiter,4,90,90.1217,0.1217
2025-12-21 10:00:00,Aspect,Square,Venus,Sagittarius,"1°17'51.76""",Mula,Ketu,1,Saturn,Pisces,"1°24'24.36""",Purva Bhadrapada,Jupiter,4,90,90.1091,0.1091
2025-12-21 10:15:00,Aspect,Square,Venus,Sagittarius,"1°18'38.97""",Mula,Ketu,1,Saturn,Pisces,"1°24'25.88""",Purva Bhadrapada,Jupiter,4,90,90.0964,0.0964
2025-12-21 10:30:00,Aspect,Square,Venus,Sagittarius,"1°19'26.17""",Mula,Ketu,1,Saturn,Pisces,"1°24'27.41""",Purva Bhadrapada,Jupiter,4,90,90.0837,0.0837
2025-12-21 10:45:00,Aspect,Square,Venus,Sagittarius,"1°20'13.37""",Mula,Ketu,1,Saturn,Pisces,"1°24'28.93""",Purva Bhadrapada,Jupiter,4,90,90.071,0.071
