datetime,event,type,planet1,planet1_sign,planet1_degree,planet1_nakshatra,planet1_nakshatra_lord,planet1_pada,planet2,planet2_sign,planet2_degree,planet2_nakshatra,planet2_nakshatra_lord,planet2_pada,exact_angle,difference,orb
2025-12-22 00:00:00,Aspect,Square,Mercury,Scorpio,"19°05'04.35""",Jyeshtha,Mercury,1,Ketu,Leo,"18°29'39.42""",Purva Phalguni,Venus,2,90,90.5903,0.5903
2025-12-22 00:15:00,Aspect,Square,Mercury,Scorpio,"19°05'58.67""",Jyeshtha,Mercury,1,Ketu,Leo,"18°29'37.43""",Purva Phalguni,Venus,2,90,90.6059,0.6059
2025-12-22 00:30:00,Aspect,Square,Mercury,Scorpio,"19°06'52.99""",Jyeshtha,Mercury,1,Ketu,Leo,"18°29'35.44""",Purva Phalguni,Venus,2,90,90.6215,0.6215
2025-12-22 00:45:00,Aspect,Square,Mercury,Scorpio,"19°07'47.31""",Jyeshtha,Mercury,1,Ketu,Leo,"18°29'33.46""",Purva Phalguni,Venus,2,90,90.6372,0.6372
2025-12-22 01:00:00,Aspect,Square,Mercury,Scorpio,"19°08'41.63""",Jyeshtha,Mercury,1,Ketu,Leo,"18°29'31.47""",Purva Phalguni,Venus,2,90,90.6528,0.6528
2025-12-22 01:15:00,Aspect,Square,Mercury,Scorpio,"19°09'35.97""",Jyeshtha,Mercury,1,Ketu,Leo,"18°29'29.48""",Purva Phalguni,Venus,2,90,90.6685,0.6685
2025-12-22 01:30:00,Aspect,Square,Mercury,Scorpio,"19°10'30.30""",Jyeshtha,Mercury,1,Ketu,Leo,"18°29'27.49""",Purva Phalguni,Venus,2,90,90.6841,0.6841
2025-12-22 01:45:00,Aspect,Square,Mercury,Scorpio,"19°11'24.64""",Jyeshtha,Mercury,1,Ketu,Leo,"18°29'25.51""",Purva Phalguni,Venus,2,90,90.6998,0.6998
2025-12-22 02:00:00,Aspect,Square,Mercury,Scorpio,"19°12'18.99""",Jyeshtha,Mercury,1,Ketu,Leo,"18°29'23.52""",Purva Phalguni,Venus,2,90,90.7154,0.7154
2025-12-22 02:15:00,Aspect,Square,Mercury,Scorpio,"19°13'13.33""",Jyeshtha,Mercury,1,Ketu,Leo,"18°29'21.53""",Purva Phalguni,Venus,2,90,90.7311,0.7311
2025-12-22 02:30:00,Aspect,Square,Mercury,Scorpio,"19°14'07.69""",Jyeshtha,Mercury,1,Ketu,Leo,"18°29'19.55""",Purva Phalguni,Venus,2,90,90.7467,0.7467
2025-12-22 02:45:00,Aspect,Square,Mercury,Scorpio,"19°15'02.04""",Jyeshtha,Mercury,1,Ketu,Leo,"18°29'17.56""",Purva Phalguni,Venus,2,90,90.7624,0.7624
2025-12-22 03:00:00,Aspect,Square,Mercury,Scorpio,"19°15'56.41""",Jyeshtha,Mercury,1,Ketu,Leo,"18°29'15.57""",Purva Phalguni,Venus,2,90,90.778,0.778
2025-12-22 03:15:00,Aspect,Square,Mercury,Scorpio,"19°16'50.77""",Jyeshtha,Mercury,1,Ketu,Leo,"18°29'13.58""",Purva Phalguni,Venus,2,90,90.7937,0.7937
