datetime,event,type,planet1,planet1_sign,planet1_degree,planet2,planet2_sign,planet2_degree,exact_angle,difference,orb
2026-01-02 00:00:00,Aspect,Sextitle,Sun,Sagittarius,"17°04'06.26""",Rahu,Aquarius,"17°54'40.94""",60,60.843,0.843
2026-01-02 00:15:00,Aspect,Sextitle,Sun,Sagittarius,"17°04'44.46""",Rahu,Aquarius,"17°54'38.95""",60,60.8318,0.8318
2026-01-02 00:30:00,Aspect,Sextitle,Sun,Sagittarius,"17°05'22.67""",Rahu,Aquarius,"17°54'36.96""",60,60.8206,0.8206
2026-01-02 00:45:00,Aspect,Sextitle,Sun,Sagittarius,"17°06'00.87""",Rahu,Aquarius,"17°54'34.97""",60,60.8095,0.8095
2026-01-02 01:00:00,Aspect,Sextitle,Sun,Sagittarius,"17°06'39.08""",Rahu,Aquarius,"17°54'32.99""",60,60.7983,0.7983
2026-01-02 01:15:00,Aspect,Sextitle,Sun,Sagittarius,"17°07'17.28""",Rahu,Aquarius,"17°54'31.00""",60,60.7871,0.7871
2026-01-02 01:30:00,Aspect,Sextitle,Sun,Sagittarius,"17°07'55.48""",Rahu,Aquarius,"17°54'29.01""",60,60.776,0.776
2026-01-02 01:45:00,Aspect,Sextitle,Sun,Sagittarius,"17°08'33.69""",Rahu,Aquarius,"17°54'27.02""",60,60.7648,0.7648
2026-01-02 02:00:00,Aspect,Sextitle,Sun,Sagittarius,"17°09'11.89""",Rahu,Aquarius,"17°54'25.04""",60,60.7537,0.7537
2026-01-02 02:15:00,Aspect,Sextitle,Sun,Sagittarius,"17°09'50.09""",Rahu,Aquarius,"17°54'23.05""",60,60.7425,0.7425
2026-01-02 02:30:00,Aspect,Sextitle,Sun,Sagittarius,"17°10'28.30""",Rahu,Aquarius,"17°54'21.06""",60,60.7313,0.7313
2026-01-02 02:45:00,Aspect,Sextitle,Sun,Sagittarius,"17°11'06.50""",Rahu,Aquarius,"17°54'19.08""",60,60.7202,0.7202
