datetime,event,type,planet1,planet1_sign,planet1_degree,planet2,planet2_sign,planet2_degree,exact_angle,difference,orb
2026-01-10 00:00:00,Aspect,Conjunction,Sun,Sagittarius,"25°13'07.79""",Venus,Sagittarius,"25°56'24.14""",0,0.7212,0.7212
2026-01-10 00:00:00,Aspect,Conjunction,Venus,Sagittarius,"25°56'24.14""",Mars,Sagittarius,"25°09'50.91""",0,0.7759,0.7759
2026-01-10 00:00:00,Aspect,Opposition,Venus,Sagittarius,"25°56'24.14""",Jupiter,Gemini,"25°58'25.98""",180,179.9662,0.0338
2026-01-10 00:15:00,Aspect,Conjunction,Sun,Sagittarius,"25°13'46.00""",Venus,Sagittarius,"25°57'11.31""",0,0.7237,0.7237
2026-01-10 00:15:00,Aspect,Conjunction,Venus,Sagittarius,"25°57'11.31""",Mars,Sagittarius,"25°10'19.86""",0,0.781,0.781
2026-01-10 00:15:00,Aspect,Opposition,Venus,Sagittarius,"25°57'11.31""",Jupiter,Gemini,"25°58'20.92""",180,179.9807,0.0193
2026-01-10 00:30:00,Aspect,Conjunction,Sun,Sagittarius,"25°14'24.21""",Venus,Sagittarius,"25°57'58.48""",0,0.7262,0.7262
2026-01-10 00:30:00,Aspect,Conjunction,Venus,Sagittarius,"25°57'58.48""",Mars,Sagittarius,"25°10'48.81""",0,0.786,0.786
2026-01-10 00:30:00,Aspect,Opposition,Venus,Sagittarius,"25°57'58.48""",Jupiter,Gemini,"25°58'15.85""",180,179.9952,0.0048
2026-01-10 00:45:00,Aspect,Conjunction,Sun,Sagittarius,"25°15'02.41""",Venus,Sagittarius,"25°58'45.65""",0,0.7287,0.7287
2026-01-10 00:45:00,Aspect,Conjunction,Venus,Sagittarius,"25°58'45.65""",Mars,Sagittarius,"25°11'17.75""",0,0.7911,0.7911
2026-01-10 00:45:00,Aspect,Opposition,Venus,Sagittarius,"25°58'45.65""",Jupiter,Gemini,"25°58'10.79""",180,179.9903,0.0097
2026-01-10 01:00:00,Aspect,Conjunction,Sun,Sagittarius,"25°15'40.62""",Venus,Sagittarius,"25°59'32.82""",0,0.7312,0.7312
2026-01-10 01:00:00,Aspect,Conjunction,Venus,Sagittarius,"25°59'32.82""",Mars,Sagittarius,"25°11'46.70""",0,0.7961,0.7961
2026-01-10 01:00:00,Aspect,Opposition,Venus,Sagittarius,"25°59'32.82""",Jupiter,Gemini,"25°58'05.73""",180,179.9758,0.0242
2026-01-10 01:15:00,Aspect,Conjunction,Sun,Sagittarius,"25°16'18.83""",Venus,Sagittarius,"26°00'19.99""",0,0.7337,0.7337
2026-01-10 01:15:00,Aspect,Conjunction,Venus,Sagittarius,"26°00'19.99""",Mars,Sagittarius,"25°12'15.65""",0,0.8012,0.8012
2026-01-10 01:15:00,Aspect,Opposition,Venus,Sagittarius,"26°00'19.99""",Jupiter,Gemini,"25°58'00.67""",180,179.9613,0.0387
2026-01-10 01:30:00,Aspect,Conjunction,Sun,Sagittarius,"25°16'57.04""",Venus,Sagittarius,"26°01'07.16""",0,0.7361,0.7361
2026-01-10 01:30:00,Aspect,Conjunction,Venus,Sagittarius,"26°01'07.16""",Mars,Sagittarius,"25°12'44.60""",0,0.8063,0.8063
2026-01-10 01:30:00,Aspect,Opposition,Venus,Sagittarius,"26°01'07.16""",Jupiter,Gemini,"25°57'55.60""",180,179.9468,0.0532
2026-01-10 01:45:00,Aspect,Conjunction,Sun,Sagittarius,"25°17'35.25""",Venus,Sagittarius,"26°01'54.33""",0,0.7386,0.7386
2026-01-10 01:45:00,Aspect,Conjunction,Venus,Sagittarius,"26°01'54.33""",Mars,Sagittarius,"25°13'13.55""",0,0.8113,0.8113
2026-01-10 01:45:00,Aspect,Opposition,Venus,Sagittarius,"26°01'54.33""",Jupiter,Gemini,"25°57'50.54""",180,179.9323,0.0677
2026-01-10 02:00:00,Aspect,Conjunction,Sun,Sagittarius,"25°18'13.46""",Venus,Sagittarius,"26°02'41.50""",0,0.7411,0.7411
2026-01-10 02:00:00,Aspect,Conjunction,Venus,Sagittarius,"26°02'41.50""",Mars,Sagittarius,"25°13'42.50""",0,0.8164,0.8164
2026-01-10 02:00:00,Aspect,Opposition,Venus,Sagittarius,"26°02'41.50""",Jupiter,Gemini,"25°57'45.48""",180,179.9178,0.0822
2026-01-10 02:15:00,Aspect,Conjunction,Sun,Sagittarius,"25°18'51.66""",Venus,Sagittarius,"26°03'28.67""",0,0.7436,0.7436
2026-01-10 02:15:00,Aspect,Conjunction,Venus,Sagittarius,"26°03'28.67""",Mars,Sagittarius,"25°14'11.45""",0,0.8214,0.8214
2026-01-10 02:15:00,Aspect,Opposition,Venus,Sagittarius,"26°03'28.67""",Jupiter,Gemini,"25°57'40.42""",180,179.9033,0.0967
