datetime,event,type,planet1,planet1_sign,planet1_degree,planet2,planet2_sign,planet2_degree,exact_angle,difference,orb
2026-01-11 00:00:00,Aspect,Conjunction,Sun,Sagittarius,"26°14'15.81""",Mars,Sagittarius,"25°56'11.03""",0,0.3013,0.3013
2026-01-11 00:00:00,Aspect,Opposition,Mars,Sagittarius,"25°56'11.03""",Jupiter,Gemini,"25°50'19.93""",180,179.9025,0.0975
2026-01-11 00:15:00,Aspect,Conjunction,Sun,Sagittarius,"26°14'54.02""",Mars,Sagittarius,"25°56'40.00""",0,0.3039,0.3039
2026-01-11 00:15:00,Aspect,Opposition,Mars,Sagittarius,"25°56'40.00""",Jupiter,Gemini,"25°50'14.87""",180,179.893,0.107
2026-01-11 00:30:00,Aspect,Conjunction,Sun,Sagittarius,"26°15'32.23""",Mars,Sagittarius,"25°57'08.97""",0,0.3065,0.3065
2026-01-11 00:30:00,Aspect,Opposition,Mars,Sagittarius,"25°57'08.97""",Jupiter,Gemini,"25°50'09.81""",180,179.8836,0.1164
2026-01-11 00:45:00,Aspect,Conjunction,Sun,Sagittarius,"26°16'10.44""",Mars,Sagittarius,"25°57'37.94""",0,0.309,0.309
2026-01-11 00:45:00,Aspect,Opposition,Mars,Sagittarius,"25°57'37.94""",Jupiter,Gemini,"25°50'04.74""",180,179.8741,0.1259
2026-01-11 01:00:00,Aspect,Conjunction,Sun,Sagittarius,"26°16'48.64""",Mars,Sagittarius,"25°58'06.92""",0,0.3116,0.3116
2026-01-11 01:00:00,Aspect,Opposition,Mars,Sagittarius,"25°58'06.92""",Jupiter,Gemini,"25°49'59.68""",180,179.8647,0.1353
2026-01-11 01:15:00,Aspect,Conjunction,Sun,Sagittarius,"26°17'26.85""",Mars,Sagittarius,"25°58'35.89""",0,0.3142,0.3142
2026-01-11 01:15:00,Aspect,Opposition,Mars,Sagittarius,"25°58'35.89""",Jupiter,Gemini,"25°49'54.62""",180,179.8552,0.1448
2026-01-11 01:30:00,Aspect,Conjunction,Sun,Sagittarius,"26°18'05.06""",Mars,Sagittarius,"25°59'04.86""",0,0.3167,0.3167
2026-01-11 01:30:00,Aspect,Opposition,Mars,Sagittarius,"25°59'04.86""",Jupiter,Gemini,"25°49'49.56""",180,179.8457,0.1543
2026-01-11 01:45:00,Aspect,Conjunction,Sun,Sagittarius,"26°18'43.27""",Mars,Sagittarius,"25°59'33.83""",0,0.3193,0.3193
2026-01-11 01:45:00,Aspect,Opposition,Mars,Sagittarius,"25°59'33.83""",Jupiter,Gemini,"25°49'44.49""",180,179.8363,0.1637
2026-01-11 02:00:00,Aspect,Conjunction,Sun,Sagittarius,"26°19'21.48""",Mars,Sagittarius,"26°00'02.81""",0,0.3219,0.3219
