datetime,event,aspecting_planet,aspecting_sign,aspecting_sign_vi,aspecting_degree,aspecting_nakshatra,aspecting_nakshatra_lord,aspecting_pada,aspected_planet,aspected_sign,aspected_sign_vi,aspected_degree,aspected_nakshatra,aspected_nakshatra_lord,aspected_pada,aspect_type,aspect_house,target_angle,actual_angle,orb,strength
2026-01-11 00:00:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"26°14'15.81""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"25°50'19.93""",Punarvasu,Jupiter,2,7th House,7,180,179.6011,0.3989,Standard
2026-01-11 00:00:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"25°50'19.93""",Punarvasu,Jupiter,2,Sun,Sagittarius,Nhân Mã,"26°14'15.81""",Purva Ashadha,Venus,4,7th House,7,180,180.3989,0.3989,Weak
2026-01-11 00:15:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"26°14'54.02""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"25°50'14.87""",Punarvasu,Jupiter,2,7th House,7,180,179.5891,0.4109,Standard
2026-01-11 00:15:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"25°50'14.87""",Punarvasu,Jupiter,2,Sun,Sagittarius,Nhân Mã,"26°14'54.02""",Purva Ashadha,Venus,4,7th House,7,180,180.4109,0.4109,Weak
2026-01-11 00:30:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"26°15'32.23""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"25°50'09.81""",Punarvasu,Jupiter,2,7th House,7,180,179.5771,0.4229,Standard
2026-01-11 00:30:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"25°50'09.81""",Punarvasu,Jupiter,2,Sun,Sagittarius,Nhân Mã,"26°15'32.23""",Purva Ashadha,Venus,4,7th House,7,180,180.4229,0.4229,Weak
2026-01-11 00:45:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"26°16'10.44""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"25°50'04.74""",Punarvasu,Jupiter,2,7th House,7,180,179.5651,0.4349,Standard
2026-01-11 00:45:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"25°50'04.74""",Punarvasu,Jupiter,2,Sun,Sagittarius,Nhân Mã,"26°16'10.44""",Purva Ashadha,Venus,4,7th House,7,180,180.4349,0.4349,Weak
2026-01-11 01:00:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"26°16'48.64""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"25°49'59.68""",Punarvasu,Jupiter,2,7th House,7,180,179.5531,0.4469,Standard
2026-01-11 01:00:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"25°49'59.68""",Punarvasu,Jupiter,2,Sun,Sagittarius,Nhân Mã,"26°16'48.64""",Purva Ashadha,Venus,4,7th House,7,180,180.4469,0.4469,Weak
2026-01-11 01:15:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"26°17'26.85""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"25°49'54.62""",Punarvasu,Jupiter,2,7th House,7,180,179.541,0.459,Standard
2026-01-11 01:15:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"25°49'54.62""",Punarvasu,Jupiter,2,Sun,Sagittarius,Nhân Mã,"26°17'26.85""",Purva Ashadha,Venus,4,7th House,7,180,180.459,0.459,Weak
2026-01-11 01:30:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"26°18'05.06""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"25°49'49.56""",Punarvasu,Jupiter,2,7th House,7,180,179.529,0.471,Standard
2026-01-11 01:30:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"25°49'49.56""",Punarvasu,Jupiter,2,Sun,Sagittarius,Nhân Mã,"26°18'05.06""",Purva Ashadha,Venus,4,7th House,7,180,180.471,0.471,Weak
2026-01-11 01:45:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"26°18'43.27""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"25°49'44.49""",Punarvasu,Jupiter,2,7th House,7,180,179.517,0.483,Standard
2026-01-11 01:45:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"25°49'44.49""",Punarvasu,Jupiter,2,Sun,Sagittarius,Nhân Mã,"26°18'43.27""",Purva Ashadha,Venus,4,7th House,7,180,180.483,0.483,Weak
2026-01-11 02:00:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"26°19'21.48""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"25°49'39.43""",Punarvasu,Jupiter,2,7th House,7,180,179.505,0.495,Standard
2026-01-11 02:00:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"25°49'39.43""",Punarvasu,Jupiter,2,Sun,Sagittarius,Nhân Mã,"26°19'21.48""",Purva Ashadha,Venus,4,7th House,7,180,180.495,0.495,Weak
2026-01-11 02:15:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"26°19'59.69""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"25°49'34.37""",Punarvasu,Jupiter,2,7th House,7,180,179.493,0.507,Standard
2026-01-11 02:15:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"25°49'34.37""",Punarvasu,Jupiter,2,Sun,Sagittarius,Nhân Mã,"26°19'59.69""",Purva Ashadha,Venus,4,7th House,7,180,180.507,0.507,Weak
2026-01-11 02:30:00,Parashara_Drishti,Sun,Sagittarius,Nhân Mã,"26°20'37.90""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"25°49'29.30""",Punarvasu,Jupiter,2,7th House,7,180,179.4809,0.5191,Standard
