datetime,event,type,planet1,planet1_sign,planet1_degree,planet2,planet2_sign,planet2_degree,exact_angle,difference,orb
2026-01-16 16:15:00,Aspect,Sextitle,Sun,Capricorn,"2°01'18.06""",Saturn,Pisces,"3°00'56.11""",60,60.9939,0.9939
2026-01-16 16:30:00,Aspect,Sextitle,Sun,Capricorn,"2°01'56.26""",Saturn,Pisces,"3°00'59.12""",60,60.9841,0.9841
2026-01-16 16:45:00,Aspect,Sextitle,Sun,Capricorn,"2°02'34.46""",Saturn,Pisces,"3°01'02.13""",60,60.9744,0.9744
2026-01-16 17:00:00,Aspect,Sextitle,Sun,Capricorn,"2°03'12.66""",Saturn,Pisces,"3°01'05.14""",60,60.9646,0.9646
2026-01-16 17:15:00,Aspect,Sextitle,Sun,Capricorn,"2°03'50.86""",Saturn,Pisces,"3°01'08.16""",60,60.9548,0.9548
2026-01-16 17:30:00,Aspect,Sextitle,Sun,Capricorn,"2°04'29.06""",Saturn,Pisces,"3°01'11.17""",60,60.945,0.945
2026-01-16 17:45:00,Aspect,Sextitle,Sun,Capricorn,"2°05'07.26""",Saturn,Pisces,"3°01'14.18""",60,60.9353,0.9353
2026-01-16 18:00:00,Aspect,Sextitle,Sun,Capricorn,"2°05'45.46""",Saturn,Pisces,"3°01'17.20""",60,60.9255,0.9255
2026-01-16 18:15:00,Aspect,Sextitle,Sun,Capricorn,"2°06'23.65""",Saturn,Pisces,"3°01'20.21""",60,60.9157,0.9157
2026-01-16 18:30:00,Aspect,Sextitle,Sun,Capricorn,"2°07'01.85""",Saturn,Pisces,"3°01'23.23""",60,60.9059,0.9059
2026-01-16 18:45:00,Aspect,Sextitle,Sun,Capricorn,"2°07'40.05""",Saturn,Pisces,"3°01'26.24""",60,60.8962,0.8962
2026-01-16 19:00:00,Aspect,Sextitle,Sun,Capricorn,"2°08'18.25""",Saturn,Pisces,"3°01'29.26""",60,60.8864,0.8864
2026-01-16 19:15:00,Aspect,Sextitle,Sun,Capricorn,"2°08'56.45""",Saturn,Pisces,"3°01'32.28""",60,60.8766,0.8766
2026-01-16 19:30:00,Aspect,Sextitle,Sun,Capricorn,"2°09'34.65""",Saturn,Pisces,"3°01'35.29""",60,60.8668,0.8668
2026-01-16 19:45:00,Aspect,Sextitle,Sun,Capricorn,"2°10'12.85""",Saturn,Pisces,"3°01'38.31""",60,60.8571,0.8571
2026-01-16 20:00:00,Aspect,Sextitle,Sun,Capricorn,"2°10'51.05""",Saturn,Pisces,"3°01'41.33""",60,60.8473,0.8473
2026-01-16 20:15:00,Aspect,Sextitle,Sun,Capricorn,"2°11'29.25""",Saturn,Pisces,"3°01'44.35""",60,60.8375,0.8375
2026-01-16 20:30:00,Aspect,Sextitle,Sun,Capricorn,"2°12'07.45""",Saturn,Pisces,"3°01'47.37""",60,60.8278,0.8278
2026-01-16 20:45:00,Aspect,Sextitle,Sun,Capricorn,"2°12'45.65""",Saturn,Pisces,"3°01'50.39""",60,60.818,0.818
2026-01-16 21:00:00,Aspect,Sextitle,Sun,Capricorn,"2°13'23.85""",Saturn,Pisces,"3°01'53.41""",60,60.8082,0.8082
2026-01-16 21:15:00,Aspect,Sextitle,Sun,Capricorn,"2°14'02.04""",Saturn,Pisces,"3°01'56.43""",60,60.7984,0.7984
2026-01-16 21:30:00,Aspect,Sextitle,Sun,Capricorn,"2°14'40.24""",Saturn,Pisces,"3°01'59.45""",60,60.7887,0.7887
2026-01-16 21:45:00,Aspect,Sextitle,Sun,Capricorn,"2°15'18.44""",Saturn,Pisces,"3°02'02.47""",60,60.7789,0.7789
2026-01-16 22:00:00,Aspect,Sextitle,Sun,Capricorn,"2°15'56.64""",Saturn,Pisces,"3°02'05.50""",60,60.7691,0.7691
2026-01-16 22:15:00,Aspect,Sextitle,Sun,Capricorn,"2°16'34.84""",Saturn,Pisces,"3°02'08.52""",60,60.7594,0.7594
2026-01-16 22:30:00,Aspect,Sextitle,Sun,Capricorn,"2°17'13.04""",Saturn,Pisces,"3°02'11.54""",60,60.7496,0.7496
2026-01-16 22:45:00,Aspect,Sextitle,Sun,Capricorn,"2°17'51.24""",Saturn,Pisces,"3°02'14.57""",60,60.7398,0.7398
2026-01-16 23:00:00,Aspect,Sextitle,Sun,Capricorn,"2°18'29.44""",Saturn,Pisces,"3°02'17.59""",60,60.73,0.73
2026-01-16 23:15:00,Aspect,Sextitle,Sun,Capricorn,"2°19'07.63""",Saturn,Pisces,"3°02'20.62""",60,60.7203,0.7203
2026-01-16 23:30:00,Aspect,Sextitle,Sun,Capricorn,"2°19'45.83""",Saturn,Pisces,"3°02'23.64""",60,60.7105,0.7105
2026-01-16 23:45:00,Aspect,Sextitle,Sun,Capricorn,"2°20'24.03""",Saturn,Pisces,"3°02'26.67""",60,60.7007,0.7007
