datetime,event,type,planet1,planet1_sign,planet1_degree,planet2,planet2_sign,planet2_degree,exact_angle,difference,orb
2026-01-22 00:00:00,Aspect,Conjunction,Sun,Capricorn,"7°26'30.90""",Mercury,Capricorn,"7°28'28.64""",0,0.0327,0.0327
2026-01-22 00:15:00,Aspect,Conjunction,Sun,Capricorn,"7°27'09.07""",Mercury,Capricorn,"7°29'31.66""",0,0.0396,0.0396
2026-01-22 00:30:00,Aspect,Conjunction,Sun,Capricorn,"7°27'47.23""",Mercury,Capricorn,"7°30'34.68""",0,0.0465,0.0465
2026-01-22 00:45:00,Aspect,Conjunction,Sun,Capricorn,"7°28'25.40""",Mercury,Capricorn,"7°31'37.71""",0,0.0534,0.0534
2026-01-22 01:00:00,Aspect,Conjunction,Sun,Capricorn,"7°29'03.57""",Mercury,Capricorn,"7°32'40.74""",0,0.0603,0.0603
2026-01-22 01:15:00,Aspect,Conjunction,Sun,Capricorn,"7°29'41.73""",Mercury,Capricorn,"7°33'43.78""",0,0.0672,0.0672
2026-01-22 01:30:00,Aspect,Conjunction,Sun,Capricorn,"7°30'19.90""",Mercury,Capricorn,"7°34'46.81""",0,0.0741,0.0741
2026-01-22 01:45:00,Aspect,Conjunction,Sun,Capricorn,"7°30'58.07""",Mercury,Capricorn,"7°35'49.86""",0,0.0811,0.0811
2026-01-22 02:00:00,Aspect,Conjunction,Sun,Capricorn,"7°31'36.23""",Mercury,Capricorn,"7°36'52.90""",0,0.088,0.088
2026-01-22 02:15:00,Aspect,Conjunction,Sun,Capricorn,"7°32'14.40""",Mercury,Capricorn,"7°37'55.95""",0,0.0949,0.0949
2026-01-22 02:30:00,Aspect,Conjunction,Sun,Capricorn,"7°32'52.57""",Mercury,Capricorn,"7°38'59.00""",0,0.1018,0.1018
2026-01-22 02:45:00,Aspect,Conjunction,Sun,Capricorn,"7°33'30.73""",Mercury,Capricorn,"7°40'02.06""",0,0.1087,0.1087
2026-01-22 03:00:00,Aspect,Conjunction,Sun,Capricorn,"7°34'08.90""",Mercury,Capricorn,"7°41'05.12""",0,0.1156,0.1156
2026-01-22 03:15:00,Aspect,Conjunction,Sun,Capricorn,"7°34'47.06""",Mercury,Capricorn,"7°42'08.19""",0,0.1225,0.1225
2026-01-22 03:30:00,Aspect,Conjunction,Sun,Capricorn,"7°35'25.23""",Mercury,Capricorn,"7°43'11.25""",0,0.1295,0.1295
2026-01-22 03:45:00,Aspect,Conjunction,Sun,Capricorn,"7°36'03.40""",Mercury,Capricorn,"7°44'14.33""",0,0.1364,0.1364
2026-01-22 04:00:00,Aspect,Conjunction,Sun,Capricorn,"7°36'41.56""",Mercury,Capricorn,"7°45'17.40""",0,0.1433,0.1433
2026-01-22 04:15:00,Aspect,Conjunction,Sun,Capricorn,"7°37'19.73""",Mercury,Capricorn,"7°46'20.48""",0,0.1502,0.1502
2026-01-22 04:30:00,Aspect,Conjunction,Sun,Capricorn,"7°37'57.89""",Mercury,Capricorn,"7°47'23.56""",0,0.1571,0.1571
2026-01-22 04:45:00,Aspect,Conjunction,Sun,Capricorn,"7°38'36.06""",Mercury,Capricorn,"7°48'26.65""",0,0.1641,0.1641
2026-01-22 05:00:00,Aspect,Conjunction,Sun,Capricorn,"7°39'14.22""",Mercury,Capricorn,"7°49'29.74""",0,0.171,0.171
2026-01-22 05:15:00,Aspect,Conjunction,Sun,Capricorn,"7°39'52.39""",Mercury,Capricorn,"7°50'32.83""",0,0.1779,0.1779
2026-01-22 05:30:00,Aspect,Conjunction,Sun,Capricorn,"7°40'30.55""",Mercury,Capricorn,"7°51'35.93""",0,0.1848,0.1848
2026-01-22 05:45:00,Aspect,Conjunction,Sun,Capricorn,"7°41'08.72""",Mercury,Capricorn,"7°52'39.03""",0,0.1918,0.1918
2026-01-22 06:00:00,Aspect,Conjunction,Sun,Capricorn,"7°41'46.88""",Mercury,Capricorn,"7°53'42.14""",0,0.1987,0.1987
2026-01-22 06:15:00,Aspect,Conjunction,Sun,Capricorn,"7°42'25.05""",Mercury,Capricorn,"7°54'45.25""",0,0.2056,0.2056
2026-01-22 06:30:00,Aspect,Conjunction,Sun,Capricorn,"7°43'03.21""",Mercury,Capricorn,"7°55'48.36""",0,0.2125,0.2125
2026-01-22 06:45:00,Aspect,Conjunction,Sun,Capricorn,"7°43'41.38""",Mercury,Capricorn,"7°56'51.47""",0,0.2195,0.2195
2026-01-22 07:00:00,Aspect,Conjunction,Sun,Capricorn,"7°44'19.54""",Mercury,Capricorn,"7°57'54.59""",0,0.2264,0.2264
2026-01-22 07:15:00,Aspect,Conjunction,Sun,Capricorn,"7°44'57.71""",Mercury,Capricorn,"7°58'57.72""",0,0.2333,0.2333
2026-01-22 07:30:00,Aspect,Conjunction,Sun,Capricorn,"7°45'35.87""",Mercury,Capricorn,"8°00'00.85""",0,0.2403,0.2403
2026-01-22 07:45:00,Aspect,Conjunction,Sun,Capricorn,"7°46'14.03""",Mercury,Capricorn,"8°01'03.98""",0,0.2472,0.2472
2026-01-22 08:00:00,Aspect,Conjunction,Sun,Capricorn,"7°46'52.20""",Mercury,Capricorn,"8°02'07.11""",0,0.2541,0.2541
2026-01-22 08:15:00,Aspect,Conjunction,Sun,Capricorn,"7°47'30.36""",Mercury,Capricorn,"8°03'10.25""",0,0.2611,0.2611
2026-01-22 08:30:00,Aspect,Conjunction,Sun,Capricorn,"7°48'08.53""",Mercury,Capricorn,"8°04'13.39""",0,0.268,0.268
2026-01-22 08:45:00,Aspect,Conjunction,Sun,Capricorn,"7°48'46.69""",Mercury,Capricorn,"8°05'16.54""",0,0.275,0.275
2026-01-22 09:00:00,Aspect,Conjunction,Sun,Capricorn,"7°49'24.85""",Mercury,Capricorn,"8°06'19.69""",0,0.2819,0.2819
2026-01-22 09:15:00,Aspect,Conjunction,Sun,Capricorn,"7°50'03.02""",Mercury,Capricorn,"8°07'22.84""",0,0.2888,0.2888
2026-01-22 09:30:00,Aspect,Conjunction,Sun,Capricorn,"7°50'41.18""",Mercury,Capricorn,"8°08'26.00""",0,0.2958,0.2958
2026-01-22 09:45:00,Aspect,Conjunction,Sun,Capricorn,"7°51'19.35""",Mercury,Capricorn,"8°09'29.16""",0,0.3027,0.3027
2026-01-22 10:00:00,Aspect,Conjunction,Sun,Capricorn,"7°51'57.51""",Mercury,Capricorn,"8°10'32.32""",0,0.3097,0.3097
2026-01-22 10:15:00,Aspect,Conjunction,Sun,Capricorn,"7°52'35.67""",Mercury,Capricorn,"8°11'35.49""",0,0.3166,0.3166
2026-01-22 10:30:00,Aspect,Conjunction,Sun,Capricorn,"7°53'13.84""",Mercury,Capricorn,"8°12'38.66""",0,0.3236,0.3236
2026-01-22 10:45:00,Aspect,Conjunction,Sun,Capricorn,"7°53'52.00""",Mercury,Capricorn,"8°13'41.84""",0,0.3305,0.3305
2026-01-22 11:00:00,Aspect,Conjunction,Sun,Capricorn,"7°54'30.16""",Mercury,Capricorn,"8°14'45.02""",0,0.3375,0.3375
2026-01-22 11:15:00,Aspect,Conjunction,Sun,Capricorn,"7°55'08.32""",Mercury,Capricorn,"8°15'48.20""",0,0.3444,0.3444
2026-01-22 11:30:00,Aspect,Conjunction,Sun,Capricorn,"7°55'46.49""",Mercury,Capricorn,"8°16'51.39""",0,0.3514,0.3514
2026-01-22 11:45:00,Aspect,Conjunction,Sun,Capricorn,"7°56'24.65""",Mercury,Capricorn,"8°17'54.58""",0,0.3583,0.3583
2026-01-22 12:00:00,Aspect,Conjunction,Sun,Capricorn,"7°57'02.81""",Mercury,Capricorn,"8°18'57.77""",0,0.3653,0.3653
2026-01-22 12:15:00,Aspect,Conjunction,Sun,Capricorn,"7°57'40.97""",Mercury,Capricorn,"8°20'00.97""",0,0.3722,0.3722
2026-01-22 12:30:00,Aspect,Conjunction,Sun,Capricorn,"7°58'19.14""",Mercury,Capricorn,"8°21'04.17""",0,0.3792,0.3792
2026-01-22 12:45:00,Aspect,Conjunction,Sun,Capricorn,"7°58'57.30""",Mercury,Capricorn,"8°22'07.38""",0,0.3861,0.3861
2026-01-22 13:00:00,Aspect,Conjunction,Sun,Capricorn,"7°59'35.46""",Mercury,Capricorn,"8°23'10.59""",0,0.3931,0.3931
2026-01-22 13:15:00,Aspect,Conjunction,Sun,Capricorn,"8°00'13.62""",Mercury,Capricorn,"8°24'13.80""",0,0.4,0.4
2026-01-22 13:30:00,Aspect,Conjunction,Sun,Capricorn,"8°00'51.79""",Mercury,Capricorn,"8°25'17.02""",0,0.407,0.407
2026-01-22 13:45:00,Aspect,Conjunction,Sun,Capricorn,"8°01'29.95""",Mercury,Capricorn,"8°26'20.24""",0,0.414,0.414
2026-01-22 14:00:00,Aspect,Conjunction,Sun,Capricorn,"8°02'08.11""",Mercury,Capricorn,"8°27'23.46""",0,0.4209,0.4209
2026-01-22 14:15:00,Aspect,Conjunction,Sun,Capricorn,"8°02'46.27""",Mercury,Capricorn,"8°28'26.69""",0,0.4279,0.4279
2026-01-22 14:30:00,Aspect,Conjunction,Sun,Capricorn,"8°03'24.43""",Mercury,Capricorn,"8°29'29.92""",0,0.4349,0.4349
2026-01-22 14:45:00,Aspect,Conjunction,Sun,Capricorn,"8°04'02.59""",Mercury,Capricorn,"8°30'33.16""",0,0.4418,0.4418
2026-01-22 15:00:00,Aspect,Conjunction,Sun,Capricorn,"8°04'40.76""",Mercury,Capricorn,"8°31'36.39""",0,0.4488,0.4488
2026-01-22 15:15:00,Aspect,Conjunction,Sun,Capricorn,"8°05'18.92""",Mercury,Capricorn,"8°32'39.64""",0,0.4558,0.4558
2026-01-22 15:30:00,Aspect,Conjunction,Sun,Capricorn,"8°05'57.08""",Mercury,Capricorn,"8°33'42.88""",0,0.4627,0.4627
2026-01-22 15:45:00,Aspect,Conjunction,Sun,Capricorn,"8°06'35.24""",Mercury,Capricorn,"8°34'46.13""",0,0.4697,0.4697
