datetime,event,type,planet1,planet1_sign,planet1_degree,planet2,planet2_sign,planet2_degree,exact_angle,difference,orb
2026-01-23 00:00:00,Aspect,Conjunction,Sun,Capricorn,"8°27'34.50""",Mercury,Capricorn,"9°09'35.47""",0,0.7003,0.7003
2026-01-23 00:00:00,Aspect,Trine,Moon,Aquarius,"24°25'43.57""",Jupiter,Gemini,"24°15'04.47""",120,119.8225,0.1775
2026-01-23 00:15:00,Aspect,Conjunction,Sun,Capricorn,"8°28'12.66""",Mercury,Capricorn,"9°10'38.85""",0,0.7073,0.7073
2026-01-23 00:15:00,Aspect,Trine,Moon,Aquarius,"24°34'00.22""",Jupiter,Gemini,"24°14'59.70""",120,119.6832,0.3168
2026-01-23 00:30:00,Aspect,Conjunction,Sun,Capricorn,"8°28'50.82""",Mercury,Capricorn,"9°11'42.23""",0,0.7143,0.7143
2026-01-23 00:30:00,Aspect,Trine,Moon,Aquarius,"24°42'16.95""",Jupiter,Gemini,"24°14'54.93""",120,119.5439,0.4561
2026-01-23 00:45:00,Aspect,Conjunction,Sun,Capricorn,"8°29'28.98""",Mercury,Capricorn,"9°12'45.62""",0,0.7213,0.7213
2026-01-23 00:45:00,Aspect,Trine,Moon,Aquarius,"24°50'33.76""",Jupiter,Gemini,"24°14'50.17""",120,119.4046,0.5954
2026-01-23 01:00:00,Aspect,Conjunction,Sun,Capricorn,"8°30'07.14""",Mercury,Capricorn,"9°13'49.00""",0,0.7283,0.7283
2026-01-23 01:00:00,Aspect,Trine,Moon,Aquarius,"24°58'50.65""",Jupiter,Gemini,"24°14'45.40""",120,119.2652,0.7348
2026-01-23 01:15:00,Aspect,Conjunction,Sun,Capricorn,"8°30'45.29""",Mercury,Capricorn,"9°14'52.40""",0,0.7353,0.7353
2026-01-23 01:15:00,Aspect,Trine,Moon,Aquarius,"25°07'07.62""",Jupiter,Gemini,"24°14'40.64""",120,119.1258,0.8742
2026-01-23 01:30:00,Aspect,Conjunction,Sun,Capricorn,"8°31'23.45""",Mercury,Capricorn,"9°15'55.79""",0,0.7423,0.7423
2026-01-23 01:45:00,Aspect,Conjunction,Sun,Capricorn,"8°32'01.61""",Mercury,Capricorn,"9°16'59.19""",0,0.7493,0.7493
2026-01-23 02:00:00,Aspect,Conjunction,Sun,Capricorn,"8°32'39.76""",Mercury,Capricorn,"9°18'02.59""",0,0.7563,0.7563
2026-01-23 02:15:00,Aspect,Conjunction,Sun,Capricorn,"8°33'17.92""",Mercury,Capricorn,"9°19'06.00""",0,0.7634,0.7634
2026-01-23 02:30:00,Aspect,Conjunction,Sun,Capricorn,"8°33'56.08""",Mercury,Capricorn,"9°20'09.41""",0,0.7704,0.7704
