datetime,event,type,planet1,planet1_sign,planet1_degree,planet2,planet2_sign,planet2_degree,exact_angle,difference,orb
2026-01-26 02:45:00,Aspect,Square,Moon,Aries,"6°44'29.91""",Mars,Capricorn,"7°40'36.85""",90,89.0647,0.9353
2026-01-26 03:00:00,Aspect,Square,Moon,Aries,"6°53'12.86""",Mars,Capricorn,"7°41'06.12""",90,89.2019,0.7981
2026-01-26 03:15:00,Aspect,Square,Moon,Aries,"7°01'55.91""",Mars,Capricorn,"7°41'35.38""",90,89.339,0.661
2026-01-26 03:30:00,Aspect,Square,Moon,Aries,"7°10'39.04""",Mars,Capricorn,"7°42'04.64""",90,89.4762,0.5238
2026-01-26 03:45:00,Aspect,Square,Moon,Aries,"7°19'22.27""",Mars,Capricorn,"7°42'33.91""",90,89.6134,0.3866
2026-01-26 04:00:00,Aspect,Square,Moon,Aries,"7°28'05.59""",Mars,Capricorn,"7°43'03.17""",90,89.7507,0.2493
2026-01-26 04:15:00,Aspect,Square,Moon,Aries,"7°36'49.00""",Mars,Capricorn,"7°43'32.43""",90,89.8879,0.1121
2026-01-26 04:30:00,Aspect,Square,Moon,Aries,"7°45'32.50""",Mars,Capricorn,"7°44'01.70""",90,90.0252,0.0252
2026-01-26 04:45:00,Aspect,Square,Moon,Aries,"7°54'16.10""",Mars,Capricorn,"7°44'30.96""",90,90.1625,0.1625
2026-01-26 05:00:00,Aspect,Square,Moon,Aries,"8°02'59.78""",Mars,Capricorn,"7°45'00.22""",90,90.2999,0.2999
2026-01-26 05:15:00,Aspect,Square,Moon,Aries,"8°11'43.56""",Mars,Capricorn,"7°45'29.49""",90,90.4372,0.4372
2026-01-26 05:30:00,Aspect,Square,Moon,Aries,"8°20'27.43""",Mars,Capricorn,"7°45'58.75""",90,90.5746,0.5746
2026-01-26 05:45:00,Aspect,Square,Moon,Aries,"8°29'11.39""",Mars,Capricorn,"7°46'28.02""",90,90.712,0.712
2026-01-26 06:00:00,Aspect,Square,Moon,Aries,"8°37'55.44""",Mars,Capricorn,"7°46'57.28""",90,90.8495,0.8495
2026-01-26 06:15:00,Aspect,Square,Moon,Aries,"8°46'39.58""",Mars,Capricorn,"7°47'26.55""",90,90.987,0.987
2026-01-26 10:00:00,Aspect,Square,Sun,Capricorn,"11°56'04.41""",Moon,Aries,"10°57'52.65""",90,89.0301,0.9699
2026-01-26 10:15:00,Aspect,Square,Sun,Capricorn,"11°56'42.53""",Moon,Aries,"11°06'38.25""",90,89.1655,0.8345
2026-01-26 10:30:00,Aspect,Square,Sun,Capricorn,"11°57'20.65""",Moon,Aries,"11°15'23.94""",90,89.3009,0.6991
2026-01-26 10:45:00,Aspect,Square,Sun,Capricorn,"11°57'58.77""",Moon,Aries,"11°24'09.72""",90,89.4364,0.5636
2026-01-26 11:00:00,Aspect,Square,Sun,Capricorn,"11°58'36.89""",Moon,Aries,"11°32'55.59""",90,89.5719,0.4281
2026-01-26 11:15:00,Aspect,Square,Sun,Capricorn,"11°59'15.01""",Moon,Aries,"11°41'41.55""",90,89.7074,0.2926
2026-01-26 11:30:00,Aspect,Square,Sun,Capricorn,"11°59'53.13""",Moon,Aries,"11°50'27.60""",90,89.8429,0.1571
2026-01-26 11:45:00,Aspect,Square,Sun,Capricorn,"12°00'31.25""",Moon,Aries,"11°59'13.74""",90,89.9785,0.0215
2026-01-26 12:00:00,Aspect,Square,Sun,Capricorn,"12°01'09.37""",Moon,Aries,"12°07'59.97""",90,90.1141,0.1141
2026-01-26 12:15:00,Aspect,Square,Sun,Capricorn,"12°01'47.49""",Moon,Aries,"12°16'46.29""",90,90.2497,0.2497
2026-01-26 12:30:00,Aspect,Square,Sun,Capricorn,"12°02'25.61""",Moon,Aries,"12°25'32.70""",90,90.3853,0.3853
