datetime,event,type,planet1,planet1_sign,planet1_degree,planet1_nakshatra,planet1_nakshatra_lord,planet1_pada,planet2,planet2_sign,planet2_degree,planet2_nakshatra,planet2_nakshatra_lord,planet2_pada,exact_angle,difference,orb
2025-12-01 00:00:00,Aspect,Trine,Jupiter,Cancer,"0°19'57.82""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°56'35.94""",Purva Bhadrapada,Jupiter,4,120,119.3894,0.6106
2025-12-01 00:15:00,Aspect,Trine,Jupiter,Cancer,"0°19'55.48""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°56'36.11""",Purva Bhadrapada,Jupiter,4,120,119.3887,0.6113
2025-12-01 00:30:00,Aspect,Trine,Jupiter,Cancer,"0°19'53.14""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°56'36.28""",Purva Bhadrapada,Jupiter,4,120,119.388,0.612
2025-12-01 00:45:00,Aspect,Trine,Jupiter,Cancer,"0°19'50.81""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°56'36.45""",Purva Bhadrapada,Jupiter,4,120,119.3873,0.6127
2025-12-01 01:00:00,Aspect,Trine,Jupiter,Cancer,"0°19'48.47""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°56'36.63""",Purva Bhadrapada,Jupiter,4,120,119.3866,0.6134
2025-12-01 01:15:00,Aspect,Trine,Jupiter,Cancer,"0°19'46.13""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°56'36.80""",Purva Bhadrapada,Jupiter,4,120,119.3859,0.6141
2025-12-01 01:30:00,Aspect,Trine,Jupiter,Cancer,"0°19'43.78""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°56'36.98""",Purva Bhadrapada,Jupiter,4,120,119.3852,0.6148
2025-12-01 01:45:00,Aspect,Trine,Jupiter,Cancer,"0°19'41.44""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°56'37.15""",Purva Bhadrapada,Jupiter,4,120,119.3845,0.6155
2025-12-01 02:00:00,Aspect,Trine,Jupiter,Cancer,"0°19'39.10""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°56'37.33""",Purva Bhadrapada,Jupiter,4,120,119.3838,0.6162
2025-12-01 02:15:00,Aspect,Trine,Jupiter,Cancer,"0°19'36.75""",Punarvasu,Jupiter,4,Saturn,Pisces,"0°56'37.50""",Purva Bhadrapada,Jupiter,4,120,119.3831,0.6169
