datetime,event,type,planet1,planet1_sign,planet1_degree,planet1_nakshatra,planet1_nakshatra_lord,planet1_pada,planet2,planet2_sign,planet2_degree,planet2_nakshatra,planet2_nakshatra_lord,planet2_pada,exact_angle,difference,orb
2025-12-05 18:30:00,Aspect,Trine,Mercury,Libra,"29°00'37.54""",Vishakha,Jupiter,3,Jupiter,Cancer,"0°00'04.95""",Punarvasu,Jupiter,4,120,119.0091,0.9909
2025-12-05 18:45:00,Aspect,Trine,Mercury,Libra,"29°01'07.59""",Vishakha,Jupiter,3,Jupiter,Cancer,"0°00'02.08""",Punarvasu,Jupiter,4,120,119.0182,0.9818
2025-12-05 19:00:00,Aspect,Trine,Mercury,Libra,"29°01'37.68""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°59'59.21""",Punarvasu,Jupiter,3,120,119.0274,0.9726
2025-12-05 19:15:00,Aspect,Trine,Mercury,Libra,"29°02'07.81""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°59'56.34""",Punarvasu,Jupiter,3,120,119.0365,0.9635
2025-12-05 19:30:00,Aspect,Trine,Mercury,Libra,"29°02'37.98""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°59'53.46""",Punarvasu,Jupiter,3,120,119.0457,0.9543
2025-12-05 19:45:00,Aspect,Trine,Mercury,Libra,"29°03'08.19""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°59'50.59""",Punarvasu,Jupiter,3,120,119.0549,0.9451
2025-12-05 20:00:00,Aspect,Trine,Mercury,Libra,"29°03'38.43""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°59'47.72""",Punarvasu,Jupiter,3,120,119.0641,0.9359
2025-12-05 20:15:00,Aspect,Trine,Mercury,Libra,"29°04'08.71""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°59'44.84""",Punarvasu,Jupiter,3,120,119.0733,0.9267
2025-12-05 20:30:00,Aspect,Trine,Mercury,Libra,"29°04'39.03""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°59'41.96""",Punarvasu,Jupiter,3,120,119.0825,0.9175
2025-12-05 20:45:00,Aspect,Trine,Mercury,Libra,"29°05'09.40""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°59'39.09""",Punarvasu,Jupiter,3,120,119.0918,0.9082
2025-12-05 21:00:00,Aspect,Trine,Mercury,Libra,"29°05'39.79""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°59'36.21""",Punarvasu,Jupiter,3,120,119.101,0.899
2025-12-05 21:15:00,Aspect,Trine,Mercury,Libra,"29°06'10.23""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°59'33.33""",Punarvasu,Jupiter,3,120,119.1103,0.8897
2025-12-05 21:30:00,Aspect,Trine,Mercury,Libra,"29°06'40.71""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°59'30.44""",Punarvasu,Jupiter,3,120,119.1195,0.8805
2025-12-05 21:45:00,Aspect,Trine,Mercury,Libra,"29°07'11.22""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°59'27.56""",Punarvasu,Jupiter,3,120,119.1288,0.8712
2025-12-05 22:00:00,Aspect,Trine,Mercury,Libra,"29°07'41.77""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°59'24.68""",Punarvasu,Jupiter,3,120,119.1381,0.8619
2025-12-05 22:15:00,Aspect,Trine,Mercury,Libra,"29°08'12.36""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°59'21.79""",Punarvasu,Jupiter,3,120,119.1474,0.8526
2025-12-05 22:30:00,Aspect,Trine,Mercury,Libra,"29°08'42.99""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°59'18.91""",Punarvasu,Jupiter,3,120,119.1567,0.8433
2025-12-05 22:45:00,Aspect,Trine,Mercury,Libra,"29°09'13.65""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°59'16.02""",Punarvasu,Jupiter,3,120,119.166,0.834
2025-12-05 23:00:00,Aspect,Trine,Mercury,Libra,"29°09'44.36""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°59'13.13""",Punarvasu,Jupiter,3,120,119.1753,0.8247
2025-12-05 23:15:00,Aspect,Trine,Mercury,Libra,"29°10'15.10""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°59'10.24""",Punarvasu,Jupiter,3,120,119.1847,0.8153
2025-12-05 23:30:00,Aspect,Trine,Mercury,Libra,"29°10'45.88""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°59'07.35""",Punarvasu,Jupiter,3,120,119.194,0.806
2025-12-05 23:45:00,Aspect,Trine,Mercury,Libra,"29°11'16.70""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°59'04.46""",Punarvasu,Jupiter,3,120,119.2034,0.7966
2025-12-06 00:00:00,Aspect,Trine,Mercury,Libra,"29°11'47.55""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°59'01.57""",Punarvasu,Jupiter,3,120,119.2128,0.7872
2025-12-06 00:15:00,Aspect,Trine,Mercury,Libra,"29°12'18.45""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'58.67""",Punarvasu,Jupiter,3,120,119.2222,0.7778
2025-12-06 00:30:00,Aspect,Trine,Mercury,Libra,"29°12'49.38""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'55.78""",Punarvasu,Jupiter,3,120,119.2316,0.7684
2025-12-06 00:45:00,Aspect,Trine,Mercury,Libra,"29°13'20.35""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'52.88""",Punarvasu,Jupiter,3,120,119.241,0.759
2025-12-06 01:00:00,Aspect,Trine,Mercury,Libra,"29°13'51.35""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'49.99""",Punarvasu,Jupiter,3,120,119.2504,0.7496
2025-12-06 01:15:00,Aspect,Trine,Mercury,Libra,"29°14'22.40""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'47.09""",Punarvasu,Jupiter,3,120,119.2598,0.7402
2025-12-06 01:30:00,Aspect,Trine,Mercury,Libra,"29°14'53.48""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'44.19""",Punarvasu,Jupiter,3,120,119.2692,0.7308
2025-12-06 01:45:00,Aspect,Trine,Mercury,Libra,"29°15'24.60""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'41.29""",Punarvasu,Jupiter,3,120,119.2787,0.7213
2025-12-06 02:00:00,Aspect,Trine,Mercury,Libra,"29°15'55.75""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'38.39""",Punarvasu,Jupiter,3,120,119.2882,0.7118
2025-12-06 02:15:00,Aspect,Trine,Mercury,Libra,"29°16'26.94""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'35.48""",Punarvasu,Jupiter,3,120,119.2976,0.7024
2025-12-06 02:30:00,Aspect,Trine,Mercury,Libra,"29°16'58.18""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'32.58""",Punarvasu,Jupiter,3,120,119.3071,0.6929
2025-12-06 02:45:00,Aspect,Trine,Mercury,Libra,"29°17'29.44""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'29.67""",Punarvasu,Jupiter,3,120,119.3166,0.6834
2025-12-06 03:00:00,Aspect,Trine,Mercury,Libra,"29°18'00.75""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'26.77""",Punarvasu,Jupiter,3,120,119.3261,0.6739
2025-12-06 03:15:00,Aspect,Trine,Mercury,Libra,"29°18'32.09""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'23.86""",Punarvasu,Jupiter,3,120,119.3356,0.6644
2025-12-06 03:30:00,Aspect,Trine,Mercury,Libra,"29°19'03.47""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'20.95""",Punarvasu,Jupiter,3,120,119.3451,0.6549
2025-12-06 03:45:00,Aspect,Trine,Mercury,Libra,"29°19'34.89""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'18.04""",Punarvasu,Jupiter,3,120,119.3547,0.6453
2025-12-06 04:00:00,Aspect,Trine,Mercury,Libra,"29°20'06.34""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'15.13""",Punarvasu,Jupiter,3,120,119.3642,0.6358
2025-12-06 04:15:00,Aspect,Trine,Mercury,Libra,"29°20'37.83""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'12.22""",Punarvasu,Jupiter,3,120,119.3738,0.6262
2025-12-06 04:30:00,Aspect,Trine,Mercury,Libra,"29°21'09.36""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'09.31""",Punarvasu,Jupiter,3,120,119.3833,0.6167
2025-12-06 04:45:00,Aspect,Trine,Mercury,Libra,"29°21'40.92""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'06.39""",Punarvasu,Jupiter,3,120,119.3929,0.6071
2025-12-06 05:00:00,Aspect,Trine,Mercury,Libra,"29°22'12.52""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'03.48""",Punarvasu,Jupiter,3,120,119.4025,0.5975
2025-12-06 05:15:00,Aspect,Trine,Mercury,Libra,"29°22'44.16""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°58'00.56""",Punarvasu,Jupiter,3,120,119.4121,0.5879
2025-12-06 05:30:00,Aspect,Trine,Mercury,Libra,"29°23'15.83""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°57'57.64""",Punarvasu,Jupiter,3,120,119.4217,0.5783
2025-12-06 05:45:00,Aspect,Trine,Mercury,Libra,"29°23'47.54""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°57'54.72""",Punarvasu,Jupiter,3,120,119.4313,0.5687
2025-12-06 06:00:00,Aspect,Trine,Mercury,Libra,"29°24'19.29""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°57'51.81""",Punarvasu,Jupiter,3,120,119.441,0.559
2025-12-06 06:15:00,Aspect,Trine,Mercury,Libra,"29°24'51.07""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°57'48.88""",Punarvasu,Jupiter,3,120,119.4506,0.5494
2025-12-06 06:30:00,Aspect,Trine,Mercury,Libra,"29°25'22.90""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°57'45.96""",Punarvasu,Jupiter,3,120,119.4603,0.5397
2025-12-06 06:45:00,Aspect,Trine,Mercury,Libra,"29°25'54.75""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°57'43.04""",Punarvasu,Jupiter,3,120,119.4699,0.5301
2025-12-06 07:00:00,Aspect,Trine,Mercury,Libra,"29°26'26.65""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°57'40.12""",Punarvasu,Jupiter,3,120,119.4796,0.5204
2025-12-06 07:15:00,Aspect,Trine,Mercury,Libra,"29°26'58.57""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°57'37.19""",Punarvasu,Jupiter,3,120,119.4893,0.5107
2025-12-06 07:30:00,Aspect,Trine,Mercury,Libra,"29°27'30.54""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°57'34.26""",Punarvasu,Jupiter,3,120,119.499,0.501
2025-12-06 07:45:00,Aspect,Trine,Mercury,Libra,"29°28'02.54""",Vishakha,Jupiter,3,Jupiter,Gemini,"29°57'31.34""",Punarvasu,Jupiter,3,120,119.5087,0.4913
