datetime,event,type,planet1,planet1_sign,planet1_degree,planet1_nakshatra,planet1_nakshatra_lord,planet1_pada,planet2,planet2_sign,planet2_degree,planet2_nakshatra,planet2_nakshatra_lord,planet2_pada,exact_angle,difference,orb
2025-12-04 20:00:00,Aspect,Square,Sun,Scorpio,"18°24'33.54""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°24'14.32""",Shatabhisha,Rahu,4,90,90.9947,0.9947
2025-12-04 20:15:00,Aspect,Square,Sun,Scorpio,"18°25'11.56""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°24'12.34""",Shatabhisha,Rahu,4,90,90.9835,0.9835
2025-12-04 20:30:00,Aspect,Square,Sun,Scorpio,"18°25'49.59""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°24'10.35""",Shatabhisha,Rahu,4,90,90.9724,0.9724
2025-12-04 20:45:00,Aspect,Square,Sun,Scorpio,"18°26'27.62""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°24'08.36""",Shatabhisha,Rahu,4,90,90.9613,0.9613
2025-12-04 21:00:00,Aspect,Square,Sun,Scorpio,"18°27'05.64""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°24'06.37""",Shatabhisha,Rahu,4,90,90.9502,0.9502
2025-12-04 21:15:00,Aspect,Square,Sun,Scorpio,"18°27'43.67""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°24'04.39""",Shatabhisha,Rahu,4,90,90.9391,0.9391
2025-12-04 21:30:00,Aspect,Square,Sun,Scorpio,"18°28'21.70""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°24'02.40""",Shatabhisha,Rahu,4,90,90.928,0.928
2025-12-04 21:45:00,Aspect,Square,Sun,Scorpio,"18°28'59.73""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°24'00.41""",Shatabhisha,Rahu,4,90,90.9169,0.9169
2025-12-04 22:00:00,Aspect,Square,Sun,Scorpio,"18°29'37.75""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°23'58.42""",Shatabhisha,Rahu,4,90,90.9057,0.9057
2025-12-04 22:15:00,Aspect,Square,Sun,Scorpio,"18°30'15.78""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°23'56.44""",Shatabhisha,Rahu,4,90,90.8946,0.8946
2025-12-04 22:30:00,Aspect,Square,Sun,Scorpio,"18°30'53.81""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°23'54.45""",Shatabhisha,Rahu,4,90,90.8835,0.8835
2025-12-04 22:45:00,Aspect,Square,Sun,Scorpio,"18°31'31.84""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°23'52.46""",Shatabhisha,Rahu,4,90,90.8724,0.8724
2025-12-04 23:00:00,Aspect,Square,Sun,Scorpio,"18°32'09.87""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°23'50.48""",Shatabhisha,Rahu,4,90,90.8613,0.8613
2025-12-04 23:15:00,Aspect,Square,Sun,Scorpio,"18°32'47.89""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°23'48.49""",Shatabhisha,Rahu,4,90,90.8502,0.8502
2025-12-04 23:30:00,Aspect,Square,Sun,Scorpio,"18°33'25.92""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°23'46.50""",Shatabhisha,Rahu,4,90,90.839,0.839
2025-12-04 23:45:00,Aspect,Square,Sun,Scorpio,"18°34'03.95""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°23'44.51""",Shatabhisha,Rahu,4,90,90.8279,0.8279
2025-12-05 00:00:00,Aspect,Square,Sun,Scorpio,"18°34'41.98""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°23'42.53""",Shatabhisha,Rahu,4,90,90.8168,0.8168
2025-12-05 00:15:00,Aspect,Square,Sun,Scorpio,"18°35'20.01""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°23'40.54""",Shatabhisha,Rahu,4,90,90.8057,0.8057
2025-12-05 00:30:00,Aspect,Square,Sun,Scorpio,"18°35'58.04""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°23'38.55""",Shatabhisha,Rahu,4,90,90.7946,0.7946
2025-12-05 00:45:00,Aspect,Square,Sun,Scorpio,"18°36'36.07""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°23'36.57""",Shatabhisha,Rahu,4,90,90.7835,0.7835
2025-12-05 01:00:00,Aspect,Square,Sun,Scorpio,"18°37'14.09""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°23'34.58""",Shatabhisha,Rahu,4,90,90.7724,0.7724
2025-12-05 01:15:00,Aspect,Square,Sun,Scorpio,"18°37'52.12""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°23'32.59""",Shatabhisha,Rahu,4,90,90.7612,0.7612
2025-12-05 01:30:00,Aspect,Square,Sun,Scorpio,"18°38'30.15""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°23'30.60""",Shatabhisha,Rahu,4,90,90.7501,0.7501
2025-12-05 01:45:00,Aspect,Square,Sun,Scorpio,"18°39'08.18""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°23'28.62""",Shatabhisha,Rahu,4,90,90.739,0.739
2025-12-05 02:00:00,Aspect,Square,Sun,Scorpio,"18°39'46.21""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°23'26.63""",Shatabhisha,Rahu,4,90,90.7279,0.7279
2025-12-05 02:15:00,Aspect,Square,Sun,Scorpio,"18°40'24.24""",Jyeshtha,Mercury,1,Rahu,Aquarius,"19°23'24.64""",Shatabhisha,Rahu,4,90,90.7168,0.7168
