datetime,event,type,planet1,planet1_sign,planet1_degree,planet2,planet2_sign,planet2_degree,exact_angle,difference,orb
2026-01-09 07:30:00,Aspect,Opposition,Venus,Sagittarius,"25°04'30.88""",Jupiter,Gemini,"26°04'00.01""",180,179.0086,0.9914
2026-01-09 07:45:00,Aspect,Opposition,Venus,Sagittarius,"25°05'18.05""",Jupiter,Gemini,"26°03'54.95""",180,179.0231,0.9769
2026-01-09 08:00:00,Aspect,Opposition,Venus,Sagittarius,"25°06'05.22""",Jupiter,Gemini,"26°03'49.89""",180,179.0376,0.9624
2026-01-09 08:15:00,Aspect,Opposition,Venus,Sagittarius,"25°06'52.39""",Jupiter,Gemini,"26°03'44.83""",180,179.0521,0.9479
2026-01-09 08:30:00,Aspect,Opposition,Venus,Sagittarius,"25°07'39.56""",Jupiter,Gemini,"26°03'39.77""",180,179.0666,0.9334
2026-01-09 08:45:00,Aspect,Opposition,Venus,Sagittarius,"25°08'26.73""",Jupiter,Gemini,"26°03'34.71""",180,179.0811,0.9189
2026-01-09 09:00:00,Aspect,Opposition,Venus,Sagittarius,"25°09'13.90""",Jupiter,Gemini,"26°03'29.65""",180,179.0956,0.9044
2026-01-09 09:15:00,Aspect,Opposition,Venus,Sagittarius,"25°10'01.07""",Jupiter,Gemini,"26°03'24.59""",180,179.1101,0.8899
2026-01-09 09:30:00,Aspect,Opposition,Venus,Sagittarius,"25°10'48.24""",Jupiter,Gemini,"26°03'19.53""",180,179.1246,0.8754
2026-01-09 09:45:00,Aspect,Opposition,Venus,Sagittarius,"25°11'35.42""",Jupiter,Gemini,"26°03'14.47""",180,179.1392,0.8608
2026-01-09 10:00:00,Aspect,Opposition,Venus,Sagittarius,"25°12'22.59""",Jupiter,Gemini,"26°03'09.41""",180,179.1537,0.8463
2026-01-09 10:15:00,Aspect,Opposition,Venus,Sagittarius,"25°13'09.76""",Jupiter,Gemini,"26°03'04.35""",180,179.1682,0.8318
2026-01-09 10:30:00,Aspect,Opposition,Venus,Sagittarius,"25°13'56.93""",Jupiter,Gemini,"26°02'59.29""",180,179.1827,0.8173
2026-01-09 10:45:00,Aspect,Opposition,Venus,Sagittarius,"25°14'44.10""",Jupiter,Gemini,"26°02'54.23""",180,179.1972,0.8028
2026-01-09 11:00:00,Aspect,Opposition,Venus,Sagittarius,"25°15'31.27""",Jupiter,Gemini,"26°02'49.17""",180,179.2117,0.7883
2026-01-09 11:15:00,Aspect,Opposition,Venus,Sagittarius,"25°16'18.44""",Jupiter,Gemini,"26°02'44.11""",180,179.2262,0.7738
2026-01-09 11:30:00,Aspect,Opposition,Venus,Sagittarius,"25°17'05.61""",Jupiter,Gemini,"26°02'39.05""",180,179.2407,0.7593
2026-01-09 11:45:00,Aspect,Opposition,Venus,Sagittarius,"25°17'52.78""",Jupiter,Gemini,"26°02'33.99""",180,179.2552,0.7448
2026-01-09 12:00:00,Aspect,Opposition,Venus,Sagittarius,"25°18'39.95""",Jupiter,Gemini,"26°02'28.93""",180,179.2697,0.7303
2026-01-09 12:15:00,Aspect,Opposition,Venus,Sagittarius,"25°19'27.12""",Jupiter,Gemini,"26°02'23.87""",180,179.2842,0.7158
2026-01-09 12:30:00,Aspect,Opposition,Venus,Sagittarius,"25°20'14.30""",Jupiter,Gemini,"26°02'18.81""",180,179.2987,0.7013
2026-01-09 12:45:00,Aspect,Opposition,Venus,Sagittarius,"25°21'01.47""",Jupiter,Gemini,"26°02'13.75""",180,179.3133,0.6867
2026-01-09 13:00:00,Aspect,Opposition,Venus,Sagittarius,"25°21'48.64""",Jupiter,Gemini,"26°02'08.69""",180,179.3278,0.6722
2026-01-09 13:15:00,Aspect,Opposition,Venus,Sagittarius,"25°22'35.81""",Jupiter,Gemini,"26°02'03.63""",180,179.3423,0.6577
