datetime,event,aspecting_planet,aspecting_sign,aspecting_sign_vi,aspecting_degree,aspecting_nakshatra,aspecting_nakshatra_lord,aspecting_pada,aspected_planet,aspected_sign,aspected_sign_vi,aspected_degree,aspected_nakshatra,aspected_nakshatra_lord,aspected_pada,aspect_type,aspect_house,target_angle,actual_angle,orb,strength
2026-01-22 08:30:00,Parashara_Drishti,Moon,Aquarius,Bảo Bình,"15°55'07.09""",Shatabhisha,Rahu,3,Ketu,Leo,Sư Tử,"16°49'57.95""",Purva Phalguni,Venus,2,7th House,7,180,180.9141,0.9141,Standard
2026-01-22 08:45:00,Parashara_Drishti,Moon,Aquarius,Bảo Bình,"16°03'18.82""",Shatabhisha,Rahu,3,Ketu,Leo,Sư Tử,"16°49'55.96""",Purva Phalguni,Venus,2,7th House,7,180,180.777,0.777,Standard
2026-01-22 09:00:00,Parashara_Drishti,Moon,Aquarius,Bảo Bình,"16°11'30.63""",Shatabhisha,Rahu,3,Ketu,Leo,Sư Tử,"16°49'53.97""",Purva Phalguni,Venus,2,7th House,7,180,180.6398,0.6398,Standard
2026-01-22 09:15:00,Parashara_Drishti,Moon,Aquarius,Bảo Bình,"16°19'42.52""",Shatabhisha,Rahu,3,Ketu,Leo,Sư Tử,"16°49'51.99""",Purva Phalguni,Venus,2,7th House,7,180,180.5026,0.5026,Standard
2026-01-22 09:30:00,Parashara_Drishti,Moon,Aquarius,Bảo Bình,"16°27'54.49""",Shatabhisha,Rahu,3,Ketu,Leo,Sư Tử,"16°49'50.00""",Purva Phalguni,Venus,2,7th House,7,180,180.3654,0.3654,Standard
2026-01-22 09:45:00,Parashara_Drishti,Moon,Aquarius,Bảo Bình,"16°36'06.53""",Shatabhisha,Rahu,3,Ketu,Leo,Sư Tử,"16°49'48.01""",Purva Phalguni,Venus,2,7th House,7,180,180.2282,0.2282,Standard
2026-01-22 10:00:00,Parashara_Drishti,Moon,Aquarius,Bảo Bình,"16°44'18.66""",Shatabhisha,Rahu,4,Ketu,Leo,Sư Tử,"16°49'46.02""",Purva Phalguni,Venus,2,7th House,7,180,180.0909,0.0909,Standard
2026-01-22 10:15:00,Parashara_Drishti,Moon,Aquarius,Bảo Bình,"16°52'30.86""",Shatabhisha,Rahu,4,Ketu,Leo,Sư Tử,"16°49'44.04""",Purva Phalguni,Venus,2,7th House,7,180,179.9537,0.0463,Standard
2026-01-22 10:30:00,Parashara_Drishti,Moon,Aquarius,Bảo Bình,"17°00'43.14""",Shatabhisha,Rahu,4,Ketu,Leo,Sư Tử,"16°49'42.05""",Purva Phalguni,Venus,2,7th House,7,180,179.8164,0.1836,Standard
2026-01-22 10:45:00,Parashara_Drishti,Moon,Aquarius,Bảo Bình,"17°08'55.50""",Shatabhisha,Rahu,4,Ketu,Leo,Sư Tử,"16°49'40.06""",Purva Phalguni,Venus,2,7th House,7,180,179.679,0.321,Standard
2026-01-22 11:00:00,Parashara_Drishti,Moon,Aquarius,Bảo Bình,"17°17'07.93""",Shatabhisha,Rahu,4,Ketu,Leo,Sư Tử,"16°49'38.08""",Purva Phalguni,Venus,2,7th House,7,180,179.5417,0.4583,Standard
2026-01-22 11:15:00,Parashara_Drishti,Moon,Aquarius,Bảo Bình,"17°25'20.45""",Shatabhisha,Rahu,4,Ketu,Leo,Sư Tử,"16°49'36.09""",Purva Phalguni,Venus,2,7th House,7,180,179.4043,0.5957,Standard
2026-01-22 11:30:00,Parashara_Drishti,Moon,Aquarius,Bảo Bình,"17°33'33.04""",Shatabhisha,Rahu,4,Ketu,Leo,Sư Tử,"16°49'34.10""",Purva Phalguni,Venus,2,7th House,7,180,179.267,0.733,Standard
2026-01-22 11:45:00,Parashara_Drishti,Moon,Aquarius,Bảo Bình,"17°41'45.71""",Shatabhisha,Rahu,4,Ketu,Leo,Sư Tử,"16°49'32.11""",Purva Phalguni,Venus,2,7th House,7,180,179.1296,0.8704,Standard
