datetime,event,type,planet1,planet1_sign,planet1_degree,planet2,planet2_sign,planet2_degree,exact_angle,difference,orb
2026-01-01 00:00:00,Aspect,Sextitle,Mars,Sagittarius,"18°14'34.37""",Rahu,Aquarius,"17°57'51.71""",60,59.7215,0.2785
2026-01-01 00:00:00,Aspect,Trine,Mars,Sagittarius,"18°14'34.37""",Ketu,Leo,"17°57'51.71""",120,120.2785,0.2785
2026-01-01 00:15:00,Aspect,Sextitle,Mars,Sagittarius,"18°15'03.10""",Rahu,Aquarius,"17°57'49.72""",60,59.7129,0.2871
2026-01-01 00:15:00,Aspect,Trine,Mars,Sagittarius,"18°15'03.10""",Ketu,Leo,"17°57'49.72""",120,120.2871,0.2871
2026-01-01 00:30:00,Aspect,Sextitle,Mars,Sagittarius,"18°15'31.83""",Rahu,Aquarius,"17°57'47.73""",60,59.7044,0.2956
2026-01-01 00:30:00,Aspect,Trine,Mars,Sagittarius,"18°15'31.83""",Ketu,Leo,"17°57'47.73""",120,120.2956,0.2956
2026-01-01 00:45:00,Aspect,Sextitle,Mars,Sagittarius,"18°16'00.56""",Rahu,Aquarius,"17°57'45.74""",60,59.6959,0.3041
2026-01-01 00:45:00,Aspect,Trine,Mars,Sagittarius,"18°16'00.56""",Ketu,Leo,"17°57'45.74""",120,120.3041,0.3041
2026-01-01 01:00:00,Aspect,Sextitle,Mars,Sagittarius,"18°16'29.29""",Rahu,Aquarius,"17°57'43.76""",60,59.6874,0.3126
2026-01-01 01:00:00,Aspect,Trine,Mars,Sagittarius,"18°16'29.29""",Ketu,Leo,"17°57'43.76""",120,120.3126,0.3126
2026-01-01 01:15:00,Aspect,Sextitle,Mars,Sagittarius,"18°16'58.02""",Rahu,Aquarius,"17°57'41.77""",60,59.6788,0.3212
2026-01-01 01:15:00,Aspect,Trine,Mars,Sagittarius,"18°16'58.02""",Ketu,Leo,"17°57'41.77""",120,120.3212,0.3212
2026-01-01 01:30:00,Aspect,Sextitle,Mars,Sagittarius,"18°17'26.74""",Rahu,Aquarius,"17°57'39.78""",60,59.6703,0.3297
2026-01-01 01:30:00,Aspect,Trine,Mars,Sagittarius,"18°17'26.74""",Ketu,Leo,"17°57'39.78""",120,120.3297,0.3297
2026-01-01 01:45:00,Aspect,Sextitle,Mars,Sagittarius,"18°17'55.47""",Rahu,Aquarius,"17°57'37.80""",60,59.6618,0.3382
2026-01-01 01:45:00,Aspect,Trine,Mars,Sagittarius,"18°17'55.47""",Ketu,Leo,"17°57'37.80""",120,120.3382,0.3382
2026-01-01 02:00:00,Aspect,Sextitle,Mars,Sagittarius,"18°18'24.20""",Rahu,Aquarius,"17°57'35.81""",60,59.6532,0.3468
2026-01-01 02:00:00,Aspect,Trine,Mars,Sagittarius,"18°18'24.20""",Ketu,Leo,"17°57'35.81""",120,120.3468,0.3468
2026-01-01 02:15:00,Aspect,Sextitle,Mars,Sagittarius,"18°18'52.93""",Rahu,Aquarius,"17°57'33.82""",60,59.6447,0.3553
2026-01-01 02:15:00,Aspect,Trine,Mars,Sagittarius,"18°18'52.93""",Ketu,Leo,"17°57'33.82""",120,120.3553,0.3553
2026-01-01 02:30:00,Aspect,Sextitle,Mars,Sagittarius,"18°19'21.66""",Rahu,Aquarius,"17°57'31.83""",60,59.6362,0.3638
2026-01-01 02:30:00,Aspect,Trine,Mars,Sagittarius,"18°19'21.66""",Ketu,Leo,"17°57'31.83""",120,120.3638,0.3638
2026-01-01 02:45:00,Aspect,Sextitle,Mars,Sagittarius,"18°19'50.40""",Rahu,Aquarius,"17°57'29.85""",60,59.6276,0.3724
2026-01-01 02:45:00,Aspect,Trine,Mars,Sagittarius,"18°19'50.40""",Ketu,Leo,"17°57'29.85""",120,120.3724,0.3724
2026-01-01 03:00:00,Aspect,Sextitle,Mars,Sagittarius,"18°20'19.13""",Rahu,Aquarius,"17°57'27.86""",60,59.6191,0.3809
2026-01-01 03:00:00,Aspect,Trine,Mars,Sagittarius,"18°20'19.13""",Ketu,Leo,"17°57'27.86""",120,120.3809,0.3809
2026-01-01 03:15:00,Aspect,Sextitle,Mars,Sagittarius,"18°20'47.86""",Rahu,Aquarius,"17°57'25.87""",60,59.6106,0.3894
2026-01-01 03:15:00,Aspect,Trine,Mars,Sagittarius,"18°20'47.86""",Ketu,Leo,"17°57'25.87""",120,120.3894,0.3894
2026-01-01 03:30:00,Aspect,Sextitle,Mars,Sagittarius,"18°21'16.59""",Rahu,Aquarius,"17°57'23.89""",60,59.602,0.398
2026-01-01 03:30:00,Aspect,Trine,Mars,Sagittarius,"18°21'16.59""",Ketu,Leo,"17°57'23.89""",120,120.398,0.398
2026-01-01 03:45:00,Aspect,Sextitle,Mars,Sagittarius,"18°21'45.32""",Rahu,Aquarius,"17°57'21.90""",60,59.5935,0.4065
2026-01-01 03:45:00,Aspect,Trine,Mars,Sagittarius,"18°21'45.32""",Ketu,Leo,"17°57'21.90""",120,120.4065,0.4065
2026-01-01 04:00:00,Aspect,Sextitle,Mars,Sagittarius,"18°22'14.05""",Rahu,Aquarius,"17°57'19.91""",60,59.585,0.415
2026-01-01 04:00:00,Aspect,Trine,Mars,Sagittarius,"18°22'14.05""",Ketu,Leo,"17°57'19.91""",120,120.415,0.415
2026-01-01 04:15:00,Aspect,Sextitle,Mars,Sagittarius,"18°22'42.78""",Rahu,Aquarius,"17°57'17.92""",60,59.5764,0.4236
2026-01-01 04:15:00,Aspect,Trine,Mars,Sagittarius,"18°22'42.78""",Ketu,Leo,"17°57'17.92""",120,120.4236,0.4236
2026-01-01 04:30:00,Aspect,Sextitle,Mars,Sagittarius,"18°23'11.52""",Rahu,Aquarius,"17°57'15.94""",60,59.5679,0.4321
2026-01-01 04:30:00,Aspect,Trine,Mars,Sagittarius,"18°23'11.52""",Ketu,Leo,"17°57'15.94""",120,120.4321,0.4321
2026-01-01 04:45:00,Aspect,Sextitle,Mars,Sagittarius,"18°23'40.25""",Rahu,Aquarius,"17°57'13.95""",60,59.5594,0.4406
2026-01-01 04:45:00,Aspect,Trine,Mars,Sagittarius,"18°23'40.25""",Ketu,Leo,"17°57'13.95""",120,120.4406,0.4406
2026-01-01 05:00:00,Aspect,Sextitle,Mars,Sagittarius,"18°24'08.98""",Rahu,Aquarius,"17°57'11.96""",60,59.5508,0.4492
2026-01-01 05:00:00,Aspect,Trine,Mars,Sagittarius,"18°24'08.98""",Ketu,Leo,"17°57'11.96""",120,120.4492,0.4492
2026-01-01 05:15:00,Aspect,Sextitle,Mars,Sagittarius,"18°24'37.72""",Rahu,Aquarius,"17°57'09.98""",60,59.5423,0.4577
2026-01-01 05:15:00,Aspect,Trine,Mars,Sagittarius,"18°24'37.72""",Ketu,Leo,"17°57'09.98""",120,120.4577,0.4577
2026-01-01 05:30:00,Aspect,Sextitle,Mars,Sagittarius,"18°25'06.45""",Rahu,Aquarius,"17°57'07.99""",60,59.5338,0.4662
2026-01-01 05:30:00,Aspect,Trine,Mars,Sagittarius,"18°25'06.45""",Ketu,Leo,"17°57'07.99""",120,120.4662,0.4662
2026-01-01 05:45:00,Aspect,Sextitle,Mars,Sagittarius,"18°25'35.18""",Rahu,Aquarius,"17°57'06.00""",60,59.5252,0.4748
2026-01-01 05:45:00,Aspect,Trine,Mars,Sagittarius,"18°25'35.18""",Ketu,Leo,"17°57'06.00""",120,120.4748,0.4748
2026-01-01 06:00:00,Aspect,Sextitle,Mars,Sagittarius,"18°26'03.92""",Rahu,Aquarius,"17°57'04.01""",60,59.5167,0.4833
2026-01-01 06:00:00,Aspect,Trine,Mars,Sagittarius,"18°26'03.92""",Ketu,Leo,"17°57'04.01""",120,120.4833,0.4833
2026-01-01 06:15:00,Aspect,Sextitle,Mars,Sagittarius,"18°26'32.65""",Rahu,Aquarius,"17°57'02.03""",60,59.5082,0.4918
2026-01-01 06:15:00,Aspect,Trine,Mars,Sagittarius,"18°26'32.65""",Ketu,Leo,"17°57'02.03""",120,120.4918,0.4918
2026-01-01 06:30:00,Aspect,Sextitle,Mars,Sagittarius,"18°27'01.39""",Rahu,Aquarius,"17°57'00.04""",60,59.4996,0.5004
2026-01-01 06:30:00,Aspect,Trine,Mars,Sagittarius,"18°27'01.39""",Ketu,Leo,"17°57'00.04""",120,120.5004,0.5004
2026-01-01 06:45:00,Aspect,Sextitle,Mars,Sagittarius,"18°27'30.12""",Rahu,Aquarius,"17°56'58.05""",60,59.4911,0.5089
2026-01-01 06:45:00,Aspect,Trine,Mars,Sagittarius,"18°27'30.12""",Ketu,Leo,"17°56'58.05""",120,120.5089,0.5089
2026-01-01 07:00:00,Aspect,Sextitle,Mars,Sagittarius,"18°27'58.86""",Rahu,Aquarius,"17°56'56.06""",60,59.4826,0.5174
2026-01-01 07:00:00,Aspect,Trine,Mars,Sagittarius,"18°27'58.86""",Ketu,Leo,"17°56'56.06""",120,120.5174,0.5174
2026-01-01 07:15:00,Aspect,Sextitle,Mars,Sagittarius,"18°28'27.59""",Rahu,Aquarius,"17°56'54.08""",60,59.474,0.526
2026-01-01 07:15:00,Aspect,Trine,Mars,Sagittarius,"18°28'27.59""",Ketu,Leo,"17°56'54.08""",120,120.526,0.526
2026-01-01 07:30:00,Aspect,Sextitle,Mars,Sagittarius,"18°28'56.33""",Rahu,Aquarius,"17°56'52.09""",60,59.4655,0.5345
2026-01-01 07:30:00,Aspect,Trine,Mars,Sagittarius,"18°28'56.33""",Ketu,Leo,"17°56'52.09""",120,120.5345,0.5345
2026-01-01 07:45:00,Aspect,Sextitle,Mars,Sagittarius,"18°29'25.06""",Rahu,Aquarius,"17°56'50.10""",60,59.457,0.543
2026-01-01 07:45:00,Aspect,Trine,Mars,Sagittarius,"18°29'25.06""",Ketu,Leo,"17°56'50.10""",120,120.543,0.543
2026-01-01 08:00:00,Aspect,Sextitle,Mars,Sagittarius,"18°29'53.80""",Rahu,Aquarius,"17°56'48.12""",60,59.4484,0.5516
2026-01-01 08:00:00,Aspect,Trine,Mars,Sagittarius,"18°29'53.80""",Ketu,Leo,"17°56'48.12""",120,120.5516,0.5516
2026-01-01 08:15:00,Aspect,Sextitle,Mars,Sagittarius,"18°30'22.54""",Rahu,Aquarius,"17°56'46.13""",60,59.4399,0.5601
2026-01-01 08:15:00,Aspect,Trine,Mars,Sagittarius,"18°30'22.54""",Ketu,Leo,"17°56'46.13""",120,120.5601,0.5601
2026-01-01 08:30:00,Aspect,Sextitle,Mars,Sagittarius,"18°30'51.27""",Rahu,Aquarius,"17°56'44.14""",60,59.4314,0.5686
2026-01-01 08:30:00,Aspect,Trine,Mars,Sagittarius,"18°30'51.27""",Ketu,Leo,"17°56'44.14""",120,120.5686,0.5686
2026-01-01 08:45:00,Aspect,Sextitle,Mars,Sagittarius,"18°31'20.01""",Rahu,Aquarius,"17°56'42.15""",60,59.4228,0.5772
2026-01-01 08:45:00,Aspect,Trine,Mars,Sagittarius,"18°31'20.01""",Ketu,Leo,"17°56'42.15""",120,120.5772,0.5772
2026-01-01 09:00:00,Aspect,Sextitle,Mars,Sagittarius,"18°31'48.75""",Rahu,Aquarius,"17°56'40.17""",60,59.4143,0.5857
2026-01-01 09:00:00,Aspect,Trine,Mars,Sagittarius,"18°31'48.75""",Ketu,Leo,"17°56'40.17""",120,120.5857,0.5857
2026-01-01 09:15:00,Aspect,Sextitle,Mars,Sagittarius,"18°32'17.48""",Rahu,Aquarius,"17°56'38.18""",60,59.4057,0.5943
2026-01-01 09:15:00,Aspect,Trine,Mars,Sagittarius,"18°32'17.48""",Ketu,Leo,"17°56'38.18""",120,120.5943,0.5943
2026-01-01 09:30:00,Aspect,Sextitle,Mars,Sagittarius,"18°32'46.22""",Rahu,Aquarius,"17°56'36.19""",60,59.3972,0.6028
2026-01-01 09:30:00,Aspect,Trine,Mars,Sagittarius,"18°32'46.22""",Ketu,Leo,"17°56'36.19""",120,120.6028,0.6028
2026-01-01 09:45:00,Aspect,Sextitle,Mars,Sagittarius,"18°33'14.96""",Rahu,Aquarius,"17°56'34.21""",60,59.3887,0.6113
2026-01-01 09:45:00,Aspect,Trine,Mars,Sagittarius,"18°33'14.96""",Ketu,Leo,"17°56'34.21""",120,120.6113,0.6113
2026-01-01 10:00:00,Aspect,Sextitle,Mars,Sagittarius,"18°33'43.70""",Rahu,Aquarius,"17°56'32.22""",60,59.3801,0.6199
2026-01-01 10:00:00,Aspect,Trine,Mars,Sagittarius,"18°33'43.70""",Ketu,Leo,"17°56'32.22""",120,120.6199,0.6199
2026-01-01 10:15:00,Aspect,Sextitle,Mars,Sagittarius,"18°34'12.44""",Rahu,Aquarius,"17°56'30.23""",60,59.3716,0.6284
2026-01-01 10:15:00,Aspect,Trine,Mars,Sagittarius,"18°34'12.44""",Ketu,Leo,"17°56'30.23""",120,120.6284,0.6284
2026-01-01 10:30:00,Aspect,Sextitle,Mars,Sagittarius,"18°34'41.17""",Rahu,Aquarius,"17°56'28.24""",60,59.3631,0.6369
2026-01-01 10:30:00,Aspect,Trine,Mars,Sagittarius,"18°34'41.17""",Ketu,Leo,"17°56'28.24""",120,120.6369,0.6369
2026-01-01 10:45:00,Aspect,Sextitle,Mars,Sagittarius,"18°35'09.91""",Rahu,Aquarius,"17°56'26.26""",60,59.3545,0.6455
2026-01-01 10:45:00,Aspect,Trine,Mars,Sagittarius,"18°35'09.91""",Ketu,Leo,"17°56'26.26""",120,120.6455,0.6455
2026-01-01 11:00:00,Aspect,Sextitle,Mars,Sagittarius,"18°35'38.65""",Rahu,Aquarius,"17°56'24.27""",60,59.346,0.654
2026-01-01 11:00:00,Aspect,Trine,Mars,Sagittarius,"18°35'38.65""",Ketu,Leo,"17°56'24.27""",120,120.654,0.654
2026-01-01 11:15:00,Aspect,Sextitle,Mars,Sagittarius,"18°36'07.39""",Rahu,Aquarius,"17°56'22.28""",60,59.3375,0.6625
2026-01-01 11:15:00,Aspect,Trine,Mars,Sagittarius,"18°36'07.39""",Ketu,Leo,"17°56'22.28""",120,120.6625,0.6625
2026-01-01 11:30:00,Aspect,Sextitle,Mars,Sagittarius,"18°36'36.13""",Rahu,Aquarius,"17°56'20.30""",60,59.3289,0.6711
2026-01-01 11:30:00,Aspect,Trine,Mars,Sagittarius,"18°36'36.13""",Ketu,Leo,"17°56'20.30""",120,120.6711,0.6711
2026-01-01 11:45:00,Aspect,Sextitle,Mars,Sagittarius,"18°37'04.87""",Rahu,Aquarius,"17°56'18.31""",60,59.3204,0.6796
2026-01-01 11:45:00,Aspect,Trine,Mars,Sagittarius,"18°37'04.87""",Ketu,Leo,"17°56'18.31""",120,120.6796,0.6796
2026-01-01 12:00:00,Aspect,Sextitle,Mars,Sagittarius,"18°37'33.61""",Rahu,Aquarius,"17°56'16.32""",60,59.3119,0.6881
2026-01-01 12:00:00,Aspect,Trine,Mars,Sagittarius,"18°37'33.61""",Ketu,Leo,"17°56'16.32""",120,120.6881,0.6881
2026-01-01 12:15:00,Aspect,Sextitle,Mars,Sagittarius,"18°38'02.35""",Rahu,Aquarius,"17°56'14.33""",60,59.3033,0.6967
2026-01-01 12:15:00,Aspect,Trine,Mars,Sagittarius,"18°38'02.35""",Ketu,Leo,"17°56'14.33""",120,120.6967,0.6967
2026-01-01 12:30:00,Aspect,Sextitle,Mars,Sagittarius,"18°38'31.09""",Rahu,Aquarius,"17°56'12.35""",60,59.2948,0.7052
2026-01-01 12:30:00,Aspect,Trine,Mars,Sagittarius,"18°38'31.09""",Ketu,Leo,"17°56'12.35""",120,120.7052,0.7052
2026-01-01 12:45:00,Aspect,Sextitle,Mars,Sagittarius,"18°38'59.83""",Rahu,Aquarius,"17°56'10.36""",60,59.2863,0.7137
2026-01-01 12:45:00,Aspect,Trine,Mars,Sagittarius,"18°38'59.83""",Ketu,Leo,"17°56'10.36""",120,120.7137,0.7137
2026-01-01 13:00:00,Aspect,Sextitle,Mars,Sagittarius,"18°39'28.57""",Rahu,Aquarius,"17°56'08.37""",60,59.2777,0.7223
2026-01-01 13:00:00,Aspect,Trine,Mars,Sagittarius,"18°39'28.57""",Ketu,Leo,"17°56'08.37""",120,120.7223,0.7223
2026-01-01 13:15:00,Aspect,Sextitle,Mars,Sagittarius,"18°39'57.32""",Rahu,Aquarius,"17°56'06.38""",60,59.2692,0.7308
2026-01-01 13:15:00,Aspect,Trine,Mars,Sagittarius,"18°39'57.32""",Ketu,Leo,"17°56'06.38""",120,120.7308,0.7308
2026-01-01 13:30:00,Aspect,Sextitle,Mars,Sagittarius,"18°40'26.06""",Rahu,Aquarius,"17°56'04.40""",60,59.2606,0.7394
2026-01-01 13:30:00,Aspect,Trine,Mars,Sagittarius,"18°40'26.06""",Ketu,Leo,"17°56'04.40""",120,120.7394,0.7394
2026-01-01 13:45:00,Aspect,Sextitle,Mars,Sagittarius,"18°40'54.80""",Rahu,Aquarius,"17°56'02.41""",60,59.2521,0.7479
2026-01-01 13:45:00,Aspect,Trine,Mars,Sagittarius,"18°40'54.80""",Ketu,Leo,"17°56'02.41""",120,120.7479,0.7479
2026-01-01 14:00:00,Aspect,Sextitle,Mars,Sagittarius,"18°41'23.54""",Rahu,Aquarius,"17°56'00.42""",60,59.2436,0.7564
2026-01-01 14:00:00,Aspect,Trine,Mars,Sagittarius,"18°41'23.54""",Ketu,Leo,"17°56'00.42""",120,120.7564,0.7564
2026-01-01 14:15:00,Aspect,Sextitle,Mars,Sagittarius,"18°41'52.28""",Rahu,Aquarius,"17°55'58.44""",60,59.235,0.765
2026-01-01 14:15:00,Aspect,Trine,Mars,Sagittarius,"18°41'52.28""",Ketu,Leo,"17°55'58.44""",120,120.765,0.765
2026-01-01 14:30:00,Aspect,Sextitle,Mars,Sagittarius,"18°42'21.03""",Rahu,Aquarius,"17°55'56.45""",60,59.2265,0.7735
2026-01-01 14:30:00,Aspect,Trine,Mars,Sagittarius,"18°42'21.03""",Ketu,Leo,"17°55'56.45""",120,120.7735,0.7735
2026-01-01 14:45:00,Aspect,Sextitle,Mars,Sagittarius,"18°42'49.77""",Rahu,Aquarius,"17°55'54.46""",60,59.218,0.782
2026-01-01 14:45:00,Aspect,Trine,Mars,Sagittarius,"18°42'49.77""",Ketu,Leo,"17°55'54.46""",120,120.782,0.782
2026-01-01 15:00:00,Aspect,Sextitle,Mars,Sagittarius,"18°43'18.51""",Rahu,Aquarius,"17°55'52.47""",60,59.2094,0.7906
2026-01-01 15:00:00,Aspect,Trine,Mars,Sagittarius,"18°43'18.51""",Ketu,Leo,"17°55'52.47""",120,120.7906,0.7906
2026-01-01 15:15:00,Aspect,Sextitle,Mars,Sagittarius,"18°43'47.26""",Rahu,Aquarius,"17°55'50.49""",60,59.2009,0.7991
2026-01-01 15:15:00,Aspect,Trine,Mars,Sagittarius,"18°43'47.26""",Ketu,Leo,"17°55'50.49""",120,120.7991,0.7991
2026-01-01 15:30:00,Aspect,Sextitle,Mars,Sagittarius,"18°44'16.00""",Rahu,Aquarius,"17°55'48.50""",60,59.1924,0.8076
2026-01-01 15:30:00,Aspect,Trine,Mars,Sagittarius,"18°44'16.00""",Ketu,Leo,"17°55'48.50""",120,120.8076,0.8076
2026-01-01 15:45:00,Aspect,Sextitle,Mars,Sagittarius,"18°44'44.75""",Rahu,Aquarius,"17°55'46.51""",60,59.1838,0.8162
2026-01-01 15:45:00,Aspect,Trine,Mars,Sagittarius,"18°44'44.75""",Ketu,Leo,"17°55'46.51""",120,120.8162,0.8162
2026-01-01 16:00:00,Aspect,Sextitle,Mars,Sagittarius,"18°45'13.49""",Rahu,Aquarius,"17°55'44.53""",60,59.1753,0.8247
2026-01-01 16:00:00,Aspect,Trine,Mars,Sagittarius,"18°45'13.49""",Ketu,Leo,"17°55'44.53""",120,120.8247,0.8247
2026-01-01 16:15:00,Aspect,Sextitle,Mars,Sagittarius,"18°45'42.23""",Rahu,Aquarius,"17°55'42.54""",60,59.1668,0.8332
2026-01-01 16:15:00,Aspect,Trine,Mars,Sagittarius,"18°45'42.23""",Ketu,Leo,"17°55'42.54""",120,120.8332,0.8332
2026-01-01 16:30:00,Aspect,Sextitle,Mars,Sagittarius,"18°46'10.98""",Rahu,Aquarius,"17°55'40.55""",60,59.1582,0.8418
2026-01-01 16:30:00,Aspect,Trine,Mars,Sagittarius,"18°46'10.98""",Ketu,Leo,"17°55'40.55""",120,120.8418,0.8418
2026-01-01 16:45:00,Aspect,Sextitle,Mars,Sagittarius,"18°46'39.72""",Rahu,Aquarius,"17°55'38.56""",60,59.1497,0.8503
2026-01-01 16:45:00,Aspect,Trine,Mars,Sagittarius,"18°46'39.72""",Ketu,Leo,"17°55'38.56""",120,120.8503,0.8503
2026-01-01 17:00:00,Aspect,Sextitle,Mars,Sagittarius,"18°47'08.47""",Rahu,Aquarius,"17°55'36.58""",60,59.1411,0.8589
2026-01-01 17:00:00,Aspect,Trine,Mars,Sagittarius,"18°47'08.47""",Ketu,Leo,"17°55'36.58""",120,120.8589,0.8589
2026-01-01 17:15:00,Aspect,Sextitle,Mars,Sagittarius,"18°47'37.22""",Rahu,Aquarius,"17°55'34.59""",60,59.1326,0.8674
2026-01-01 17:15:00,Aspect,Trine,Mars,Sagittarius,"18°47'37.22""",Ketu,Leo,"17°55'34.59""",120,120.8674,0.8674
2026-01-01 17:30:00,Aspect,Sextitle,Mars,Sagittarius,"18°48'05.96""",Rahu,Aquarius,"17°55'32.60""",60,59.1241,0.8759
2026-01-01 17:30:00,Aspect,Trine,Mars,Sagittarius,"18°48'05.96""",Ketu,Leo,"17°55'32.60""",120,120.8759,0.8759
2026-01-01 17:45:00,Aspect,Sextitle,Mars,Sagittarius,"18°48'34.71""",Rahu,Aquarius,"17°55'30.62""",60,59.1155,0.8845
2026-01-01 17:45:00,Aspect,Trine,Mars,Sagittarius,"18°48'34.71""",Ketu,Leo,"17°55'30.62""",120,120.8845,0.8845
