datetime,event,type,planet1,planet1_sign,planet1_degree,planet2,planet2_sign,planet2_degree,exact_angle,difference,orb
2026-01-09 02:45:00,Aspect,Sextitle,Mercury,Sagittarius,"16°32'50.37""",Rahu,Aquarius,"17°32'03.68""",60,60.987,0.987
2026-01-09 02:45:00,Aspect,Trine,Mercury,Sagittarius,"16°32'50.37""",Ketu,Leo,"17°32'03.68""",120,119.013,0.987
2026-01-09 03:00:00,Aspect,Sextitle,Mercury,Sagittarius,"16°33'49.39""",Rahu,Aquarius,"17°32'01.69""",60,60.9701,0.9701
2026-01-09 03:00:00,Aspect,Trine,Mercury,Sagittarius,"16°33'49.39""",Ketu,Leo,"17°32'01.69""",120,119.0299,0.9701
2026-01-09 03:15:00,Aspect,Sextitle,Mercury,Sagittarius,"16°34'48.41""",Rahu,Aquarius,"17°31'59.70""",60,60.9531,0.9531
2026-01-09 03:15:00,Aspect,Trine,Mercury,Sagittarius,"16°34'48.41""",Ketu,Leo,"17°31'59.70""",120,119.0469,0.9531
2026-01-09 03:30:00,Aspect,Sextitle,Mercury,Sagittarius,"16°35'47.44""",Rahu,Aquarius,"17°31'57.72""",60,60.9362,0.9362
2026-01-09 03:30:00,Aspect,Trine,Mercury,Sagittarius,"16°35'47.44""",Ketu,Leo,"17°31'57.72""",120,119.0638,0.9362
2026-01-09 03:45:00,Aspect,Sextitle,Mercury,Sagittarius,"16°36'46.47""",Rahu,Aquarius,"17°31'55.73""",60,60.9192,0.9192
2026-01-09 03:45:00,Aspect,Trine,Mercury,Sagittarius,"16°36'46.47""",Ketu,Leo,"17°31'55.73""",120,119.0808,0.9192
2026-01-09 04:00:00,Aspect,Sextitle,Mercury,Sagittarius,"16°37'45.50""",Rahu,Aquarius,"17°31'53.74""",60,60.9023,0.9023
2026-01-09 04:00:00,Aspect,Trine,Mercury,Sagittarius,"16°37'45.50""",Ketu,Leo,"17°31'53.74""",120,119.0977,0.9023
2026-01-09 04:15:00,Aspect,Sextitle,Mercury,Sagittarius,"16°38'44.53""",Rahu,Aquarius,"17°31'51.75""",60,60.8853,0.8853
2026-01-09 04:15:00,Aspect,Trine,Mercury,Sagittarius,"16°38'44.53""",Ketu,Leo,"17°31'51.75""",120,119.1147,0.8853
2026-01-09 04:30:00,Aspect,Sextitle,Mercury,Sagittarius,"16°39'43.57""",Rahu,Aquarius,"17°31'49.77""",60,60.8684,0.8684
