datetime,event,type,planet1,planet1_sign,planet1_degree,planet2,planet2_sign,planet2_degree,exact_angle,difference,orb
2026-01-01 14:15:00,Aspect,Square,Moon,Taurus,"17°01'39.68""",Rahu,Aquarius,"17°55'58.44""",90,89.0948,0.9052
2026-01-01 14:15:00,Aspect,Square,Moon,Taurus,"17°01'39.68""",Ketu,Leo,"17°55'58.44""",90,90.9052,0.9052
2026-01-01 14:30:00,Aspect,Square,Moon,Taurus,"17°11'03.19""",Rahu,Aquarius,"17°55'56.45""",90,89.2519,0.7481
2026-01-01 14:30:00,Aspect,Square,Moon,Taurus,"17°11'03.19""",Ketu,Leo,"17°55'56.45""",90,90.7481,0.7481
2026-01-01 14:45:00,Aspect,Square,Moon,Taurus,"17°20'26.75""",Rahu,Aquarius,"17°55'54.46""",90,89.409,0.591
2026-01-01 14:45:00,Aspect,Square,Moon,Taurus,"17°20'26.75""",Ketu,Leo,"17°55'54.46""",90,90.591,0.591
2026-01-01 15:00:00,Aspect,Square,Moon,Taurus,"17°29'50.34""",Rahu,Aquarius,"17°55'52.47""",90,89.5661,0.4339
2026-01-01 15:00:00,Aspect,Square,Moon,Taurus,"17°29'50.34""",Ketu,Leo,"17°55'52.47""",90,90.4339,0.4339
2026-01-01 15:15:00,Aspect,Square,Moon,Taurus,"17°39'13.98""",Rahu,Aquarius,"17°55'50.49""",90,89.7232,0.2768
2026-01-01 15:15:00,Aspect,Square,Moon,Taurus,"17°39'13.98""",Ketu,Leo,"17°55'50.49""",90,90.2768,0.2768
2026-01-01 15:30:00,Aspect,Square,Moon,Taurus,"17°48'37.65""",Rahu,Aquarius,"17°55'48.50""",90,89.8803,0.1197
2026-01-01 15:30:00,Aspect,Square,Moon,Taurus,"17°48'37.65""",Ketu,Leo,"17°55'48.50""",90,90.1197,0.1197
2026-01-01 15:45:00,Aspect,Square,Moon,Taurus,"17°58'01.36""",Rahu,Aquarius,"17°55'46.51""",90,90.0375,0.0375
2026-01-01 15:45:00,Aspect,Square,Moon,Taurus,"17°58'01.36""",Ketu,Leo,"17°55'46.51""",90,89.9625,0.0375
2026-01-01 16:00:00,Aspect,Square,Moon,Taurus,"18°07'25.11""",Rahu,Aquarius,"17°55'44.53""",90,90.1946,0.1946
2026-01-01 16:00:00,Aspect,Square,Moon,Taurus,"18°07'25.11""",Ketu,Leo,"17°55'44.53""",90,89.8054,0.1946
2026-01-01 16:15:00,Aspect,Square,Moon,Taurus,"18°16'48.89""",Rahu,Aquarius,"17°55'42.54""",90,90.3518,0.3518
2026-01-01 16:15:00,Aspect,Square,Moon,Taurus,"18°16'48.89""",Ketu,Leo,"17°55'42.54""",90,89.6482,0.3518
2026-01-01 16:30:00,Aspect,Square,Moon,Taurus,"18°26'12.72""",Rahu,Aquarius,"17°55'40.55""",90,90.5089,0.5089
2026-01-01 16:30:00,Aspect,Square,Moon,Taurus,"18°26'12.72""",Ketu,Leo,"17°55'40.55""",90,89.4911,0.5089
2026-01-01 16:45:00,Aspect,Square,Moon,Taurus,"18°35'36.57""",Rahu,Aquarius,"17°55'38.56""",90,90.6661,0.6661
2026-01-01 16:45:00,Aspect,Square,Moon,Taurus,"18°35'36.57""",Ketu,Leo,"17°55'38.56""",90,89.3339,0.6661
2026-01-01 17:00:00,Aspect,Square,Moon,Taurus,"18°45'00.46""",Rahu,Aquarius,"17°55'36.58""",90,90.8233,0.8233
2026-01-01 17:00:00,Aspect,Square,Moon,Taurus,"18°45'00.46""",Ketu,Leo,"17°55'36.58""",90,89.1767,0.8233
2026-01-01 17:15:00,Aspect,Square,Moon,Taurus,"18°54'24.39""",Rahu,Aquarius,"17°55'34.59""",90,90.9805,0.9805
2026-01-01 17:15:00,Aspect,Square,Moon,Taurus,"18°54'24.39""",Ketu,Leo,"17°55'34.59""",90,89.0195,0.9805
2026-01-02 12:45:00,Aspect,Square,Moon,Gemini,"1°08'21.76""",Saturn,Pisces,"2°01'07.77""",90,89.1206,0.8794
2026-01-02 13:00:00,Aspect,Square,Moon,Gemini,"1°17'46.28""",Saturn,Pisces,"2°01'10.03""",90,89.2767,0.7233
2026-01-02 13:15:00,Aspect,Square,Moon,Gemini,"1°27'10.79""",Saturn,Pisces,"2°01'12.28""",90,89.4329,0.5671
2026-01-02 13:30:00,Aspect,Square,Moon,Gemini,"1°36'35.28""",Saturn,Pisces,"2°01'14.54""",90,89.5891,0.4109
2026-01-02 13:45:00,Aspect,Square,Moon,Gemini,"1°45'59.75""",Saturn,Pisces,"2°01'16.80""",90,89.7453,0.2547
2026-01-02 14:00:00,Aspect,Square,Moon,Gemini,"1°55'24.19""",Saturn,Pisces,"2°01'19.05""",90,89.9014,0.0986
2026-01-02 14:15:00,Aspect,Square,Moon,Gemini,"2°04'48.62""",Saturn,Pisces,"2°01'21.31""",90,90.0576,0.0576
2026-01-02 14:30:00,Aspect,Square,Moon,Gemini,"2°14'13.02""",Saturn,Pisces,"2°01'23.57""",90,90.2137,0.2137
2026-01-02 14:45:00,Aspect,Square,Moon,Gemini,"2°23'37.39""",Saturn,Pisces,"2°01'25.83""",90,90.3699,0.3699
2026-01-02 15:00:00,Aspect,Square,Moon,Gemini,"2°33'01.75""",Saturn,Pisces,"2°01'28.09""",90,90.526,0.526
2026-01-02 15:15:00,Aspect,Square,Moon,Gemini,"2°42'26.07""",Saturn,Pisces,"2°01'30.35""",90,90.6821,0.6821
2026-01-02 15:30:00,Aspect,Square,Moon,Gemini,"2°51'50.38""",Saturn,Pisces,"2°01'32.61""",90,90.8383,0.8383
2026-01-02 15:45:00,Aspect,Square,Moon,Gemini,"3°01'14.65""",Saturn,Pisces,"2°01'34.88""",90,90.9944,0.9944
2026-01-02 20:15:00,Aspect,Opposition,Moon,Gemini,"5°50'26.31""",Mercury,Sagittarius,"6°48'15.67""",180,179.0363,0.9637
2026-01-02 20:30:00,Aspect,Opposition,Moon,Gemini,"5°59'49.95""",Mercury,Sagittarius,"6°49'13.21""",180,179.1769,0.8231
2026-01-02 20:45:00,Aspect,Opposition,Moon,Gemini,"6°09'13.55""",Mercury,Sagittarius,"6°50'10.76""",180,179.3174,0.6826
2026-01-02 21:00:00,Aspect,Opposition,Moon,Gemini,"6°18'37.11""",Mercury,Sagittarius,"6°51'08.31""",180,179.458,0.542
2026-01-02 21:15:00,Aspect,Opposition,Moon,Gemini,"6°28'00.63""",Mercury,Sagittarius,"6°52'05.86""",180,179.5985,0.4015
2026-01-02 21:30:00,Aspect,Opposition,Moon,Gemini,"6°37'24.11""",Mercury,Sagittarius,"6°53'03.41""",180,179.7391,0.2609
2026-01-02 21:45:00,Aspect,Opposition,Moon,Gemini,"6°46'47.55""",Mercury,Sagittarius,"6°54'00.97""",180,179.8796,0.1204
2026-01-02 22:00:00,Aspect,Opposition,Moon,Gemini,"6°56'10.94""",Mercury,Sagittarius,"6°54'58.52""",180,179.9799,0.0201
2026-01-02 22:15:00,Aspect,Opposition,Moon,Gemini,"7°05'34.29""",Mercury,Sagittarius,"6°55'56.09""",180,179.8394,0.1606
2026-01-02 22:30:00,Aspect,Opposition,Moon,Gemini,"7°14'57.59""",Mercury,Sagittarius,"6°56'53.65""",180,179.6989,0.3011
2026-01-02 22:45:00,Aspect,Opposition,Moon,Gemini,"7°24'20.85""",Mercury,Sagittarius,"6°57'51.21""",180,179.5584,0.4416
2026-01-02 23:00:00,Aspect,Opposition,Moon,Gemini,"7°33'44.06""",Mercury,Sagittarius,"6°58'48.78""",180,179.418,0.582
2026-01-02 23:15:00,Aspect,Opposition,Moon,Gemini,"7°43'07.22""",Mercury,Sagittarius,"6°59'46.35""",180,179.2775,0.7225
2026-01-02 23:30:00,Aspect,Opposition,Moon,Gemini,"7°52'30.34""",Mercury,Sagittarius,"7°00'43.92""",180,179.1371,0.8629
2026-01-03 14:00:00,Aspect,Opposition,Moon,Gemini,"16°55'06.92""",Venus,Sagittarius,"17°52'04.62""",180,179.0506,0.9494
2026-01-03 14:00:00,Aspect,Trine,Moon,Gemini,"16°55'06.92""",Rahu,Aquarius,"17°49'38.88""",120,119.0911,0.9089
2026-01-03 14:00:00,Aspect,Sextitle,Moon,Gemini,"16°55'06.92""",Ketu,Leo,"17°49'38.88""",60,60.9089,0.9089
2026-01-03 14:15:00,Aspect,Opposition,Moon,Gemini,"17°04'26.06""",Venus,Sagittarius,"17°52'51.80""",180,179.1928,0.8072
2026-01-03 14:15:00,Aspect,Trine,Moon,Gemini,"17°04'26.06""",Rahu,Aquarius,"17°49'36.89""",120,119.247,0.753
2026-01-03 14:15:00,Aspect,Sextitle,Moon,Gemini,"17°04'26.06""",Ketu,Leo,"17°49'36.89""",60,60.753,0.753
2026-01-03 14:30:00,Aspect,Opposition,Moon,Gemini,"17°13'45.11""",Venus,Sagittarius,"17°53'38.98""",180,179.335,0.665
2026-01-03 14:30:00,Aspect,Trine,Moon,Gemini,"17°13'45.11""",Rahu,Aquarius,"17°49'34.91""",120,119.4028,0.5972
2026-01-03 14:30:00,Aspect,Sextitle,Moon,Gemini,"17°13'45.11""",Ketu,Leo,"17°49'34.91""",60,60.5972,0.5972
2026-01-03 14:45:00,Aspect,Opposition,Moon,Gemini,"17°23'04.08""",Venus,Sagittarius,"17°54'26.16""",180,179.4772,0.5228
2026-01-03 14:45:00,Aspect,Trine,Moon,Gemini,"17°23'04.08""",Rahu,Aquarius,"17°49'32.92""",120,119.5587,0.4413
2026-01-03 14:45:00,Aspect,Sextitle,Moon,Gemini,"17°23'04.08""",Ketu,Leo,"17°49'32.92""",60,60.4413,0.4413
2026-01-03 15:00:00,Aspect,Opposition,Moon,Gemini,"17°32'22.95""",Venus,Sagittarius,"17°55'13.34""",180,179.6193,0.3807
2026-01-03 15:00:00,Aspect,Trine,Moon,Gemini,"17°32'22.95""",Rahu,Aquarius,"17°49'30.93""",120,119.7145,0.2855
2026-01-03 15:00:00,Aspect,Sextitle,Moon,Gemini,"17°32'22.95""",Ketu,Leo,"17°49'30.93""",60,60.2855,0.2855
2026-01-03 15:15:00,Aspect,Opposition,Moon,Gemini,"17°41'41.74""",Venus,Sagittarius,"17°56'00.52""",180,179.7615,0.2385
