datetime,event,type,planet1,planet1_sign,planet1_degree,planet2,planet2_sign,planet2_degree,exact_angle,difference,orb
2026-01-14 17:00:00,Aspect,Sextitle,Venus,Capricorn,"1°51'43.23""",Saturn,Pisces,"2°51'36.27""",60,60.9981,0.9981
2026-01-14 17:15:00,Aspect,Sextitle,Venus,Capricorn,"1°52'30.39""",Saturn,Pisces,"2°51'39.18""",60,60.9858,0.9858
2026-01-14 17:30:00,Aspect,Sextitle,Venus,Capricorn,"1°53'17.55""",Saturn,Pisces,"2°51'42.10""",60,60.9735,0.9735
2026-01-14 17:45:00,Aspect,Sextitle,Venus,Capricorn,"1°54'04.72""",Saturn,Pisces,"2°51'45.01""",60,60.9612,0.9612
2026-01-14 18:00:00,Aspect,Sextitle,Venus,Capricorn,"1°54'51.88""",Saturn,Pisces,"2°51'47.93""",60,60.9489,0.9489
2026-01-14 18:15:00,Aspect,Sextitle,Venus,Capricorn,"1°55'39.04""",Saturn,Pisces,"2°51'50.84""",60,60.9366,0.9366
2026-01-14 18:30:00,Aspect,Sextitle,Venus,Capricorn,"1°56'26.20""",Saturn,Pisces,"2°51'53.76""",60,60.9243,0.9243
2026-01-14 18:45:00,Aspect,Sextitle,Venus,Capricorn,"1°57'13.36""",Saturn,Pisces,"2°51'56.67""",60,60.912,0.912
2026-01-14 19:00:00,Aspect,Sextitle,Venus,Capricorn,"1°58'00.52""",Saturn,Pisces,"2°51'59.59""",60,60.8997,0.8997
2026-01-14 19:15:00,Aspect,Sextitle,Venus,Capricorn,"1°58'47.68""",Saturn,Pisces,"2°52'02.51""",60,60.8875,0.8875
2026-01-14 19:30:00,Aspect,Sextitle,Venus,Capricorn,"1°59'34.84""",Saturn,Pisces,"2°52'05.43""",60,60.8752,0.8752
2026-01-14 19:45:00,Aspect,Sextitle,Venus,Capricorn,"2°00'22.00""",Saturn,Pisces,"2°52'08.34""",60,60.8629,0.8629
2026-01-14 20:00:00,Aspect,Sextitle,Venus,Capricorn,"2°01'09.16""",Saturn,Pisces,"2°52'11.26""",60,60.8506,0.8506
2026-01-14 20:15:00,Aspect,Sextitle,Venus,Capricorn,"2°01'56.33""",Saturn,Pisces,"2°52'14.18""",60,60.8383,0.8383
